id	page	section_number	section_title	class	suffix_headword	label	footnote_marker	description	references
de-goede-2014-suffix-022	15	2.1.2	(*)-u̯-	B. Not (directly) reconstructable to PIE	*-(t)-īu̯o-	(pre-L)		"L -īvus derives deverbal, desubstantival and some deadjectival adjectives, of
which the desubstantival function may be a later derivation from -tīvus with
stems ending in -t. Rare. -tīvus is more common and derives deverbal and
desubstantival adjectives. It is composed of the suffix -to- for verbal adjectives
and the aforementioned *-īu̯o-. (HCGL 298-9; LG 303-4; NWIG 91-2, 98,
125-6)"	"HCGL 298-9; LG 303-4; NWIG 91-2, 98,
125-6"
de-goede-2014-suffix-023	15	2.2.1	(*)-l-	A. Reconstructable to PIE	*-lo-			"This PIE suffix derived adjectives and nouns, especially instrument nouns and
agent nouns. A diminutive function may also be reconstructed on the basis of
at least Lithuanian, Latin and Germanic, where *-lo- was very productive in
this function.
OI -(V)l; W -(V)l. Oldest inherited type: adjectives from PIE verbal
roots, as well as diminutives to some degree. In Goidelic there are a number of
deverbal derivatives in *-lo-. Many (old) agent nouns in *-lo-  have become
concreta. There are also some instrument nouns in Goidelic. The feminine
variant *-lā could be employed for nomina actionis (less common in Goidelic
than in Brittonic). On the whole, bare *-lo- (without extensions) was not
especially common in Celtic.
Sometimes L -lus, mostly -ulus, with no difference in meaning. For
more information see part B of this section.
(BG 186-200; GOU 183-4; HCGL 279-80; LG 305-12; NWI 222-8, 455-6;
NWIG 19-20, 23, 73-5, 89-90, 132; VGKS II 53-6)"	"BG 186-200; GOU 183-4; HCGL 279-80; LG 305-12; NWI 222-8, 455-6;
NWIG 19-20, 23, 73-5, 89-90, 132; VGKS II 53-6"
de-goede-2014-suffix-024	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-a-lo-	(PC)		"OI -al; W -al. Resembles Proto-Celtic *-lo- in function, but contains a
connecting vowel of unclear origin. The suffix mainly has appurtenance value
and a (less common) diminutive function. It has not been very productive in
Welsh and Old Irish. The suffix is also attested in Continental Celtic
languages, where it has appurtenance value. (NWI 226, 455-6; VGKS II 53-4)"	NWI 226, 455-6; VGKS II 53-4
de-goede-2014-suffix-025	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-ā-lo-	(PC)		"W -ol derives adjectives (although mostly combined with another suffix).
Exceptionally productive. Another source is L -āle(m) and -ālis. (SWW 460,
549-50; VGKS II 54)"	"SWW 460,
549-50; VGKS II 54"
de-goede-2014-suffix-026	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-ēdō-lā?	(pre-L)		"Latin words with -ēdula are possibly diminutives of -ēdō; acrēdula ‘a bird’.
Rare. (NWIG 49)"	NWIG 49
de-goede-2014-suffix-027	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	-ēla	(L)		"This suffix derives deverbal nomina actionis. It became productive in Latin;
further analysis unclear and disputed. (HCGL 301; LG 312; NWIG 8-9)"	HCGL 301; LG 312; NWIG 8-9
de-goede-2014-suffix-028	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	-ell	(W)		Abstracted from Latin loans in -ellus/-a/-um. (SWW 355-62)	SWW 355-62
de-goede-2014-suffix-029	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-o-lo- < *-e-lo-	(PIt.)		"L -ulus forms desubstantival and deadjectival diminutive nouns, verbal
adjectives with agentive force and agent nouns. Rarely also desubstantival
adjectives. It is derived from *-o-lo-, which goes back to *-e-lo- in most cases,
a form which is attested in several Indo-European languages. Very productive
(with a peak in Medieval Latin). Variant -Vllus < -lus to bases in r, l or n.
Often – historically – a double diminutive *-Vlelos. The deverbal suffix -ulum
is used for tool names. (BG 188; GOU 183; HCGL 279-80; LG 305-12;
NWIG 73, 100, 132)"	"BG 188; GOU 183; HCGL 279-80; LG 305-12;
NWIG 73, 100, 132"
de-goede-2014-suffix-030	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-i̯ā-lo-	(pre-OI)		OI - á(i)l. See section 2.7 for all sources of OI -á(i)l.	
de-goede-2014-suffix-031	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	-(t)ilis	(L)		"L -ilis is functionally identical to -bilis, except for its ability to derive
desubstantival adjectives. Where derived from -bilis it is a case of haplology,
elsewhere its origin is possibly inherited *-li- (cf. also -īlis), an i-stem
derivation of *-lo-. The suffix -tilis derives adjectives from perfect passive
participles, which are also the source of the -t-. Some forms, however,
probably originate from instrument nouns in *-tlo-. (GOU 188; HCGL 317-8;
LG 347-8; NWIG 85, 87-8, 132)"	"GOU 188; HCGL 317-8;
LG 347-8; NWIG 85, 87-8, 132"
de-goede-2014-suffix-032	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	-īlis	(L)		"This suffix forms desubstantival adjectives. Originally it is *-li- to different
stem types. -īlis, however, has become productive and has been extended to
other stems as well. Nominalizations in neuter -īle denote animal pens.
Variants: -(u)ēlis, -ūlis, -īris. (GOU 188; HCGL 319-20; LG 350; NWIG 121)"	GOU 188; HCGL 319-20; LG 350; NWIG 121
de-goede-2014-suffix-033	16	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	-illa	(L)		"Desubstantival cognomina (feminines, rarely masculine). Probably borrowed
from Gr. -ιλλα. Rare variants: -ella, -ulla.  (LG 284; NWIG 71)"	LG 284; NWIG 71
de-goede-2014-suffix-034	17	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-illo-	(Gallo-Britt.)		"W -yll. Celtic formations include a group of animal (mostly bird) names.
Possibly originally diminutives. Also attested in a number of Latin
borrowings, originating from several different suffixes. (NWI 514; SWW 450-
53)"	"NWI 514; SWW 450-
53"
de-goede-2014-suffix-035	17	2.2.1	(*)-l-	B. Not (directly) reconstructable to PIE	*-ko-lo-/-ke-lo-	(PIt.)		"L -culus derives desubstantival diminutive nouns and deadjectival adjectives
(including diminutives). It consists of the derivational suffixes *-ko- and *-lo-.
Variant: -iculus (with stems ending in a dental). -culus is not to be confused
with instrument nouns in -culus (< PIE *-tlo-). (GOU 183-4; HCGL 280-1;
LG 306-8; NWIG 74, 101)"	"GOU 183-4; HCGL 280-1;
LG 306-8; NWIG 74, 101"
de-goede-2014-suffix-036	17	2.2.2	(*)-r-	A. Reconstructable to PIE	*-ro-			"This PIE suffix derived adjectives and – mostly concrete – nouns,
predominantly from verbal roots. It has not remained productive in any of the
daughter languages.
OI -(V)r; W -(V)r derived deverbal adjectives. Nominalizations are
common in both languages, there are very few original nouns. In Old Irish the
words are mostly neuter, sometimes masculine and rarely feminine. The *ro-
suffixes are not uncommon, but did not remain productive as an unextended
suffix in Celtic.
The Latin reflexes are synchronically non-derived (so non-productive)
adjectival -er and -rus. Many nominalizations.
(BG 169-70; GOU 188; HCGL 284-6, 315; LG 314-5; NWI 228-40; NWIG
81-2)"	"BG 169-70; GOU 188; HCGL 284-6, 315; LG 314-5; NWI 228-40; NWIG
81-2"
de-goede-2014-suffix-037	17	2.2.2	(*)-r-	B. Not (directly) reconstructable to PIE	*-a-ri-	(pre-OI)		OI -air. Deverbal, agentive? (NWI 454)	NWI 454
de-goede-2014-suffix-038	17	2.2.2	(*)-r-	B. Not (directly) reconstructable to PIE	*-Xro-	(PC)		"OI -ar/-er forms neuter collective nouns and is probably derived from *ro-
suffixes. Cf. W -or (MW -awr), deriving desubstantival collectives, agent
nouns and place names. Derived from Brit. *-ōro- and/or -āro- and L -ārius.
The Welsh adjectival suffix -ar goes back to *-a-ro-, *-e-ro- and *-H-ro-.
(NWI 316-21; SWW 421-26, 485-7)"	NWI 316-21; SWW 421-26, 485-7
de-goede-2014-suffix-039	18	2.3.1	(*)-n-	A. Reconstructable to PIE	*-no-			"This PIE suffix mainly derived deverbal adjectives and some nouns (which
may partially have been nominalizations). Many adjectives have appurtenance
value.
OI -(V)n; W -(V)n mainly forms deverbal adjectives. In Old Irish it
derives deverbal adjectives, some desubstantival adjectives and some colour
adjectives. Not productive.
The Latin reflex -nus mainly derives deverbal and desubstantival
adjectives of material and appurtenance. Not productive. Allomorphs are -
Vrnus (probably a misanalysis of r-stems), -turnus and -ternus (containing
contrastive *-ter(o)-).
(BG 130-53; GOU 185, 187; HCGL 287-8, 290-1; LG 320-1; NWI 249-59;
NWIG 14-5, 131, 136, 138; VGKS II 56-7)"	"BG 130-53; GOU 185, 187; HCGL 287-8, 290-1; LG 320-1; NWI 249-59;
NWIG 14-5, 131, 136, 138; VGKS II 56-7"
de-goede-2014-suffix-040	18	2.3.1	(*)-n-	A. Reconstructable to PIE	*-ti-no-			"L -tinus derives deadverbial temporal adjectives. Not frequent. Cf. Lith.
dabartìnas ‘of the present’. (HCGL 288; NWIG 138-9)"	HCGL 288; NWIG 138-9
de-goede-2014-suffix-041	18	2.3.1	(*)-n-	B. Not (directly) reconstructable to PIE	-iānus	(L)		"This suffix forms desubstantival cognomina derived from gentilics (indicating
family of origin). (HCGL 290; LG 325-6)"	HCGL 290; LG 325-6
de-goede-2014-suffix-042	18	2.3.1	(*)-n-	B. Not (directly) reconstructable to PIE	*-ī̆no-	(PC)		"OI -en; W -in derive adjectives and nouns, most frequently adjectives from
nouns denoting materials. It is possible that, originally, *-īno- (or rather the
feminine *-īnā/-īniā, most frequently) was used for desubstantival nouns and

*-ı̆no (*-no- to adjectival i-stems) for deadjectival adjectives. -īno- could go
back to PIE -ih1no-, an instrumental form. -īno- was a fairly productive and
moderately frequent suffix in the Celtic languages. (NWI 459-60; SWW 516-
23; VGKS II 59)"	"NWI 459-60; SWW 516-
23; VGKS II 59"
de-goede-2014-suffix-043	18	2.3.1	(*)-n-	B. Not (directly) reconstructable to PIE	-inus	(L)		"This suffix derives desubstantival adjectives of material. Probably borrowed
from Greek -ινος.  Not productive. Variant: -ginus (to stems in -gō). (HCGL
287; LG 287; NWIG 97, 132, 135-6)"	"HCGL
287; LG 287; NWIG 97, 132, 135-6"
de-goede-2014-suffix-044	18	2.3.1	(*)-n-	B. Not (directly) reconstructable to PIE	*-V̅ no-	(L)		"L -ānus derives desubstantival and deadverbial adjectives (among other things
place names) and nouns (ethnics). -īnus forms desubstantival, deadjectival and
also some deverbal adjectives (of appurtenance, of material), ethnics and
animal names. Also, there are some adjectives derived from prepositional

phrases with this suffix. Both -ānus and -īnus were productive. Borrowed in
Old Irish as -ín for diminutives. Variants: -tīnus and -cīnus. Feminine
nominalizations in -īna are used for place names, as collectives, and denote
female persons, work places (or practices) and meat names. -ūnus forms
several desubstantival nouns and is derived from *-no- to u-stems (possibly
deinstrumental). L -ōno-/-ā, particularly and most remarkably used to derive
names of divinities, has a possible cognate in Proto-Celtic *-ŏnā̆ (especially
frequent in Gaulish) for names of goddesses. See also chapter 3.
(GOU 187; HCGL 289-90; LG 324-9; NWI 312-2, 452-3; NWIG 53-4, 58-9,
61, 69-71, 97, 129-30, 136, 139, 141)"	"GOU 187; HCGL 289-90; LG 324-9; NWI 312-2, 452-3; NWIG 53-4, 58-9,
61, 69-71, 97, 129-30, 136, 139, 141"
de-goede-2014-suffix-045	19	2.3.1	(*)-n-	B. Not (directly) reconstructable to PIE	-ō(n)	(L)		"This suffix is used for (deverbal, desubstantival, deadjectival) personal
(nick)names and characteristics. Synchronically it is one single suffix.
According to Weiss (2009) -ō(n) diachronically goes back to two suffixes: the
PIE thematic adjectival n-stem suffix *-e-/-on (in cases such as Catō ‘sharpy’
< catus ‘sharp’) and the individualizing “Hoffmann suffix” *-Hon-, which was
added to nominal bases (e.g. āleō ‘gambler’ < ālea ‘game of chance’). (NWIG
16, 36, 40, 42; HCGL 309-10)"	"NWIG
16, 36, 40, 42; HCGL 309-10"
de-goede-2014-suffix-046	19	2.3.2	(*)-m(n̥)-	A. Reconstructable to PIE	*-mn̥ -			"This PIE suffix mainly derived nomina actionis.13
OI -m, Gaul. -man, W -fa(n)14. This suffix derives nomina actionis in
the Celtic languages.
L -men derives nomina actionis and nomina rei actae, although it also
occurs in some desubstantival formations. A (non-PIE) variant: -āmen. (GOU
183; HCGL 313; LG 370-1; NWI 241-3; NWIG 10, 35, 47; SWW 370-89)"	"GOU
183; HCGL 313; LG 370-1; NWI 241-3; NWIG 10, 35, 47; SWW 370-89"
de-goede-2014-suffix-047	19	2.3.2	(*)-m(n̥)-	A. Reconstructable to PIE	*-m(h1)no-			"In PIE this suffix derived middle-passive participles.
OI -(a)main. Very rare as a participle suffix in Old Irish. However,
there are many nomina actionis in Old Irish derived from old participles.
In Latin (reflexes: masculine -mnus, feminine -mnia/-mina) the suffix
did not partake in the formation of participles either. There are, however, some
traces in Latin of deverbal formations. (BG 154-6; HCGL 291; NWI 436-8)"	BG 154-6; HCGL 291; NWI 436-8
de-goede-2014-suffix-048	20	2.3.2	(*)-m(n̥)-	A. Reconstructable to PIE	*-(t)(m̥ )mo-			"In PIE this suffix was engaged in several deverbal formations. *-mo- is
particularly known as a suffix deriving participles and quasi-participial
adjectives. Its feminine counterpart *-meh2 derived agent nouns. *-(t)m̥ mo-/-
mo- probably derived ordinals and superlatives from adverbial bases.
OI -(V)m formed deverbal adjectives. Feminine nominalizations
function as nomina actionis. The suffix is present in all Celtic languages, but is
not particularly frequent and mostly occurs in old formations. For *-m̥ mo- see

*-is-m̥ mo- in chapter 2.7.
In Latin, the suffix (with reflexes -mus, -ma) occurs exclusively in old
forms. Nouns constitute the largest part of the examples. In addition, there is a
group of adjectives. Insofar they can be identified, the formations seem to
have been deverbal. For *-m̥ mo- see *-is-m̥ mo- in chapter 2.7.
(BG 156-64; GOU 185; HCGL 286; LG 319-20; NWI 246-7; NWIG 14;
VGKS II 60-1)"	"BG 156-64; GOU 185; HCGL 286; LG 319-20; NWI 246-7; NWIG 14;
VGKS II 60-1"
de-goede-2014-suffix-049	20	2.3.2	(*)-m(n̥)-	B. Not (directly) reconstructable to PIE	*-mn-ā	(pre-OI)		"OI -mon, which derives nomina actionis, is a relatively young formation.
(NWI 248)"	NWI 248
