bib_id,cite_key,section,pdf_page_start,pdf_page_end,abbreviation,authors_raw,year,title,publication_or_container,urls,doi,pages,type_guess,parse_confidence,raw_reference
B0773,sarno-2017,print,484,484,,"Sarno, Stefania, Alessio Boattini, Luca Pagani, Marco Sazzini, Sara De Fanti, Andrea Quagliariello, Guido A. Gnecchi Ruscone, Etienne Guichard, Graziella Ciani, Eugenio Bortolini, Chiara Barbieri, Elisabetta Cilli, Rosalba Petrilli, Ilia Mikerezi, Luca Sineo, Miguel Vilar, Spencer Wells, Donata Luiselli, and Davide Pettener",2017,Ancient and Recent Admixture Layers in Sicily and Southern Italy Trace Multiple Migration Routes along the Mediterranean,"Scientific Reports 7, 1984.",,,,other,medium,"Sarno, Stefania, Alessio Boattini, Luca Pagani, Marco Sazzini, Sara De Fanti, Andrea Quagliariello, Guido A. Gnecchi Ruscone, Etienne Guichard, Graziella Ciani, Eugenio Bortolini, Chiara Barbieri, Elisabetta Cilli, Rosalba Petrilli, Ilia Mikerezi, Luca Sineo, Miguel Vilar, Spencer Wells, Donata Luiselli, and Davide Pettener. 2017. Ancient and Recent Admixture Layers in Sicily and Southern Italy Trace Multiple Migration Routes along the Mediterranean. Scientific Reports 7, 1984."
B0774,saupe-2021,print,484,484,,"Saupe, Tina, Francesco Montinaro, Cinzia Scaggion, Nicola Carrara, Toomas Kivisild, Eugenia D’Atanasio, Ruoyun Hui, Anu Solnik, Ophélie Lebrasseur, Greger Larson, Lica Alessandri, Ilenia Arienzo, Flavio De Angelis, Mario F. Rolfo, Robin Skeates, Letizia Silvestri, Jessica Beckett, Sahra Talamo, Andrea Dolfini, Monica Miari, …Christiana L. Scheib",2021,Ancient Genomes Reveal Structural Shifts after the Arrival of Steppe-Related Ancestry in the Italian Peninsula,Current Biology 31(12): 2576-91.,,,2576-91,journal_article,medium,"Saupe, Tina, Francesco Montinaro, Cinzia Scaggion, Nicola Carrara, Toomas Kivisild, Eugenia D’Atanasio, Ruoyun Hui, Anu Solnik, Ophélie Lebrasseur, Greger Larson, Lica Alessandri, Ilenia Arienzo, Flavio De Angelis, Mario F. Rolfo, Robin Skeates, Letizia Silvestri, Jessica Beckett, Sahra Talamo, Andrea Dolfini, Monica Miari, …Christiana L. Scheib. 2021. Ancient Genomes Reveal Structural Shifts after the Arrival of Steppe-Related Ancestry in the Italian Peninsula. Current Biology 31(12): 2576-91."
B0775,schaffner-2014,print,484,484,,"Schaffner, Stefan",2014,Zur Wortbildung und Etymologie von lateinisch autumnus “Herbst”,Graecolatina et Orientalia 35-6: 67-102.,,,67-102,journal_article,medium,"Schaffner, Stefan. 2014. Zur Wortbildung und Etymologie von lateinisch autumnus “Herbst”. Graecolatina et Orientalia 35-6: 67-102."
B0776,scheftelowitz-1904,print,484,484,,"Scheftelowitz, J",1904,Die begriffe für „schädel“ im Indogermanischen,Beiträge zur kunde der indogermanischen sprachen 28: 143-158.,,,143-158,journal_article,medium,"Scheftelowitz, J. 1904. Die begriffe für „schädel“ im Indogermanischen. Beiträge zur kunde der indogermanischen sprachen 28: 143-158."
B0777,schindler-1994,print,484,484,,"Schindler, Jochem",1994,Alte und neue Fragen zum indogermanischen Nomen,"In Rasmussen, Jens E. (ed.). In memoriam Holger Pedersen. Kolloquium der Indogermanischen Gesellschaft vom 26. bis 28. März 1993 in Kopenhagen, pp. 397-400. Wiesbaden: Reichert.",,,,chapter_or_edited_volume,medium,"Schindler, Jochem. 1994. Alte und neue Fragen zum indogermanischen Nomen. In Rasmussen, Jens E. (ed.). In memoriam Holger Pedersen. Kolloquium der Indogermanischen Gesellschaft vom 26. bis 28. März 1993 in Kopenhagen, pp. 397-400. Wiesbaden: Reichert."
B0778,schmalstieg-1976,print,484,484,,"Schmalstieg, William R",1976,Studies in Old Prussian,University Park/London: Pennsylvania State University Press.,,,,book_or_monograph,medium,"Schmalstieg, William R. 1976. Studies in Old Prussian. University Park/London: Pennsylvania State University Press."
B0779,schmid-2016,print,484,484,,"Schmid, Stephan",2016,Segmental Phonology,"In Ledgeway, Adam and Martin Maiden (eds.). The Oxford Guide to the Romance Languages, pp. 471-83. Oxford: Oxford University Press.",,,,chapter_or_edited_volume,medium,"Schmid, Stephan. 2016. Segmental Phonology. In Ledgeway, Adam and Martin Maiden (eds.). The Oxford Guide to the Romance Languages, pp. 471-83. Oxford: Oxford University Press."
B0780,schmidt-1895,print,484,485,,"Schmidt, Johannes",1895,Kritik der Sonantentheorie,Weimar: Hermann Böhlaus Nachfolger.,,,,book_or_monograph,medium,"Schmidt, Johannes. 1895. Kritik der Sonantentheorie. Weimar: Hermann Böhlaus Nachfolger."
B0781,schmidt-1966,print,485,485,,"Schmidt, Karl-Horst",1966,Keltisches Wortgut im Lateinischen,Glotta 44: 151-74.,,,151-74,journal_article,medium,"Schmidt, Karl-Horst. 1966. Keltisches Wortgut im Lateinischen. Glotta 44: 151-74."
B0782,schrader-1883,print,485,485,,"Schrader, Otto",1883,Sprachvergleichung und Urgeschichte: Linguistisch-historische Beiträge zur Erforschung des indogermanischen Altertums,Jena: Hermann Costenoble.,,,,book_or_monograph,medium,"Schrader, Otto. 1883. Sprachvergleichung und Urgeschichte: Linguistisch-historische Beiträge zur Erforschung des indogermanischen Altertums. Jena: Hermann Costenoble."
