statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0071-s02,liv2add-0071,23,*g̑-,*g̑emH-,"Neu: *g̑emH- ‘zahlen, vergelten’¹",Neubildungen,Neubildungen: ske-Präsens sogd. ’wzms ‘wurde zurückbezahlt’,,wurde zurückbezahlt,
liv2add-0071-s03,liv2add-0071,23,*g̑-,*g̑emH-,"Neu: *g̑emH- ‘zahlen, vergelten’¹",Kausativ,"Kausativ sogd. ’wz’m- ‘zurückbezahlen, kompensieren’",,"zurückbezahlen, kompensieren",
liv2add-0072-s01,liv2add-0072,23-24,*g̑-,*g̑enh₁-,*g̑enh₁-,Aorist,Aorist … gr. ἐγένετο ...,,,contains-greek
liv2add-0072-s02,liv2add-0072,23-24,*g̑-,*g̑enh₁-,*g̑enh₁-,Zum Aorist,"Zum Aorist auch ?toch. Opt. B käñiyoytär, A knitär8a Zu streichen altbritann. gnat, s. SCHUMACHER, KPV 345 mit Lit.",,,
liv2add-0072-s03,liv2add-0072,23-24,*g̑-,*g̑enh₁-,*g̑enh₁-,Zum Perfekt,"Zum Perfekt auch gr. …; Med. γεγένημαι (<- *γεγνη- < *g̑e-g̑n̥h₁-) toch.B kānare ‘erfüllten’, Ptz. B kekenu, A kaknu ‘versehen mit’17a",*γεγνη-; *g̑e-g̑n̥h₁-,erfüllten; versehen mit,contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0072-s04,liv2add-0072,23-24,*g̑-,*g̑enh₁-,*g̑enh₁-,Desiderativ,"Desiderativ ?*g̑énh₁/g̑n̥h₁-s-
[ved. janiṣyate ‘wird geboren werden’
[air. Konj. -genadar* ‘soll geboren werden’",*g̑énh₁/g̑n̥h₁-s-,wird geboren werden; soll geboren werden,contains-combining-marks; contains-subscript-numerals
liv2add-0072-s05,liv2add-0072,23-24,*g̑-,*g̑enh₁-,*g̑enh₁-,Neubildungen,"Neubildungen
R(e)-i̯e-Präsens
air. gniid, -gníí ‘machen’, mkymr. (+) gweinyð
‘dient’21",,machen; dient,contains-combining-marks
liv2add-0076-s01,liv2add-0076,24-25,*g̑ʰ-,*gʰan-,*gʰan- → *g̑ʰeh₂-1,Präsens,"Präsens
*g̑ʰ-né/n̥-h₂-
[gr. Aor. ἔχανον ‘gähnte, öffnete den Mund’;
[gr. hom. Ptz. κεχηνότα Il. 16,409 ‘mit offenem Mund’
[an. gana sw.3 ‘mit offenem Mund dastehen, gaffen’",*g̑ʰ-né/n̥-h₂-,"gähnte, öffnete den Mund; mit offenem Mund; mit offenem Mund dastehen, gaffen",contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0078-s01,liv2add-0078,25,*g̑ʰ-,*g̑ʰeh₁-,*g̑ʰeh₁-,Präsens,"Präsens
hierher auch ved. jíhīte ‘geht weg, weicht (zurück)’",,"geht weg, weicht (zurück)",
liv2add-0079-s01,liv2add-0079,25,*g̑ʰ-,*g̑ʰeh₁(i̯)-,*g̑ʰeh₁(i̯)- → *g̑ʰeh₂(i̯)-1,Präsens,"Präsens
*g̑ʰh₂i-sk̑é-
[lat. hīscō, -ere ‘sich öffnen; den Mund öffnen’",*g̑ʰh₂i-sk̑é-,sich öffnen; den Mund öffnen,contains-combining-marks; contains-subscript-numerals
liv2add-0079-s02,liv2add-0079,25,*g̑ʰ-,*g̑ʰeh₁(i̯)-,*g̑ʰeh₁(i̯)- → *g̑ʰeh₂(i̯)-1,Perfect,Perfect ?*g̑ʰe-g̑ʰóh₂i̯/g̑ʰh₂i- [toch.B Ptz. Prät. kakāyau ‘weit geöffnet habend’,*g̑ʰe-g̑ʰóh₂i̯/g̑ʰh₂i-,weit geöffnet habend,contains-combining-marks; contains-subscript-numerals
liv2add-0079-s03,liv2add-0079,25,*g̑ʰ-,*g̑ʰeh₁(i̯)-,*g̑ʰeh₁(i̯)- → *g̑ʰeh₂(i̯)-1,Neubildungen,"Neubildungen
Essiv germ. *gī(j)ai-: ahd. gīēn ‘gähnen’
Anm. 1 Gegen LIV² nicht *g̑ʰeh₁(i̯)-, sondern erweiterung von *g̑ʰeh₂- (s.d.), die von einem i-
Präsens ausging, vgl. BEEKES, EDG (2) 1617; LUBOTSKY, WeCIEC 22.
Anm. 2 Gegen Neubildung *g̑ʰih₂-néu̯- spricht das Fehlen von Spuren eines Grundverbs.
Anm. 3 Oder < *zai-je- < *g̑ʰeh₂i-i̯e- zu Aorist *g̑ʰeh₂i-, COVINI, UCLA 2015.",*gī(j)ai-; *g̑ʰeh₁(i̯)-; *g̑ʰeh₂-; *g̑ʰih₂-néu̯-; *zai-je-; *g̑ʰeh₂i-i̯e-; *g̑ʰeh₂i-,gähnen,contains-combining-marks; contains-subscript-numerals
liv2add-0080-s01,liv2add-0080,25,*g̑ʰ-,*g̑ʰei̯-,*g̑ʰei̯-,Zum Nasalpräsens,"Zum Nasalpräsens auch

?[germ. *ginna-: got. (+) du-ginnan ‘beginnen’3a",*ginna-,beginnen,
liv2add-0081-s01,liv2add-0081,25,*g̑ʰ-,*g̑ʰer-,1.*g̑ʰer- → *gʰer-,Zum Präsens,Zum Präsens auch [chwar. (+) ɣry- ‘sich freuen’3a,,sich freuen,
liv2add-0082-s01,liv2add-0082,25-26,*g-,*gem-,*gem-,Zum Präsens,"Zum Präsens auch ?Pashto zɣam- ‘ertragen’3a

Zu streichen: Perfekt (s.",,ertragen,
liv2add-0082-s02,liv2add-0082,25-26,*g-,*gem-,*gem-,Neubildungen,Neubildungen,,,
liv2add-0082-s03,liv2add-0082,25-26,*g-,*gem-,*gem-,Kausativ,"Kausativ parth. ’b-j’m- ‘quälen, foltern’8;
sogd. c. ɣmp- ‘sich bemühen’, baktr. γαμβ- ‘schädigen’9",,"quälen, foltern; sich bemühen; schädigen",contains-greek
liv2add-0083-s01,liv2add-0083,26,*g-,*g(w)erdʰ-,*g(w)erdʰ- → *gʷerdʰ-,Präsens,"Präsens
*gʷr̥-né/n-dʰ- chwar. rɣnd- ‘rufen, nennen’1a",*gʷr̥-né/n-dʰ-,"rufen, nennen",contains-combining-marks
liv2add-0084-s01,liv2add-0084,26,*g-,*ges-,Neu: ?*ges- ‚aufwerfen‘1,Präsens,"Präsens
?*ges-néu̯/nu-
arm. ən-kenowm ‘werfe’2",*ges-néu̯/nu-,werfe,contains-combining-marks
liv2add-0084-s02,liv2add-0084,26,*g-,*ges-,Neu: ?*ges- ‚aufwerfen‘1,Aorist,"Aorist
?*gḗs/ges-s-
arm. ən-kecʽ- ‘werfen’3
lat. gessī ‘trug’",*gḗs/ges-s-,werfen; trug,
liv2add-0086-s01,liv2add-0086,26,*gʰ-,*gʰed-,*gʰed-,Zum Aorist,Zum Aorist auch [alb. gjet- ‘fand’3a,,fand,
liv2add-0088-s01,liv2add-0088,27,*gʰ-,*gʰeu̯-,"Neu: ?*gʰeu̯- ‘fehlen, mangeln’1 IEW –",Präsens,"Präsens
?*gʰéu̯-e- [sogd. (+) ɣw- ‘fehlen, mangeln’2",*gʰéu̯-e-,"fehlen, mangeln",contains-combining-marks
liv2add-0088-s02,liv2add-0088,27,*gʰ-,*gʰeu̯-,"Neu: ?*gʰeu̯- ‘fehlen, mangeln’1 IEW –",Aorist,"Aorist
?* gʰḗu̯/gʰéu̯-s- aav. gāuš Y. 32,8 ‘sündigt (?)’",,sündigt (?),contains-combining-marks
liv2add-0088-s03,liv2add-0088,27,*gʰ-,*gʰeu̯-,"Neu: ?*gʰeu̯- ‘fehlen, mangeln’1 IEW –",Kausativ,"Kausativ ?*gʰou̯-éi̯e-
parth. pr-g’w- ‘schulden’, oss. iɣaw-/qaw- ‘verbrauchen; schädigen’",*gʰou̯-éi̯e-,schulden; verbrauchen; schädigen,contains-combining-marks
liv2add-0089-s01,liv2add-0089,27,*gʰ-,*gʰeu̯-,Neu: ?*gʰeu̯- ‘begünstigen’1 IEW 453,Iterativ,"Iterativ
?*gʰou̯-éi̯e-
lat. faueō, -ēre ‘begünstigen, gewogen sein’2",*gʰou̯-éi̯e-,"begünstigen, gewogen sein",contains-combining-marks
liv2add-0090-s01,liv2add-0090,27,*gʰ-,*gʰreh₁-,"Neu: ?*gʰreh₁- ‘wachsen, sprießen’",Präsens,"Präsens
?*gʰréh₁-i̯e-
[germ. *grōa-: an. (+) gróa ‘wachsen’2",*gʰréh₁-i̯e-; *grōa-,wachsen,contains-combining-marks; contains-subscript-numerals
liv2add-0090-s02,liv2add-0090,27,*gʰ-,*gʰreh₁-,"Neu: ?*gʰreh₁- ‘wachsen, sprießen’",Perfekt,"Perfekt
?*gʰe-gʰróh₁/gʰr̥h₁-
germ. *gegrō- → [an. greri ‘wuchs’; [ae. grēow ‘wuchs’",*gʰe-gʰróh₁/gʰr̥h₁-; *gegrō-,wuchs; wuchs,contains-combining-marks; contains-subscript-numerals
liv2add-0093-s01,liv2add-0093,28,*gʷ-,*gʷeh₂-,*gʷeh₂-,Zum Präsens,Zum Präsens auch khot. jsāte ‘geht’5a,,geht,
liv2add-0094-s01,liv2add-0094,28,*gʷ-,*gʷelH-,2.*gʷelH-,Präsens,"Präsens *gʷélH-e/o- besser athematisch *gʷélH-/gʷl̥H-
[ai. klass. galati ‘träufelt herab’, ai. *gira- ‘tröpfeln; fallen’2
[chwar. z-ɣr- ‘leck sein’; š-ɣr- ‘feucht werden’2a
[germ. *kwella-: ahd. (+) quellan ‘quellen’3",*gʷélH-e/o-; *gʷélH-/gʷl̥H-; *gira-; *kwella-,träufelt herab; tröpfeln; fallen; leck sein; feucht werden; quellen,contains-combining-marks
liv2add-0094-s02,liv2add-0094,28,*gʷ-,*gʷelH-,2.*gʷelH-,Kausativ,Kausativ ?*gʷolH-éi̯e/o- chwar. (+) š-ɣ’rȳ- ‘feucht machen’6,*gʷolH-éi̯e/o-,feucht machen,contains-combining-marks
liv2add-0095-s01,liv2add-0095,28-29,*gʷ-,*gʷem-,*gʷem-,Aorist,"Aorist
[Präs. got. qiman, ahd. queman; an. koma, ae. cuman5a
[ae. Opt. Präs. cyme5b",,,
liv2add-0095-s02,liv2add-0095,28-29,*gʷ-,*gʷem-,*gʷem-,Neubildungen,"Neubildungen
R(z)-e-Präs. an. (+) koma, ae. cuman ‘kommen’",,kommen,
liv2add-0096-s01,liv2add-0096,29,*gʷ-,*gʷerH-,*gʷerH-,Neubildungen,"Neubildungen
Kaus.-Iter.
sogd. z-ɣ’yr- ‘rufen’12",,rufen,
liv2add-0097-s01,liv2add-0097,29,*gʷ-,*gʷerh₃-,*gʷerh₃-,Neubildungen,"Neubildungen:
Intensivum
ved. Konj. áva … jalgulas RV ‘wirst/sollst
hinunterschlingen’12",,"wirst/sollst
hinunterschlingen",
liv2add-0098-s01,liv2add-0098,29,*gʷ-,*gʷg̑ʰer-,*gʷg̑ʰer-,Neubildungen,"Neubildungen:
i̯e-Präsens
chwar. β-žry- ‘überfließen’; oss. æğzæl- ‘abfließen, tropfen’
Vgl. SAMADI 50; CHEUNG, EDIV 123-4.",,"überfließen; abfließen, tropfen",contains-greek; contains-combining-marks
liv2add-0101-s01,liv2add-0101,30,*H-,*Hi̯ag̑-,"*Hi̯ag̑- → *h₁i̯ag̑-¹ ‚opfern, verehren‘¹a",Zum Präsens,"Zum Präsens *h₁ig̑-i̯e- auch hluw. izi-/izia- ‚*verehren; machen, durchführen‘, Med. ‚werden‘¹b [lat. ieientāre ‚frühstücken‘²a",*h₁ig̑-i̯e-; *verehren,"*verehren; machen, durchführen; werden; frühstücken",contains-combining-marks; contains-subscript-numerals
liv2add-0102-s01,liv2add-0102,30,*H-,*Hi̯eu̯dʰ-,*Hi̯eu̯dʰ-,Zum Präsens,"Zum Präsens *Hi̯u-né/n-dʰ- auch air. uin-se ‘*du merkst’, ondar ‘*wird bemerkt’3a",*Hi̯u-né/n-dʰ-; *du; *wird,*du merkst; *wird bemerkt,contains-combining-marks
liv2add-0102-s02,liv2add-0102,30,*H-,*Hi̯eu̯dʰ-,*Hi̯eu̯dʰ-,Zum Präsens,Zum Präsens *Hi̯udʰ-sk̑é- auch ?parth.(+) yws- ‘kämpfen’4a,*Hi̯udʰ-sk̑é-,kämpfen,contains-combining-marks
liv2add-0102-s03,liv2add-0102,30,*H-,*Hi̯eu̯dʰ-,*Hi̯eu̯dʰ-,Zum Kausativ,"Zum Kausativ(-Iterativ) auch baktr.(+) ιωλ- ‘kämpfen’5a

Zur Neubildung R(z)-e-Präsens auch ?aksl. idǫ ‘gehe’9a",,kämpfen; gehe,contains-greek
liv2add-0103-s01,liv2add-0103,30-31,*H-,*Hi̯eu̯h₂-,"Neu: *Hi̯eu̯h₂- ‘weiden, grasen’1",Präsens,"Präsens
?*Hi̯éu̯h₂- med. nia. khow. (+) žib- ‘essen’; Prät. oyoi; nur. kt. yǖ- ‘essen’
iran. *yaw(a)-: waxi yaw-, 3s yit ‘essen’2
gr. *ἑάμενoς ‘weidend’ ⇒ hom. εἱαμενή f. ‘(sumpfige) Weide’",*Hi̯éu̯h₂-; *yaw(a)-; *ἑάμενoς,essen; essen; essen; weidend; (sumpfige) Weide,contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0104-s01,liv2add-0104,31,*H-,*mei̯-,1.*mei̯- → *Hmei̯-,Perfekt,"Perfekt
*He-Hmói̯/Hmi- ?heth. mēmai ‘spricht, sagt’3a
ved. mimāya ‘hat errichtet’
air. -mi ‘befestigte’3b",*He-Hmói̯/Hmi-,"spricht, sagt; hat errichtet; befestigte",contains-combining-marks
liv2add-0105-s01,liv2add-0105,31,*H-,*Hmelk̑-,*Hmelk̑-,Zum Präsens,Zum Präsens auch sogd. c. pc-mrws- ‘berühren’2a,,berühren,
liv2add-0105-s02,liv2add-0105,31,*H-,*Hmelk̑-,*Hmelk̑-,Zum Iterativ,"Zum Iterativ auch np. par-mās- ‘berühren, fühlen’5",,"berühren, fühlen",
liv2add-0108-s01,liv2add-0108,32,*h₁-,*h₁ed-,*h₁ed-,Perfekt,"Perfekt
*h₁e-h₁ód/h₁d- jav. āθa F. 7,347 ‘habe/hat gefressen’11b",*h₁e-h₁ód/h₁d-,habe/hat gefressen,contains-greek; contains-subscript-numerals
liv2add-0109-s01,liv2add-0109,32,*h₁-,*h₁egʷʰ-1,*h₁egʷʰ-1,Aorist,"Aorist
?*h₁égʷʰ-/h₁gʷʰ-
heth. ekuzi/eukzi, akuanzi ‘trinken’, pal. ahuwānti ‘trinken’;
luw. u-
[toch.B yāś ‘trank’2a",*h₁égʷʰ-/h₁gʷʰ-,trinken; trinken; trank,contains-subscript-numerals
liv2add-0109-s02,liv2add-0109,32,*h₁-,*h₁egʷʰ-1,*h₁egʷʰ-1,Präsens,"Präsens
*h₁é-h₁ogʷʰ/h₁gʷʰ-
[toch.B yokäṃ ‘trinkt’, A yoktsi ‘trinken’3",*h₁é-h₁ogʷʰ/h₁gʷʰ-,trinkt; trinken,contains-subscript-numerals
liv2add-0112-s01,liv2add-0112,32-33,*h₁-,*h₁ep-,*h₁ep-,Zum Kausativ,"Zum Kausativ-Iterativ auch ?khot. (+) by-ev- ‘erhalten’, pr-ev- ‘erlangen’6a ?umbr. /opẹ-/ ‘annehmen’6b; frühlat. opet CIL² 4 ‘akzeptiert’",,erhalten; erlangen; annehmen; akzeptiert,
liv2add-0112-s02,liv2add-0112,32-33,*h₁-,*h₁ep-,*h₁ep-,Zum Desiderativ,"Zum Desiderativ *h₁ép/h₁p-s- auch ?chwar. yf- ‘erreichen, einholen, finden’7b",*h₁ép/h₁p-s-,"erreichen, einholen, finden",contains-subscript-numerals
liv2add-0113-s01,liv2add-0113,33,*h₁-,*h₁er-,*h₁er-,Zum Aorist,"Zum Aorist auch ?[alb. për-jer, prier ‘wendet, dreht um’, priret ‘kehrt um’4b Zu trennen wohl heth. arta ‚steht’, s. *h₃er-",*h₃er-,"wendet, dreht um; kehrt um; steht",contains-subscript-numerals
liv2add-0113-s02,liv2add-0113,33,*h₁-,*h₁er-,*h₁er-,Zum Perfekt,"Zum Perfekt auch aalb. per-uor ‘drehte um, wendete’11",,"drehte um, wendete",
liv2add-0115-s01,liv2add-0115,33,*h₁-,*h₁eu̯s-,*h₁eu̯s-,Zum Präsens,Zum Präsens auch khot. by-ūvā’re ‘sie brennen’1a,,sie brennen,
liv2add-0116-s01,liv2add-0116,33,*h₁-,*h₁ger-,*h₁ger-,Präsens,"Präsens *h₁gr̥-sk̑ó- ?jav. *fraɣərəsəmna- H. 1,13 ‘erwachend’²a
alb. ngrihet ‘erhebt sich’²b",*h₁gr̥-sk̑ó-; *fraɣərəsəmna-,erwachend; erhebt sich,contains-combining-marks; contains-subscript-numerals
liv2add-0116-s02,liv2add-0116,33,*h₁-,*h₁ger-,*h₁ger-,Zum Perfekt,Zum Perfekt auch ?sogd. (+) ɣ’r- ‘(be)wachen’⁵a,,(be)wachen,
liv2add-0116-s03,liv2add-0116,33,*h₁-,*h₁ger-,*h₁ger-,Essiv/Fientiv,"Essiv/Fientiv *h₁gr-éh₁-
[chwar. ɣr’s-, parth. wy-gr’s- ‘erwachen’7",*h₁gr-éh₁-,erwachen,contains-subscript-numerals
liv2add-0117-s01,liv2add-0117,33-34,*h₁-,*h₁leu̯dʰ-,*h₁leu̯dʰ-,Aorist,"Aorist
?*h₁léudʰ-/h₁ludʰ-2a",*h₁léudʰ-/h₁ludʰ-2a,,contains-subscript-numerals
liv2add-0118-s01,liv2add-0118,34,*h₁-,*h₁rem-,*h₁rem-,Zum Präsens,"Zum Präsens chwar. (+) rm- ‘sich fernhalten’, pc-rm- ‘ruhig werden’2a",,sich fernhalten; ruhig werden,
liv2add-0118-s02,liv2add-0118,34,*h₁-,*h₁rem-,*h₁rem-,Neubildungen,"Neubildungen:
… ske-Präsens
sogd. -rms- ‘ruhig werden’9
i̯e-Präsens
baktr. (+) ριμ- ‘gefallen, passen’10",,"ruhig werden; gefallen, passen",contains-greek; contains-combining-marks
liv2add-0119-s01,liv2add-0119,34,*h₁-,*h₁u̯eh₂-0,*h₁u̯eh₂-0 ‘leer sein/werden’1,Präsens,"Präsens
*h₁u-né/n-h₂-
heth. ūnhanzi ‚leeren, räumen‘1aa",*h₁u-né/n-h₂-,"leeren, räumen",contains-subscript-numerals
liv2add-0120-s01,liv2add-0120,34-35,*h₁-,*u̯enh₁-,"*u̯enh₁- → *h₁u̯en- ‘hinschütten, ausstreuen’1",Aorist,"Aorist
*h₁u̯én-/h₁u̯n̥-
alb. ageg. vû ‘setzte, stellte, legte’2",*h₁u̯én-/h₁u̯n̥-,"setzte, stellte, legte",contains-combining-marks; contains-subscript-numerals
liv2add-0120-s02,liv2add-0120,34-35,*h₁-,*u̯enh₁-,"*u̯enh₁- → *h₁u̯en- ‘hinschütten, ausstreuen’1",Präsens,"Präsens
*h₁u̯én-e-
av. ni-uuānəṇti ‘verbergen’3, chwar. b’-wñ- ‘verbergen’4
alb. vë, ageg. vê ‘setzt, stellt, legt’5",*h₁u̯én-e-,"verbergen; verbergen; setzt, stellt, legt",contains-combining-marks; contains-subscript-numerals
liv2add-0120-s03,liv2add-0120,34-35,*h₁-,*u̯enh₁-,"*u̯enh₁- → *h₁u̯en- ‘hinschütten, ausstreuen’1",Kausativ,"Kausativ *h₁u̯on-éi̯o-
chwar. ’-w’ny- ‘bedecken; beherbergen’6",*h₁u̯on-éi̯o-,bedecken; beherbergen,contains-combining-marks; contains-subscript-numerals
liv2add-0123-s01,liv2add-0123,35,*h₁-,*h₁u̯es-1,Neu: *h₁u̯es-1 ‘gut werden/sein’ IEW 1174-5,Präsens,"Präsens
*h₁u̯és- Stativ
kluw. wassāri ‘ist günstig’, hluw. was(a)- ‘gut, lieb sein’
?[ap. patiyāvahạyaiy DB 1,55 ‘ich betete (an)’2,
parth. (+) pd-wh- ‘beten, anflehen’3",*h₁u̯és-,"ist günstig; gut, lieb sein; ich betete (an); beten, anflehen",contains-combining-marks; contains-subscript-numerals
liv2add-0125-s01,liv2add-0125,35,*h₂-,*h₂ei̯dʱ-,*h₂ei̯dʱ-,Zum Präsens,"Zum Präsens *h₂i-né/n-dʱ- auch [mkymr. ennynn ‘zündet an, entzündet, erregt’2a",*h₂i-né/n-dʱ-,"zündet an, entzündet, erregt",contains-subscript-numerals
liv2add-0125-s02,liv2add-0125,35,*h₂-,*h₂ei̯dʱ-,*h₂ei̯dʱ-,Zum Präsens,Zum Präsens *h₂éi̯dʱe- auch arm. ayrem ‘zünde an’4a,*h₂éi̯dʱe-,zünde an,contains-combining-marks; contains-subscript-numerals
liv2add-0126-s01,liv2add-0126,35-36,*h₂-,*h₂ei̯s-,*h₂ei̯s-,Desiderativ,"Desiderativ ?*h₂éi̯s/h₂is-s-
[lat. quaesō, -ere ‘suchen, bitten’8
?[got. got. fraisan ‘versuchen, verführen’10a",*h₂éi̯s/h₂is-s-,"suchen, bitten; versuchen, verführen",contains-combining-marks; contains-subscript-numerals
liv2add-0131-s01,liv2add-0131,36-37,*h₂-,*h₂eu̯dʰ-,"Neu: ?*h₂eu̯dʰ- ‚gewähren, verleihen‘¹ IEW 76",Aorist,"Aorist
?*h₂éu̯dʰ-/h₂udʰ-
keltib. auðanto K.1.3, Ü ‘wurden gewährt’, Konj. (?) auðeti
K.1.1, A-10 ‘soll bereitstellen’2",*h₂éu̯dʰ-/h₂udʰ-,wurden gewährt; soll bereitstellen,contains-combining-marks; contains-subscript-numerals
liv2add-0131-s02,liv2add-0131,36-37,*h₂-,*h₂eu̯dʰ-,"Neu: ?*h₂eu̯dʰ- ‚gewähren, verleihen‘¹ IEW 76",Präsens,"Präsens
?*h₂udʰ-é-
[air. odaid*, ·oid ‘leiht’3",*h₂udʰ-é-,leiht,contains-subscript-numerals
liv2add-0131-s03,liv2add-0131,36-37,*h₂-,*h₂eu̯dʰ-,"Neu: ?*h₂eu̯dʰ- ‚gewähren, verleihen‘¹ IEW 76",Desiderativ,"Desiderativ ?*h₂éu̯dʰ/h₂udʰ-s-
air. Konj. 2s ō̆iss ‘würdest leihen’4",*h₂éu̯dʰ/h₂udʰ-s-,würdest leihen,contains-combining-marks; contains-subscript-numerals
liv2add-0131-s04,liv2add-0131,36-37,*h₂-,*h₂eu̯dʰ-,"Neu: ?*h₂eu̯dʰ- ‚gewähren, verleihen‘¹ IEW 76",Neubildungen,"Neubildungen:
Perfekt
air. ·úaid ‘hat geliehen’5",,hat geliehen,
liv2add-0132-s01,liv2add-0132,37,*h₂-,*h₂eu̯g-,*h₂eu̯g-,Zum Präsens,Zum Präsens auch arm. ačem ‘wachse’1a,,wachse,
liv2add-0132-s02,liv2add-0132,37,*h₂-,*h₂eu̯g-,*h₂eu̯g-,Kausativ,Kausativ: zu streichen3,,,
liv2add-0133-s01,liv2add-0133,37,*h₂-,*h₂g̑er-,*h₂g̑er-,Perfekt,"Perfekt
?*h₂e-h₂g̑ór/h₂g̑r-
?[toch.B Prät. karāre ‘versam00melten’, Konj. kārau
‘soll/werde sammeln’2b",*h₂e-h₂g̑ór/h₂g̑r-,versam00melten; soll/werde sammeln,contains-combining-marks; contains-subscript-numerals
liv2add-0135-s01,liv2add-0135,37,*h₂-,*h₂lei̯t-,Neu: *h₂lei̯t- ‚Leid zufügen?‘¹ IEW 672,Aorist,"Aorist
*h₂léi̯t-/h₂lit-
[gr. ἤλιτον ‘frevelte’2",*h₂léi̯t-/h₂lit-,frevelte,contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0137-s01,liv2add-0137,37,*h₂-,*h₂merg̑-,*h₂merg̑-,Zum Iterativ,"Zum Iterativ auch chwar. (+) mžyd ‘polierte’ (SAMADI 114, CHEUNG, EDIV 180-1)",,polierte,
liv2add-0138-s01,liv2add-0138,37-38,*h₂-,*redʰ-,"(*redʰ- →) *h₂redʰ- ‘hervorkommen, herauskommen’1",Präsens,"Präsens
*h₂rédʰ-e-
gr. Quellname ᾿Αρέϑουσα *‘Hervorquellende’2
alb. rrjedh ‘fließen, laufen, quellen’3",*h₂rédʰ-e-,"Hervorquellende; fließen, laufen, quellen",contains-greek; contains-subscript-numerals
liv2add-0138-s02,liv2add-0138,37-38,*h₂-,*redʰ-,"(*redʰ- →) *h₂redʰ- ‘hervorkommen, herauskommen’1",Kausativ,"Kausativ *h₂rodʰ-éi̯o-
[lett. radu, radît ‘gebären, hervorbringen’
aksl. roždǫ, roditi ‘gebären’, refl. ‘geboren werden’4",*h₂rodʰ-éi̯o-,"gebären, hervorbringen; gebären; geboren werden",contains-combining-marks; contains-subscript-numerals
liv2add-0139-s01,liv2add-0139,38,*h₂-,*h₂rei̯H-,"Neu: ?*h₂rei̯H- ‚zählen, rechnen‘1",Präsens,"Präsens
*h₂ri-né/n-H-
[air. -ren, -renat ‘verkaufen, eintauschen, zahlen’",*h₂ri-né/n-H-,"verkaufen, eintauschen, zahlen",contains-subscript-numerals
liv2add-0139-s02,liv2add-0139,38,*h₂-,*h₂rei̯H-,"Neu: ?*h₂rei̯H- ‚zählen, rechnen‘1",Desiderativ,"Desiderativ ?*h₂réi̯H/h₂riH-s-
[air. Konj. 2s -riae, 3p -riat ‘mag verkaufen, zahlen’",*h₂réi̯H/h₂riH-s-,"mag verkaufen, zahlen",contains-combining-marks; contains-subscript-numerals
liv2add-0139-s03,liv2add-0139,38,*h₂-,*h₂rei̯H-,"Neu: ?*h₂rei̯H- ‚zählen, rechnen‘1",Neubildungen,"Neubildungen: Perfekt
air. -rir ‘verkaufte, zahlte’",,"verkaufte, zahlte",
liv2add-0140-s01,liv2add-0140,38,*h₂-,*h₂res-,*h₂res-,Zum Nasalpräsens,Zum Nasalpräsens auch ?[chwar. (+) n-rh- ‘frei werden’2a,,frei werden,
liv2add-0141-s01,liv2add-0141,38,*h₂-,*h₂reu̯-,"Neu: *h₂reu̯- ‘scheinen, wärmen’¹",Präsens,"Präsens
?*h₂ru-i̯é- chwar. pc-ry- ‘warm werden’2",*h₂ru-i̯é-,warm werden,contains-combining-marks; contains-subscript-numerals
liv2add-0141-s02,liv2add-0141,38,*h₂-,*h₂reu̯-,"Neu: *h₂reu̯- ‘scheinen, wärmen’¹",Kausativ,"Kausativ ?*h₂rou̯-éi̯e-
chwar. pc-r’wy- ‘erwärmen’, oss. a-raw- ‘im Feuer verbrennen’2",*h₂rou̯-éi̯e-,erwärmen; im Feuer verbrennen,contains-combining-marks; contains-subscript-numerals
liv2add-0142-s01,liv2add-0142,38,*h₂-,*h₂seu̯s-,*h₂seu̯s-,Zum Präsens,Zum Präsens *h₂sus-i̯é- auch bal. (+) huš- ‘austrocknen’2a,*h₂sus-i̯é-,austrocknen,contains-combining-marks; contains-subscript-numerals
liv2add-0143-s01,liv2add-0143,38-39,*h₂-,*u̯ebʰ-,*u̯ebʰ- → *h₂u̯ebʰh₁- ‘werfen (?); weben’1,Präsens,"Präsens
*h₂u̯óbʰh₁-/h₂u̯(é)bʰh₁-2
?heth. (katta) huwappi ‘wirft, schleudert (herab)’3
[?iran. *wafa-: mp. pahl. wp-, Shughni (+) wāf- ‘weben’4
[germ. *weba-: ahd. (+) weban ‘weben, flechten’
[?toch.A wpantär ‘weben’5",*h₂u̯óbʰh₁-/h₂u̯(é)bʰh₁-2; *wafa-; *weba-,"wirft, schleudert (herab); weben; weben, flechten; weben",contains-combining-marks; contains-subscript-numerals
liv2add-0143-s02,liv2add-0143,38-39,*h₂-,*u̯ebʰ-,*u̯ebʰ- → *h₂u̯ebʰh₁- ‘werfen (?); weben’1,Kausativ,"Kausativ *h₂u̯obʰh₁-éi̯e-
?sogd. (+) w’f- ‘weben’8
?germ. *wabja-: an. (+) vefja ‘umhüllen, umwickeln’9",*h₂u̯obʰh₁-éi̯e-; *wabja-,"weben; umhüllen, umwickeln",contains-combining-marks; contains-subscript-numerals
