statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0228-s01,liv2add-0228,57,*m-,*magʰ-,*magʰ-,Zum Präsens,"Zum Präsens auch ?[mkymr. armaaf ‘habe vor, beabsichtige’5a",,"habe vor, beabsichtige",
liv2add-0230-s01,liv2add-0230,58,*m-,*meg̑-,?Neu: *meg̑- ‘groß werden’1,Präsens,"Präsens
?*m̥ g̑-néu̯/nu-
[heth. maknu- ‘vermehren’2",*m̥,vermehren,contains-combining-marks
liv2add-0230-s02,liv2add-0230,58,*m-,*meg̑-,?Neu: *meg̑- ‘groß werden’1,Kausativ,"Kausativ ?*mog̑-éi̯e-
air. mog- ‘hinzufügen’; kymr. moi ‘ein Fohlen werfen’3",*mog̑-éi̯e-,hinzufügen; ein Fohlen werfen,contains-combining-marks
liv2add-0231-s01,liv2add-0231,58,*m-,*meh₂k-,Neu: *meh₂k- ‘lang werden/machen’1 IEW 699,Desiderativ,"Desiderativ ?*méh₂k/mh₂k-s-
[air. Konj. ·tōrma ‘nag vermehren’3",*méh₂k/mh₂k-s-,nag vermehren,contains-subscript-numerals
liv2add-0233-s01,liv2add-0233,58,*m-,*mei̯-,2.*mei̯- → h₂mei̯-,Zum Präsens,"Zum Präsens auch …?chwar. šmȳ- ‘lösen’ < *fra-maya-, vgl. SAMADI 197, Bedeutung über ‘auswechseln’? Dazu neu inch. šmsȳ-, SAMADI 196.",*fra-maya-,lösen; auswechseln,
liv2add-0234-s01,liv2add-0234,58-59,*m-,*mei̯gʰ-,"*mei̯gʰ- ‘(die Augen) schließen, blinzeln’0",Aorist,"Aorist
?*méigʰ-/migʰ- ?[khot. (+) nä-mäśdi ‘zwinkert’0a
skr. na-màže ‘blinzelte’0b
?[toch.B. Ptz. miko ‘die Augen geschlossen habend’0c",*méigʰ-/migʰ-,zwinkert; blinzelte; die Augen geschlossen habend,
liv2add-0234-s02,liv2add-0234,58-59,*m-,*mei̯gʰ-,"*mei̯gʰ- ‘(die Augen) schließen, blinzeln’0",Präsens,"Präsens
?*mi-né/n-gʱ-
lit. mingù, (mìgti) ‘einschlafen’0d
?[r.-ksl. (+) mьgnǫti ‘blinzeln’4",*mi-né/n-gʱ-,einschlafen; blinzeln,
liv2add-0236-s01,liv2add-0236,59,*m-,*mei̯kh₂-0,*mei̯kh₂-0,Aorist,"Aorist
*méi̯kh₂-/mikh₂- [lat. micuī ‘zuckte, blitzte auf’0a",*méi̯kh₂-/mikh₂-,"zuckte, blitzte auf",contains-combining-marks; contains-subscript-numerals
liv2add-0236-s02,liv2add-0236,59,*m-,*mei̯kh₂-0,*mei̯kh₂-0,Neubildungen,"Neubildungen:
Nasalpräsens ?air. do-meiccethar ‘verachtet’1
osorb. miknu, miknyć ‘blinzeln’4",,verachtet; blinzeln,
liv2add-0237-s01,liv2add-0237,59-60,*m-,*mel-¹,"*mel-¹ ‚nachdenken, sich sorgen‘ IEW 718",Präsens,"Präsens *mél-e-
gr. μέλομαι ‘sich sorgen’2
?čech. mele mne ‘es verdrießt mich’3",*mél-e-,sich sorgen; es verdrießt mich,contains-greek
liv2add-0237-s02,liv2add-0237,59-60,*m-,*mel-¹,"*mel-¹ ‚nachdenken, sich sorgen‘ IEW 718",Perfekt,"Perfekt
*me-mól-/ml̥-
[gr. μέμηλε ‘liegt am Herzen’4, μέμβλεται ‘liegt am Herzen’5",*me-mól-/ml̥-,liegt am Herzen; liegt am Herzen,contains-greek; contains-combining-marks
