entry_id,pdf_page_range,markdown_start_line,section,heading,is_new,is_uncertain,ordinal_marker,primary_headword,all_star_forms_in_heading,target_headword,heading_gloss,heading_iew_refs,heading_relation_tags,body_markdown,body_char_flags
liv2add-0021,14,1187,*bʰ-,*breiH-,False,False,,*breiH-,*breiH-,,,,,"Präsens
*bʰréi̯H-e-
[alb. bren, ageg. /brê/ ‘(zer)nagt, zerfrisst’3a

Anm. 3a Spät umgebildet aus *brej-e/o-, SCHUMACHER/MATZINGER 967.",contains-combining-marks
liv2add-0022,14,1196,*bʰ-,*bʰreu̯s-,False,False,,*bʰreu̯s-,*bʰreu̯s-,,,,,"Ein Präsens iran. *bruša- anscheinend in Shughni (+) viraɣ̌- ‘brechen (tr.)’, 3s virīɣ̌d; daneben auch intrans. (3s virōɣ̌d), wohl aus dem alten Med.; jedenfalls gegen MORGENSTIERNE, EVS 85; CHEUNG, EDIV 24 kaum *braša- oder *braǰa-: Konsonantismus und Vokalismus wie bei kaɣ̌- /kaw- ‘töten’ < *kuša-.",contains-combining-marks
liv2add-0023,14,1201,*bʰ-,*bʰu̯eh₂-,False,False,,*bʰu̯eh₂-,*bʰu̯eh₂-,,,,,"Zum Keltischen s. SCHUMACHER, KPV 247-54 Aorist: Air. boí usw. vielmehr zum Perfekt Perfekt: zu ergänzen präsamn. fυf(υ)ϝοδ Ps 20 ‘waren’

Anm. 7 Air. boí < *buwe, wie mkymr. bu < *bube [buβe] ← *bu-b(u)u̯-e, s. SCHUMACHER, KPV 251-4; dagegen nach MCCONE 131-3 < *bʰuwe-, thematisiert aus *bʰū-/bʰuu̯-. Air. -bátar setzt offenbar einen Stamm *bā- voraus, dessen Erklärung unsicher ist, vgl. ibid. 255 mit Lit.

Anm. 8: … Nach SCHUMACHER, KPV 247-50 setzt gall. bue- wohl altes *buu̯-e- fort, das im Inselkelt. nach dem Präs. *bu̯ii̯o- zu *bu̯e- umgestaltet wurde, dort auch zu weiteren Formen.

Anm. 17 Gegen LÜHR, Koll. Freiburg 1981, 31, 56³6 mit Lit. wegen kymr. bydd-, bret. beth- aus *bĭi̯-, das man mit MCCONE 122 auf kelt. *bwiye- zurückführen kann, s. auch SCHUMACHER, KPV 246-7 (< *bʰu̯ich- mit Metathese aus *bʰuHi̯-?) ‒ oder direkt *bʰuHi̯° > *bʰui̯° > *bui̯° > *bii̯° (HILL, Vortrag Opava 2010).",contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0024,14,1215,*d,*dʰebʰ- → *debʰ-,False,False,,*dʰebʰ-,*dʰebʰ-; *debʰ-,*debʰ-,,,redirect/update,"Zum Kausativ auch an. tefia ‘verhindern, verzögern’

Anm.1 Wegen germ. *tabja- besser so anzusetzen und nicht als *dʰebʰ; dann muss umbr. fefure getrennt bleiben. Anm. < germ. *tabja-, hierher nach KROONEN, EDPG 504; semantische Verknüpfung wäre aber noch genauer zu untersuchen.",
liv2add-0025,14,1222,*d,?2.*deh₁-,False,True,?2.,*deh₁-,*deh₁-,,,,uncertain,"Zum Desiderativ auch alb. do ‘will, wünscht; liebt’, vgl. 1s ageg. duo, also kontrahiert < *dā̊(h)- < *dē-so/e-, s. MATZINGER, Sprache 45 (2005) 89-91; SCHUMACHER/MATZINGER 970; suppletiv zu Aorist desh- (s. *g̑eu̯s-).",contains-combining-marks; contains-subscript-numerals
liv2add-0026,14-15,1227,*d,"Neu: *deh₁u̯- ‘zusammenfügen, ordnen’1",True,False,,*deh₁u̯-,*deh₁u̯-,,"zusammenfügen, ordnen",,new,"Aorist
?*déh₁u̯-/duh₁- [toch.B tsuwa ‘fügte sich’, A tswānt ‘fügten sich’2

Präsens
*du-né/n-h₁-
toch.A 3p Konj. (?) Med. tsnāntr- ‘setzen zusammen (?)’3

Neubildungen
?Essiv toch.B tswetär ‘fügt sich’4

Anm. 1 Ansatz nach HARÐARSON (2001: 35

Anm. 34); NERI, Diss. 144 mit

Fn. 288 wegen got. tewa ‘Ordnung’; besser auch für die Erklärung von germ. *tōwija- ‘Werk’, *tōwula- ‘Werkzeug’, die ein *tōwa- < *doh₁u̯o- voraussetzen; got. taujan usw. dann < *doh₁u-i̯o-, womit das


Problem der fehlenden Gemination entfiele. Dazu auch *duh₁enó- > *duu̯enó- > *du̯eno- > frühlat. duenos > bonus ‘gut’ (NERI ibid.); air. den ‘fest’ (ZAIR, Diss. 178-9). Vielleicht erweitert aus 1.*deh₁- ‘binden’?

Anm. 2 Vielleicht entpalatalisiert aus *ts’ǝwa- < *deu̯h₁- mit analogisch neugebildeter R(e).

Anm. 3 tsəna- < *du-n-h₁-, vgl. SERŽANT, HS 120, 2007: 105-109; MALZAHN 984. Die in LIV² referierte Vermutung HOLLIFIELDS, JIES 6 (1978) 181, daß idg. *dʰenh₂- vorliegen könnte, muss nun aus lautlichen wie semantischen Gründen abgelehnt werden.

Anm. 4 Neubildung zum Prät., dazu auch Konj. A tswātär.",contains-combining-marks; contains-subscript-numerals
liv2add-0027,15,1255,*d,*deh₂i̯-,False,False,,*deh₂i̯-,*deh₂i̯-,,,,,"Anm. 1 … Nach PETERS apud NIKOLAEV, Issledovanija po praindoevropejskoj imennoj morfologii, St. Petersburg 2010, 168⁵² hierher auch gr. hom. δαΐ ‘in der Schlacht’ < *‘beim Austeilen’ (die neuiran. Verben für ‘schlagen’ gehören aber wohl zu 2.*dei̯h₁-). Weiterer Anschluss von heth. zahh- ‘schlagen’ als *di̯eh₂- ist jedoch wegen heth. z < *di̯ lautlich problematisch.",contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0028,15,1260,*d,*deh₂u̯-,False,False,,*deh₂u̯-,*deh₂u̯-,,,,,"Hierher auch iran. *θaw-/θū- ‘brennen’ (auch für das Sogdische ist *θ gesichert durch die Brahmi-Schreibung thau-, vgl. ESIJ 387-91; CHEUNG, EDIV 67f. mit Lit.) mit *θ° vielleicht aus *tʰ° < *dʰ° < *d(V)h₂° wie bei *θaiwar- ‘Schwager’ < *dah₂iu̯ér-. Kausativ *θāwaya- in chwar. (+) θ’wȳ- ‘verbrennen’, dazu wohl Rückbildung von Präsens *θawa- in chwar. (+) θw- ‘brennen’ bzw. *θaw-ya- in pamir. rosh. (+) θīw- ‘brennen’ und *θū- sa- in khot. thūs- ‘brennen’. Parth. h’w- ‘versengen, verbrennen’ kann ebenfalls auf *θāwaya- zurückgehen, wenn mp. h’w- ‘id.’ daraus entlehnt ist oder intervokalische Vertretung von *θ (nach dem Augment?) zeigt, s. CHEUNG, EDIV 134-5, so dass die Wurzel damit auch für das westliche Iranische bezeugt sein könnte. Auch in diesem Fall muss aber die Zugehörigkeit von ap. aθavā ‘brannte ab/aus’ A²Sa 2,4 unsicher bleiben, das vielleicht zu +aθavca zu korrigieren ist, s. WERBA in EICHNER et al. (Hrsgg.), Iranistik in Europa - gestern, heute morgen, Wien 2006, 263-286.",contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0029,15,1265,*d,*deh₃- ‘nehmen; geben’,False,False,,*deh₃-,*deh₃-,,nehmen; geben,,,"Zum Aorist: (statt zum Präsens) [air. do·rat(a)i ‘kann geben’16b [toch. B Ipv. petso ‘gebt!’12a

Anm. 10 … Nicht auszuschließen ist auch Zugehörigkeit zu *dʰeh₁- (oder Zusammenfall damit), vgl. SCHUMACHER, KPV 721-3.

Anm. 12 … MSS 40 (1981) 97, 1236; SCHUMACHER, IJDL 4, 2007, 221-5 mit Lit., dort auch zum lenierten Anlaut (vermutlich aus dem Sandhi nach dem Vokal eines proklitischen Pronomens verschleppt). Präsens suppl. (j)ep (s. *h₁ep-).

Anm. 12a Mit erneuerter Endung -s(o) zu pe-ts- <*pó-dh₃-, reanalysiert als pe-t-so, weshalb 2. Sg. *pó-do(h₃) > *pete -> pete, s. HACKSTEIN, HS 114, 2001, 17-30, unsicher ist die Zugehörigkeit der osttoch. Entsprechungen paṣ, pac; s. ibid. 30-1; die alte Form der 2. Sg. *déh₃ > *dó(h₃) > toch. *tsa (mit *o > a im absoluten Auslaut von urtoch. Einsilblern) ist zur Affirmativpartikel toch.B -tsa, A -a-ts geworden, s. ibid. 32-38.

Anm. 16a …; der genaue Weg der Umbildung ist unklar, ebenso die Zuordnung zu *döh₃- oder *dʰeh₁-, SCHUMACHER, KPV 721-3.

Anm. 16b … Nach SCHUMACHER, KPV 266 sekundär zu einem Ipv. Aor. *dā.",contains-subscript-numerals
liv2add-0030,15-16,1280,*d,*deh₃u̯-,False,False,,*deh₃u̯-,*deh₃u̯-,,,,,"Zum Aorist auch

umbr. Fut.ex. purtiius (Stamm pur-di- zu dī- < *dū-, MEISER, Perfekt 183)",contains-combining-marks; contains-subscript-numerals
