entry,section,pdf_page,field,line_start,issue,content
duktė,Lithuanian,159,SL,4582,contains_non_ascii,"OCS dvšti, Gsg. dvštere; Ru. doč', Gsg. d6čeri; OCz. dci, Gsg. dcefe; SCr. kči, Gsg. kčeri; šči, Gsg. ščera; Čak. cer (Vrg.) f.(i), Gsg. ceri, Gsg. čerė; hči (Novi), Gsg. hčeri, Gsg. hčere; hči (Orb.), Gsg. hčerl', Gsg. hčeri; Sln. hči, Gsg. hčęre; hčęr f.(i), Gsg. hčerf"
duktė,Lithuanian,159,PIE,4583,broken_reconstruction_spacing;fused_field_label,*dhughrter-IE Skt. duhitar- f.; Gk. 8uycmlP f.; Go. dauhtar f.
dūmai,Lithuanian,159,LITH,4586,broken_reconstruction_spacing;contains_non_ascii;fused_field_label;mojibake_candidate,"damai Npl. i 'smoke' LATV dūmi Npl. [ū, u2] 'smoke' BSL *durmos PSL *dymo m. o (a) 'smoke' SL OCS dymo; Ru. dym; Cz. dym; Slk. dym; Pl. dym; Slnc. dfm, Gsg. darnu; SCr. dl'm; Čak. dim (Vrg., Orb.), Gsg. dl'ma; dim (Novi), Gsg. dl'ma; Sln. dim, Gsg. dima; Bulg. dim PIE *dhuH-m6-IE Skt. dhūma- m. 'smoke, vapour'; Gk. 8ūµ6c; m. 'heart, passion, courage'; Lat. įūmus m. 'smoke, vapour'"
dumti,Lithuanian,159,LITH,4596,contains_non_ascii;fused_field_label;possible_ocr_digit_letter_year_or_symbol,"dumti 'blow', 3 pres. dumia, 3 pret. ddmė LATV dun1t2'become overcast, cloud over', isg. pres. dun1stu2, isg. pret. dumu BSL *dom(-; *dum(-PSL *dr)ti v. (a) 'blow' SL OCS dpti, isg. dvm9; Ru. dut', isg. duju; ORu. duti, isg. domu; Cz. douti, isg. dmu; Pl. dqč; SCr. duti 'blow, inflate', isg. dmėm, isg. dujėm PIE *dh(o)mH-IE Skt. dhamati 'blows'"
duoba,Lithuanian,160,LITH,4602,contains_non_ascii,"duoba l [1/2/ 4) 'hollow, (Žern.) threshing bam, ( obs.) farrnstead'"
duobti,Lithuanian,160,LITH,4613,contains_non_ascii,"duobti [uo, uo] 'hollow out', 3 pres. duobia, 3 pret. duobė"
duobti,Lithuanian,160,LATV,4614,possible_ocr_digit_letter_year_or_symbol,"duobt [uo, uo2] 'hollow out, be rnade deeper', lsg. pres. duobju, lsg. pret. duobu"
duonis,Lithuanian,160,SL,4633,contains_non_ascii,"OCS danb 'tax, tribute'; Ru. dan' 'tribute, debt'; Cz. dan 'tax, duty'; Slk. dan 'tax, duty'; Pl. dan 'tax, tribute, duty'; SCr. dan (13th-16th e.) 'tribute'; Sln. diin 'tribute, tax', Gsg. dani; diinj 'tribute, tax' I have reconstructed a Proto-Balto-Slavic forrn here, but the Lithuanian word is alrnost certainly a transforrnation of the borrowing donis 'tribute, gift' (Skardžius 1931: 65, 67, Anikin 1994: 191). See →duoti."
duoti,Lithuanian,160,LITH,4637,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"duoti 'give', 3 pres. duoda, 3 pret. davė; VAR duoti (OLith.), lsg. pres. duomi, 3 pres. duosti, 3 pret. davė"
duoti,Lithuanian,160,LATV,4638,possible_ocr_digit_letter_year_or_symbol,"duOt [uo, uo] 'give', lsg. pres. duomu, duodu, duonu, lsg. pret. devu"
duoti,Lithuanian,161,SL,4646,contains_non_ascii,"OCS dati, 1sg. damb, 2sg. dasi, 3sg. dast'b, 1pl. dam'b, 2pl. daste, 3pl. dadęt'b; Ru. dat', 1sg. dam, 2sg. daš', 3sg. dast, 1pl. dadim, 2pl. dadite, 3pl. dadut; Cz. dciti; OCz. dciti, 1sg. dcim, 2sg. dciš, 3PL dcidie; OSlk. dciti; dat'; Pl. dac, 1sg. dam, 3pl. dadzq; SCr. dati, 1sg. dam, 1pl. dcimo; Čak. dati (Vrg.), 2sg. ddš, 2sg. dddčš; dilt (Orb.), 1sg. dan, 1pl. damo; Sln. dciti, 1sg. dcim; Bulg. dam"
duoti,Lithuanian,161,IE,4648,contains_non_ascii;mojibake_candidate,Gk. 818wµt 'give'; Skt. dcidati 'give'; Lat. dare 'give'
durys,Lithuanian,161,LITH,4655,contains_non_ascii;fused_field_label,"durys 'door' Npl. f(i) 2, Gpl. durų; VAR dures Npl. f(i) LATV durvis 'door' Npl. f(i); VAR duris Npl. f(i), Gsg. duru BSL *dwir-; *dur-PSL *dvbrb f. i (b) 'door' SL OCS dvbrb; dvbri Npl.; Ru. dver'; Cz. dvefe Npl.; dvere Npl.; OCz. dfvi Npl.; Pl. drzwi Npl.; USrb. dwerja Npl.; SCr. dvari (161h/lih e.) Npl. 'gate'; dveri Npl. 'doors of the altar'; Sln. duri Npl. 'door, gate'; dvęri Npl. 'door, gate'; davri (161h e.) Npl. 'door, gate' PIE *dhur-IE Gk. 9upm Npl. f. 'door'; Lat. fores Npl. f. 'folding doors'; OHG turi Npl. f. 'door'"
durti,Lithuanian,161,LITH,4658,contains_non_ascii,"durti 'stab, prick, ache', 3 pres. duria, 3 pret. darė LATV durt [ur, ur2] 'stab, prick', 1sg. pres. duru, 1sg. pret. duru"
dusas,Lithuanian,161,LITH,4663,contains_non_ascii,"dusas 4 'short breath, asthma' BSL *duŭos"
dusas,Lithuanian,162,SL,4668,contains_non_ascii,"OCS d'bx'b 'breathing, breath, smell'; Ru. dox (dial.) 'rest'; Cz. dech 'breathing, breath'; Slk. dech (dial.) 'breath'; Pl. dech 'breath'; SCr. dah 'breathing, breath'; čak. ddh (Vrg.), Gsg. ddha; dah (Orb.), Gsg. daha; Sln. dah; dah; Bulg. dax"
dūsėti,Lithuanian,162,LITH,4674,contains_non_ascii,"dūseti 'breathe heavily', 3 pres. dusi, 3 pret. dūsejo"
dūsėti,Lithuanian,162,LATV,4675,possible_ocr_digit_letter_year_or_symbol,"duset 'breathe, slumber', lsg. pres. dusu, lsg. pret. duseju"
dusti,Lithuanian,162,LATV,4682,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"dust 'gasp', lsg. pres. dušu, lsg. pret. dusu"
dusti,Lithuanian,162,BSL,4683,contains_non_ascii,"*duǷ-PSL *d'bxnpti v. 'breathe, blow'"
dusti,Lithuanian,162,SL,4684,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"OCS d'bxnpti; Ru. doxnut'; Cz. d(e)chnouti; tchnouti; Slk. dochnuf; Pl. tchnqc; SCr. dahnuti; Čak. dahnuti (Vrg.); Sln. dahnfti, lsg. dahnem; dahniti, lsg. dahnem"
dūsuoti,Lithuanian,162,LITH,4690,contains_non_ascii,"dūsuoti 'breathe heavily', 3 pres. dūsuoja, 3 pret. dūsavo"
dūsuoti,Lithuanian,162,SL,4693,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"OCS dyxati 'breathe, blow'; Ru. dfchat' (dial.) 'rest, breathe'; Cz. dfchati 'breathe'; Slk. dfchaf 'breathe'; Pl. dychac ( arch., coli.) 'breathe'; SCr. dfhati 'breathe, blow', lsg. dlšem, lsg. dlham; Čak. dl'hati (Vrg.) 'breathe, blow', 2sg. dl'šeš; di'hat (Orb.) 'breathe', lsg. dlšen; Sln. dfhati 'breathe, blow', lsg. diham; Bulg. dfšam 'breathe'"
dvaras,Lithuanian,163,SL,4708,contains_non_ascii,"OCS dvaro; Ru. dvar, Gsg. dvara; dvor (dial.), Gsg. dvara; Cz. dvur, Gsg. dvara, Gsg. dvaru; Slk. dvar; Pl. dw6r, Gsg. dwaru; Slnc. dviir, Gsg. dvitQru; USrb. dw6r, Gsg. dwara; SCr. dvor, Gsg. dv6ra; Čak. dvor (Vrg.); dvor (Novi), Gsg. dvora; d""or (Orb.) 'stable('s complex)', Gsg. dvara; Sln. dvor, Gsg. dv6ra; Bulg. dvor"
dvaras,Lithuanian,163,PIE,4709,fused_field_label,*dhuor-IE Lat.forum n. 'market-place'
dvasas,Lithuanian,163,LITH,4714,fused_field_label,"dviisas 4 '(SD 1, SD, SP) breath, soul, ( dial.) sickly person' PIE *dhuos-IE MHG getwiis m. 'ghost'"
dvasia,Lithuanian,163,LITH,4719,contains_non_ascii,"dvasia 2 'breath, spirit, soul'; VAR dviisė 2 LATV dvaša 'breath, spirit, soul, vapour'"
dveji,Lithuanian,163,LITH,4724,fused_field_label,"dveji 4 'two', f. dvejos, n. dveja BSL *duoj6s PSL *d(o)vojb num. SL OCS dovoi 'two, double, twofold'; Ru. dv6e 'two, two pairs'; Cz. dvoji 'double, twofold'; Pl. dwaje 'two, double, twofold'; SCr. dvoji 'two, double, twofold'; Sln. dv(Jj 'two, double, twofold' PIE *duo-i6-IE Skt. dvaya- 'double'; Gk. 8mo[ 'both, two'; 8m6c; 'double'"
dvėselė,Lithuanian,163,LITH,4729,contains_non_ascii,"dvėselė 'soul (Dauk.), strength (Sml.)' LATV dvese[e [e, e2] 'breath, soul'"
dvėsti,Lithuanian,163,LITH,4734,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"dvesti 'breathe, blow', 3 pres. dvesia, 3 pret. dvesė LATV dvest 'breathe, breathe heavily, cough', isg. pres. dvešu, isg pret. dvesu; dvest, isg. pres. dvešu, isg. pret. dvesu"
džiaugtis,Lithuanian,164,LITH,4746,contains_non_ascii,"džiaūgtis 'be glad, rejoice', 3 pres. džiaugiasi, 3 pret. džiaūgėsi"
džiauti,Lithuanian,164,LITH,4752,contains_non_ascii,"džiauti 'hang out to dry, (coli.) strike, steal', 3 pres. džiauna, 3 pret. džiovė; VAR džiauti, 3 pres. džiauja, 3 pret. džiovė"
džiauti,Lithuanian,164,LATV,4753,contains_non_ascii,"žaut [au, au2] 'hang out to dry, strike, pierce', 1sg. pres. žauju, 1sg. pret. žavu; VAR žaut [au, au2], 1sg. pres. žaunu, 1sg. pret. žavu"
džiūti,Lithuanian,164,LITH,4761,contains_non_ascii,"džiuti 'become dry, wither, waste away', 3 pres. džiusta, 3 pret. džiuvo; džiuti, 3 pres. džiuva, 3 pret. džiuvo; VAR džiuti (Rdm.), 3 pres. džiusta, 3 pret. džiuvo; džiuti ( dial.), 3 pres. džiuva, džiuna 3 pret. džiuvo"
džiūti,Lithuanian,164,LATV,4762,contains_non_ascii,"žut 'becom e dry', 1sg. pres. žustu, 1sg. pret. žuvu"
ėdis,Lithuanian,165,SL,4779,contains_non_ascii,"OCS jadb 'food'; CS jadb 'food'; Ru. jad' (dial.) 'food, dish'; ed' ( dial.) 'meal, dinner-time'; USrb. jedi 'food'; LSrb. jei 'food, meal, dish'; SCr. jiid (arch., lit.) 'food'; Sln. jęd 'food, meal'"
ėdis,Lithuanian,165,PIE,4780,broken_reconstruction_spacing,*h1 ed-i-
