entry,section,pdf_page,field,line_start,issue,content
dilbti,Lithuanian,143,LITH,3999,contains_non_ascii,"dilbti 'lower, cast down, loaf, wear thin, soak', 3 pres. dilbsta, 3 pret. dilba; dilbti 'lower, cast down', 3 pres. dilbia, 3 pret. dilbė"
dilgė,Lithuanian,144,LITH,4009,contains_non_ascii,"dilgė l [1/3(?)] 'nettle'; VAR dilga l; dilgėll 3• [3•, 2]."
dilginti,Lithuanian,144,LITH,4016,contains_non_ascii,"dilginti 'sting (nettles), irritate', 3 pres. dilgina, 3 pret. dilgino; VAR dilgyti 'sting (neules), irritate', 3 pres. dilgo, 3 pret. dilgė"
dilti,Lithuanian,144,LITH,4036,contains_non_ascii,"dilti 'rub off, wear out, diminish, vanish, (coli.) live in poverty, linger, ( dial.) become weak', 3 pres. djla, 3 pret. dilo; VAR dilti, 3 pres. dilsta, 3 pret. dilo (3 pres. also dilna); dilti, 3 pres. dela, 3 pret. dilo (3 pres. also djlna, dilsta, dilna, 3 pret. also dilė)"
dilti,Lithuanian,144,LATV,4037,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"dilt [il, il, il, if2, il2] 'rub off, wear out, emaciate, diminish, become blunt', isg. pres. dilstu, dęlu, isg. pret. dilu"
dingti,Lithuanian,144,LATV,4050,possible_ocr_digit_letter_year_or_symbol,"dingt 'be quiet, control oneself', isg. pres. dingstu, isg. pret. dingu"
dirbti,Lithuanian,145,LITH,4058,contains_non_ascii,"dirbti 'work', 3 pres. dirba, 3 pret. dirbo; VAR dirbti 'work', 3 pres. dirbia, 3 pret. dirbė"
dirbti,Lithuanian,145,PIE,4060,fused_field_label,"*dhrHbh-IE OE deorfan 'work, perish'"
dirginti,Lithuanian,145,LITH,4072,contains_non_ascii;fused_field_label;possible_ocr_digit_letter_year_or_symbol,"dirginti 'irritate, spoil (a child)', 3 pres. dirgina, 3 pret. dirgino; VAR dirgyti 'irritate', 3 pres. dirgo, 3 pret. dirgė BSL *diri'g-PSL *dbrgati v. SL Ru. dergat' 'pull, tug'; Ukr. derhaty 'pull, tug'; Cz. drhati (rare) 'tear, pluck'; Pl. dziergac 'stitch, make bobbin lace, comb (flax)'; dzierzgac ( obs„ dial.) 'stitch, make bobbin lace, comb (flax)'; Sln. dfgati 'rub, whet, sweep, strangle', lsg. dfgam; dfzati 'scrape, scratch, comb (flax), graze', lsg. dfzam, lsg. dfžem PIE *drHgh-IE OE tiergan 'irritate, annoy'; MLG tergen 'tear, provoke'; MoHG zergen (dial.) 'tear'; MoDu. tergen 'provoke'"
dirti,Lithuanian,146,LITH,4105,contains_non_ascii,"dirti 'flay, peel, flog', 3 pres. diria, 3 pret. dyrė; VAR dirti (Žem.), 3 pres. dera, 3 pret. dyrė"
dirti,Lithuanian,146,BSL,4107,fused_field_label,"*dir(f)-: *der(f)-PSL *dbrati v. 'tear, flay'"
dirti,Lithuanian,146,SL,4108,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"OCS dbrati 'flay', 1sg. der9; Ru. drat' 'tear', 1sg. deru, 3sg. deret; Cz. drati 'tear', 1sg. deru; Slk. draf 'tear'; OPl. drac 'tear', 1sg. dziorę; SCr. drati 'flay', 1sg. derem; Čak. deriiti (Vrg.) 'flay', 2sg. dereš; deriit (Orb.) 'flay', 3Pl. dera; Sln. dęrati 'flay', isg. dęram; Bulg. dera 'flay'"
dirti,Lithuanian,146,PIE,4109,fused_field_label,*d(e)r-IE Gk. Mpw 'flay'; Go. distairan 'tear apart'
dirva,Lithuanian,147,LITH,4118,fused_field_label,"dirva 2 [2/4] '(arable) land, field' LATV dlrva2'(arable) land, field' BSL *dir(?)w-PSL *dbrVbl',la f. ja 'field'"
dirva,Lithuanian,147,PIE,4121,broken_reconstruction_spacing;fused_field_label,*dr(H)-u-IE Skt. ddrva- f. 'spelt'
dirvonas,Lithuanian,147,LITH,4126,contains_non_ascii,"dirvonas l [1/2/3] 'fallow land, wasteland' (i.e. dirvonas 1/3, dirvonas (K) 2) LATV dirvans 'fallow land, wasteland'; VAR dirvans2 (Klp.); difvęns"
diržas,Lithuanian,147,LITH,4131,contains_non_ascii,"diržas 4 [2/4] 'belt, strap' LATV difža 'leather girdle'"
diržnas,Lithuanian,147,LITH,4138,contains_non_ascii,"diržnas (lit.) 'firm, strong'"
diržti,Lithuanian,147,LITH,4143,contains_non_ascii,"diržti 'becom e hard, become stiff, ( dial.) becom e sour', 3 pres. diržta, 3 pret. diržo"
dyžti,Lithuanian,148,LITH,4151,contains_non_ascii,"dyžti 'flay, bark, wear, beat, flog, eat greedily, walk fast', 3 pres. dyžia, 3 pret. dyžė; VAR dyžti, 3 pres. dyžia, 3 pret. dyžo"
dobti,Lithuanian,148,LITH,4159,contains_non_ascii,"dobti ( coll.) [o, 6] 'strike, beat, kill, ( dial.) torment, exhaust', 3 pres. dobia, 3 pret. dobė"
dovana,Lithuanian,148,LITH,4166,contains_non_ascii,dovana 3• [1/3•] 'gift'; VAR dovena 3•; dovanas
drabužis,Lithuanian,149,LITH,4197,contains_non_ascii,"drabužis 2 'dothes, dothing, (dial.) doth'; VAR drabužis 2; drabužis 2; drabužis 2; drebitžis 2"
dragės,Lithuanian,149,LITH,4205,contains_non_ascii,"dragės (Bretk., dial.) Npl. 2 'dregs, sediment'"
dragės,Lithuanian,149,LATV,4206,contains_non_ascii,dradži Npl. 'sediment ( of melted fat)'
dragės,Lithuanian,149,PSL,4210,contains_non_ascii,"*droždža f. ja; *droždŽbje n. io 'yeast, dregs'"
