entry,section,pdf_page,field,content,line_start,extracted_star_forms,flags
alvas,Lithuanian,67,SL,OCS olovo 'lead'; MBulg. jelovo 'lead'; Ru. 6lovo 'tin'; ORu. olovb f.(i) 'tin'; Cz. alavo 'tin'; OPI. ol6w f.(i) 'lead'; SCr. Olavo lead'; Sln. olŲv f.(i) 'lead'; Bulg. elavo ( dial.) 'lead',1117,,contains_non_ascii
amalas,Lithuanian,68,LITH,amalas 3b 'mistletoe'; VAR emalas 3b,1127,,
amalas,Lithuanian,68,LATV,"amulis 'mistletoe, clover'; VAR amuolis2 (Klp.); amuols; ęmuols (BW); amuls; amals; amuls",1128,,contains_non_ascii
amalas,Lithuanian,68,OPR,emelno (EV) 'mistletoe',1129,,
amalas,Lithuanian,68,BSL,*emel-; *omel-PSL *emela f. a; *emelo n. o; *jbmela f. a; *jbmelo n. o,1130,*emel- | *omel-PSL *emela f. a | *emelo n. o | *jbmela f. a | *jbmelo n. o,fused_field_label
amalas,Lithuanian,68,SL,"Ru. omela f. 'mistletoe'; ORu. omela f. 'lure (for birds)'; imela f. 'lure (for birds)'; Cz. jmeli n.(io); meli (dial.) n.(io); omela (dial.) f.; omelo (dial.) n.; OCz. jmele n.(io ); Sllc jemelo ( dial.), hemelo ( dial.) n.; imelo, jmelo ( dial.) n.; Pl. jemiola f.; jamiola ( dial.) f.; imiola ( dial.) f.; OPI. jemiola f.; jemiol m.( o); jemiolo n.; USrb. jemjel m.( o); LSrb. jemjol, hemjol m.( o); SCr. imela f.; mela f.; amela ( dial.) f.; Sln. omęla f.; imęla f.; męla f.; melję n.(jo)",1131,,contains_non_ascii
anas,Lithuanian,68,LITH,"anas 'that'; VAR anas (Sirv., dial.) 'he', f. ana; afis (OLith., dial.) 'he, that'",1137,,
anas,Lithuanian,68,BSL,*anos,1139,*anos,
anas,Lithuanian,68,PSL,"*on11 prn. 'he, she, it'",1140,*on11 prn. 'he,
anas,Lithuanian,68,SL,"OCS on11, f. ona, n. ono; Ru. on, f. ona, n. on6; SCr. on, f. ana, n. ano; on, f. ana, n. ano; Čak. on (Vrg.), f. onii, n. ono; Sln. an, f. 6na, n. on9 n., 6n9",1141,,contains_non_ascii
anas,Lithuanian,68,PIE,"*h2en-o-IE Gk. liv modal ptcl.; Lat. an 'whether, or'",1143,*h2en-o-IE Gk. liv modal,fused_field_label
anga,Lithuanian,68,LITH,"anga 4 [2/4] 'opening, entrance'",1147,,
angis,Lithuanian,69,LITH,angis f.(i) 4 'snake',1155,,
angis,Lithuanian,69,LATV,"uodze [uo, ui5(?), uo2, uo2] 'adder'; VAR uodzs2 f.(i); uodzis2; uocs2 f.(i)",1157,,
