type	key_or_author	entry
reference	Alberro, M. & C. Jordán Cólera	Alberro, M. & C. Jordán Cólera 2008 Los celtas de la Península Ibérica, Serie Keltia. A Coruña, Editorial Toxosoutos.
reference	Albertos Firmat, Mª L.	Albertos Firmat, Mª L. 1975a Organizaciones suprafamiliares en la Hispania antigua, Studia Archaeologica 37. Valladolid.
reference	Albertos Firmat, Mª L.	Albertos Firmat, Mª L. 1977b ‘Correcciones a los trabajos sobre onomástica indígena de M. Palomar Lapesa y M.ª Lourdes Albertos Firmat’, Emerita 45, 33–54.
reference	Albertos Firmat, Mª L.	Albertos Firmat, Mª L. 1983 ‘Teónimos hispanos’, Primitivas religiones ibéricas II. Religiones Prerromanas, ed. J. Mª Blázquez, 477–48. Madrid.
reference	Alföldy, G.	Alföldy, G. 1975 Die römische Inschriften von Tarraco I-II. Berlin.
reference	Allen, D. F.	Allen, D. F. 1980 The Coins of the Ancient Celts, ed. D. Nash. Edinburgh, Edinburgh University Press.
reference	Anthony, D. W.	Anthony, D. W. 2007 The Horse, the Wheel, and Language: How Bronze-Age Riders from the Eurasian Steppes Shaped the Modern World. Princeton, Princeton University Press.
reference	Anthony, D. W. & D. R. Brown	Anthony, D. W. & D. R. Brown 2017a ‘Molecular Archaeology and Indo-European Linguistics: Impressions from New Data’, Usque ad Radices: Indo-European studies in Honour of Birgit Anette
reference	Olsen,	Olsen, Copenhagen Studies in Indo-European 8, eds. B. S. S. Hansen, A. Hyllested, A. R. Jørgensen, G. Kroonen, J. H. Larsson, B. N. Whitehead, T. Olander, T. M. Søborg, 25–54. Copenhagen, Museum Tusculanum Press.
reference	Anthony, D. W. & D. R. Brown	Anthony, D. W. & D. R. Brown 2017b ‘The dogs of war: a Bronze Age initiation ritual in the Russian steppes’, Journal of Anthropological Archaeology 38, 134–48.
reference	Anthony, D. W., & D. Ringe	Anthony, D. W., & D. Ringe 2015 ‘The Indo-European Homeland from Linguistic and Archaeological
reference	Perspectives’, Annual Review of Linguistics 1, 199–219. https://doi.org/10.	Perspectives’, Annual Review of Linguistics 1, 199–219. https://doi.org/10.1146/annurev- linguist-030514-124812
reference	Antonsen, E. H.	Antonsen, E. H. 1975 A Concise Grammar of the Older Runic Inscriptions. Tübingen, Max Niemeyer.
reference	Artursson, M.	Artursson, M. 2015 ‘The long-house as a transforming agent. Emergent complexity in Late Neolithic and
reference	Early Bronze Age Southern Scandinavia 2300–	Early Bronze Age Southern Scandinavia 2300–1300
reference	BC’,	BC’, The Bell Beaker Transition in Europe. Mobility and Local Evolution during the 3rd Millennium BC, ed.. M. P. Prieto Martinez & L. Salanova, 69–76. Oxford.
reference	Aubet, M. E.	Aubet, M. E. 2001 The Phoenicians and the West:
reference	Politics,	Politics, Colonies, and Trade, trans. M. Turton. 2nd edn Cambridge, Cambridge University Press. 1st
reference	English edn	English edn, 1993.
reference	Austvoll, K. I.	Austvoll, K. I. 2018 Seaways to Complexity. A study of sociopolitical organisation along the coast of Northwestern Scandinavia in the Late Neolithic and Early Bronze Age. Dissertation for the Degree of Philosophy Doctor (Ph.D.). Department of
reference	Archaeology,	Archaeology, Conservation, and Ancient History. University of Oslo, Norway.
reference	Bartrum, P. C.	Bartrum, P. C. 1993 A Welsh Classical Dictionary:
reference	People in History and Legend up to About AD	People in History and Legend up to About AD 1000.
reference	Aberystwyth,	Aberystwyth, National Library of Wales.
reference	Bauer, B.	Bauer, B. 2008 ‘Studien zu den Altbretonischen
reference	Glossen’,	Glossen’, Mag.Phil. thesis, Universität Wien.
reference	Beattie, A. J.	Beattie, A. J. 1956 ‘Mr. Ventris’ Decipherment of the Minoan Linear B Script’, The Journal of Hellenic Studies 76, 1–17.
reference	Beekes, R. (with L. van Beek)	Beekes, R. (with L. van Beek) 2010 Etymological Dictionary of Greek. 2 vols. Leiden Indo-European Etymological Dictionary Series 10. Leiden and
reference	Boston,	Boston, Brill.
reference	Beltrán Lloris, M.	Beltrán Lloris, M. 1975–1976 «Aportaciones a la epigrafía y arqueología romana de Cáceres: 1. Epigrafía romana inédita de Cáceres», Caesaraugusta 39–40, 19–101.
reference	Bengtsson, B.	Bengtsson, B. 2017 Sailing rock art boats. A reassessment of seafaring abilities in Bronze Age Scandinavia and the introduction of the sail in the
reference	North,	North, BAR International Series 2865. Oxford, BAR. Berger, D., J. Soles, A. R. Giumlia-Mair, G. Brügmann,
reference	E. Galili, N. Lockhoff & E. Pernicka	E. Galili, N. Lockhoff & E. Pernicka 2019 ‘Isotope systematics and chemical composition of tin ingots from Mochlos (Crete) and other Late Bronze Age sites in the eastern Mediterranean Sea. An ultimate key to tin provenance?’ PLoS ONE 14 (6), e0218326. https://doi.org/10.1371/journal.pone.0218326
reference	Bertilsson, U.	Bertilsson, U. 2015 ‘Examples of application of modern digital techniques and methods. Structure for motion (SfM) and Multiview Stereo (MVS) for three dimensional Documentation of rock carvings in Tanum creating new opportunities for interpretation and dating’, Prospects for prehistoric Rock Art research. XXVI Valcamonica Symposium, ed. F. Troletti, 57–62. Capo di Ponte, Edizione del Centro.
reference	Bichlmeier, H.	Bichlmeier, H. 2011 ‘Einige grundsätzliche Überlegungen zum Verhältnis von Indogermanistik und voreinzelsprachlicher resp. alteuropäischer Namenkunde mit einigen Fallbeispielen (Moderne Indogermanistik vs. traditionelle Namenkunde, Teil 1)’, Namenkundliche Informationen 95/96, 2009, 173–208.
reference	Bichlmeier, H.	Bichlmeier, H. 2012 ‘Anmerkungen zum terminologischen Problem der ‚alteuropäischen Hydronymie’ samt indogermanistischen Ergänzungen zum Namen der Elbe’, Beiträge zur Namenforschung, Neue Folge 47/4, 365–95.
reference	Bichlmeier, H.	Bichlmeier, H. 2013 ‘Analyse und Bewertung der sprachwissenschaftlichen Standards aktueller Forschungen traditioneller Art zur ‚alteuropäischen Hydronymie’ aus der Perspektive der heutigen
reference	Indogermanistik’,	Indogermanistik’, Namenkundliche Informationen 101/102, 397–437. (www.namenkundliche- informationen.de)
reference	Binchy, D. A.	Binchy, D. A. 1970 Celtic and Anglo-Saxon Kingship.
reference	O’Donnell Lectures	O’Donnell Lectures 1968. London, Oxford University Press.
reference	Blázquez, J. Mª.	Blázquez, J. Mª. 1962 Religiones primitivas de Hispania. Roma.
reference	Bosch Gimpera, P.	Bosch Gimpera, P. 1942 The Two Celtic Waves in Spain,
reference	Sir John Rhŷs Memorial Lecture	Sir John Rhŷs Memorial Lecture 1939, Proceedings of the British Academy 26. London.
