line,pdf_page,category,matches,context
741,032,suspicious_greek_ocr,q,"• 3sg. \*sukkopi, 3pl. \*sugunanpi w.v. 'to suck': OE socian, G Rhnl. sucken, Swi. (App.) suga < 3sg. \*sul<-neh₂-ti, 3pl. \*sul<-1:J.h₂-enti There is an additional corollary to the frequent back-formation of strong verbs to iteratives. It seems evident that the long \*il of strong verbs such as \*silgan- - \*silkan- arose analogically as a result of the back-formation process (Kroonen 2011: 112-7). Parallel to strong verbs in \*i, which were accompanied by iteratives with short \*i, the \*u of "
761,033,suspicious_greek_ocr,3;,<!-- pdf-page: 033; section: intro -->
765,033,suspicious_greek_ocr,6c;,"• \*skarna- n. 'dung': ON skarn, OE scearn, OFri. skern < \*s/(-or-no-, cf. Gr. ox&p, gen. O""KaT6c; n. 'muck, excrement' < \*s/(-or, \*-nt-6s"
787,034,suspicious_greek_ocr,4;,<!-- pdf-page: 034; section: intro -->
819,035,suspicious_greek_ocr,5;,<!-- pdf-page: 035; section: intro -->
837,035,suspicious_greek_ocr,q,"• \*snawwa- adj. 'quick': ON snpggr < \*snouhro-, cf. \*snewan- 'to rush' (see below)"
841,036,suspicious_greek_ocr,6;,<!-- pdf-page: 036; section: intro -->
843,036,suspicious_greek_ocr,1;; 8b;,"The counter-examples to Holtzmann's law are numerous, and this indicates that the scope of the law was restricted by some sort of conditioning. At present, it is widely assumed that gemination occurred only by the assimilation of a laryngeal (cf. Smith 1941; Jasanoff l 978b; Rasmussen 1999 [1990]). The material, however, contains many cases with long glides in roots that are usually reconstructed without a laryngeal (see above). Moreover, many of the forms in which gemination is lacking have roo"
861,036,suspicious_greek_ocr,q; q,"• \*wajju- m. 'wall': Go. waddjus, ON veggr < \*uP1i-u- In view of unambiguous cases such as \*knewa- < \*gneu-o-, \*sawwa- - Skt. sava- < \*sou-6- and \*Jewan- < \*Jeuh₁-on-, I have decided to drop laryngeals as a factor in the rise of the long glides. With alternations such as \*snewan'to rush' < \*sneuH- vs. \*snawwa- 'quick' < \*snouH-o-, it seems out of the question, at any rate, that the laryngeals were the only factor at work. I have therefore chosen to adopt the more traditional formulat"
869,036,suspicious_greek_ocr,5;,"in the second syllable (cf. jasanoff 1978b: 85; Rasmussen 1999 [1990): 2, 381)."
873,037,suspicious_greek_ocr,7;,<!-- pdf-page: 037; section: intro -->
