page,line,headword,label_gloss,gloss,opening
46,1026,aigan-,"pret.-pres. 'to own, possess'","to own, possess","\*aigan- pret.-pres. 'to own, possess' - Go. aigan, 3sg. aih, aig, 3pl. aigun, aihun pret.-pres. 'id.', ON eiga, 3sg. a, 3pl. eigu pret.-pres. 'to own, possess; to have', Far. eiga, 3sg. eigur, 3pl. eiga pret.-pres. 'id.', Elfd. iega w.v. 'to possess', OE iigan, 3sg. ah, 3pl. agon pret.-pres. 'id.', E to owe, OFri. aga, 3sg. ag, eg, 3pl. aga, ega pret.-pres. 'to be obliged, owe, possess', OS egan, 3pl. egun pret.-pres. 'to own, possess; to have', OHG eigan, heigan, 3pl. eigun pret.-pres. 'to have, own, keep, receive', MHG eigen, heigen pret.-pres. 'id.' ⇒ \*(h₂e-)h₂6ik-(?) (IE) - ToB aik- 'to known' (< ""to have in mind""), Skt. fse, f$te 'to control, possess', OAv. ise, YAv. iste 3sg.med. 'to have' < \*h₂e-h₂ili-. A preterite-present 3sg. \*aihe, 3pl. \*aigunp. The lack of ablaut in this verb is unique, the expected paradigm being \*aihe, \*igunp < \*h₂6ili-e, \*h₂il<-6t. It is possible that the ablaut was removed at an early stage, but if so, the question still remains why the paradigm of only this preterite-present was leveled, while all others kept their ablaut intact right through to the modern Germanic languages. It therefore seems likely that the verb belonged to the reduplicating class with o-grade throughout the preterite (cf. Seebold 1970: 70). I thus reconstruct the Pre-Gm. paradigm as \*h₂e-h₂6ili-e, \*h₂e-h₂i-J<-nt, which regularly should have produced PGm. \*aihe ( < \*aike by Osthoff's law), \*aigunp. See also \*aigena- and \*aihti-."
46,1028,aigena-,adj. 'own',own,"\*aigena- adj. 'own' - ON eiginn adj. 'id.', Far. egin adj. 'id.', Elfd. iegen adj. 'id.', OE agen adj. 'id.', E own, OFri. ain, Jin adj. 'id.', OS egan adj. 'id.', Du. eigen adj. 'id.', OHG eigan adj. 'id.', G eigen adj. 'id.' (DRV). An adjective derived from \*aigan- (q.v.), whence Go. ga-aiginon, eigenen w.v. 'to make one's own, to appropriate' < \*aigeniijan-. Also cf. Go. aigin, ON eigin, OE iigen, OFri. ain, ein, OS egan, OHG eigan n. 'property'."
47,1032,aiginp-,"n. 'shoot, barb'","shoot, barb","\*aiginp- n. 'shoot, barb' - ON ei9in n. 'new sprout of corn', Far. e9i n. 'corn, straw; sprout, shoot; barleyfield', Nw. eiend(e) f./n. 'grain germ, barb', Sw. dial. ii.jen(ne) n. 'grain, insignificant thing' ⇒ \*h₂eik-ent-(?) (IE). Related to \*ai9/a- 'barb' (q.v.). The exact derivation of the word is unclear. Nw. eiend(e) and Sw. ii.jenne probably point to ON \*ei9endi < \*ai9indja- < \*h₂ei/(-ent-io-(?), but ON ei9in lacks the dental and Far. e9i does not even show a trace of the final n. All these formal difficulties make the reconstruction of the original form rather problematic. A neuter participle \*ai9inp- < \*h₂eiK-ent? No clear extra-Germanic parallels. MW e9in pl. 'shoots, sprouts, blades' looks like a Norse loan, but borrowing in the opposite direction cannot be excluded."
47,1034,aigla-,m. 'shoot',shoot,"\*aigla- m. 'shoot' - Sw. dial. e9e/, ii.jel m. 'seed sprout' ⇒ \*h₂eiK-(t)lo- (EUR) - Close to Gr. aTJ<AoL m.pl. 'corners of an arrow' < \*h₂ei/(-(t)lo-; OPru. aycu/o f. 'needle', CS i9/a, Ru. i9lci, SCr. i9/a f. 'id.' < \*h₂il<-tle-h₂-; also cf. Gr. aixμd f. 'point of a spear, spear', Lith. iesmas, jiesmas m. 'spit, broach', OPru. aysmis 'id.' < \*h₂eil<-smo/eh₂-. A Germanic-Greek isogloss derived from a root \*h₂eiK- 'barb' (cf. Pokorny IEW: 15). For the semantics, cf. Far. ncil f. 'needle; sprout, shoot, germinating seed corn' ( < \*neplo-). Related to \*ai9inp- 'sprout'."
47,1036,aihti-,"f. 'property, belongings; family'","property, belongings; family","\*aihti- f. 'property, belongings; family' - Go. aihts f. 'property', ON rett f. 'family', Far. rett f. 'lineage, descent, family', OE reht f. 'possessions, property, lands', OHG eht f. 'possession, goods, wealth' (DRY). A ti-stem created to the root of \*ai9an- (q.v.). Note that the sometimes connected Ir. icht m. 'progeny, tribe' (quasi < \*h₂il<-ti-) is more likely to have been derived from root \*iek- 'to speak' (see \*jehan-) in view of the related MW ieith f. 'language, nation, race' < \*iek-ti-."
47,1038,alhtrojan-,w.v. 'to beg',to beg,\*alhtrojan- w.v. 'to beg' - Go. aihtron wv. 'id.' (GM). Etymology uncertain: perhaps somehow derived from \*aikan- 'to appropriate' (q.v.). Unrelated to Gr. oiJCTp6׵ adj. 'miserable'.
47,1040,aik-,f. 'oak',oak,"\*aik- f. 'oak' - ON eik f. 'id.', Far. eik f. 'id.', Elfd. iek f. 'id.', OE iic, pl. rec f. 'id.', E oak, OS ek f. 'id.', Du. eik c. 'id.', OHG eih f. 'id.', G Eiche f. 'id.' ⇒ \*aig- (EUR) - Gr. aiyl.Awljl m. 'kind of oak'; ?Lat. aesculus f. 'winter oak'; ?Lith. qzuolas, diiuols, ciuiuolas, Latv. uozuols, OPru. ansonis 'oak'. Also cf. OHG eihhi/a, G Eichel f., Du. eikel c. 'acorn' < \*aikilon-. A European word with no certain IE etymology. The generally compared Gr. aiyiAwljl 'kind of oak' could be a compound of \*ai'.4 and AW'ltTJ 'cork', which opens the possibility of unifying the Greek and Germanic words into a PIE root noun \*ai!}-s. However, this root noun inflection may also be an indication that we are dealing with a non-IE item (cf. \*arwit-). This is supported by the fact"
48,1046,aikan-,s.v. 'to make one's own(?)',to make one,"\*aikan- s.v. 'to make one's own(?)' - Go. afaikan s.v. 'to deny, abjure', OHG in-eihhan s.v. 'to sacrifice; dedicate' (DRV). The fact that Go. aikan and OHG eihhan (cf. ChWdW9: 245) are reduplicated verbs, which typically have an o-grade of the root, could imply a pre-Gm. formation \*HoiCB1-e-. One could then compare Latv. afcinfit 'to call, invite' < \*Hoig-n(e)h₂- and Olr. eigid 'to cry' < \*h₁dg1-e-. From the Germanic perspective, however, it is more likely that the root \*aik- continues \*aikk- ( < \*Hoik-n-1, and developed from the preterite-present \*aigan- 'to own' (q.v.) with a semantic shift 'to make one's own' > 'to accept' (cf. EWAhd: II, 972). This is supported by OHG ur-eiche adj. 'own' < \*uz-aikja- and OHG (gi-)eihhon w.v. 'to claim', MHG eichen w.v. 'to award, to dedicate' < \*aikolja)n- as well as MHG eichenen w.v. 'to claim' < \*aiknjan- (a media-passive factitive ""to make oneself own""). Note that the comparison of OHG eihhinon with the aforementioned Latv. afcinfit is deceptive anyway, because the Latvian ending -inti.- is a conflation of PBalt. \*-nii- and \*-in- from PIE \*-neh₂- - \*-ph₂-, and cannot be equated with the element -en- of MHG eichenen."
48,1048,aikjan-,w.v. 'to irritate',to irritate,"\*aikjan- w.v. 'to irritate' - Nw. eikja w.v. 'to annoy, pester' ⇒ \*h₂oi9-eie(IE) - Identical to Skt. ejayati 'to shake'; also cf. Skt. ejati 'to move, stir, flutter' < \*h₂ei9-e-; Gr. aiyi<; f. 'rushing storm, hurricane' < \*h₂ei9-i-; OCS igra f. 'entertainment, dance, play' < PSI. \*jbgra < \*h₂i9-reh₂-. A causative preserved in both Sanskrit and Germanic. Also cf. OE iico/, iicul adj. 'excited (by fear)' < \*aikala- and ON eikinn adj. 'wild, furious', Ice!. eikinn adj. 'restive (of bulls)', Nw. eikjen adj. 'restive, stubborn', Elfd. ietjin adj. 'harsh, strong, sharp' < \*aikina-."
48,1050,aikwernan-,- \*ikurnan- m. 'squirrel',squirrel,"\*aikwernan- - \*ikurnan- m. 'squirrel' - ON fkorni m. 'id.', Far. fkorni m. 'id.', Elfd. aikuonn m. 'id.', OE iicweorn(a) m. 'id.', MDu. eecoren m. 'id.', Du. eekhoren c. 'id.', OHG eihhurno, eihhorno m. 'id.', G Eichhornchen n. 'id.' ⇒ \*h₂ei-h₂u-r (IE) - NP varvarah 'squirrel' < \*h₂uer-h₂uer-o-; Lat. vfverra f. 'ferret' < \*h₂ui-h₂uer-neh₂-; Olr. faru f. 'squirrel', Ir. iora 'id.' < \*h₂i-h₂uer-(?); Gael. feorag, W gwywer 'id.' < \*h₂ui-h₂uer-; Lith. vovere, v6vere, Latv. vavere 'id.' < \*h₂ue-h₂uer-ieh₂-; Lith. vaiveris, Ru. veverica 'id.' < \*h₂uoi-h₂uer-io- etc. A reduplicated formation comparable to \*bebura- 1 'beaver' (q.v.) < \*bhe-bhr, gen. \*bhi-bhr-6s (Beekes 1995: 190). The Germanic word (together with Ir. iora?) preserved the simplest type of reduplication, \*h₂ei-h₂ur, gen."
