pdf_page,line,headword_segment,entry_opening
592,8304,\*þurfan- pret.-pres. 'to need',"\*þurfan- pret.-pres. 'to need' - Go. þaurban pret.-pres. 'id.', ON þurfa pret.-pres. 'id.', Far. poet. turva pret.-pres. 'id.', OE purfan pret.-pres. 'to be wanton', OFri. thurva pret.-pres. 'id.', OS thurban pret.-pres. 'id.', MDu. dorven pret.-pres. 'to need; to dare', Du. durven w.v. 'to dare', OHG durfan pret.-pres. 'id.', G diirfen pret.-pres. 'to be allowed to' ⇒ \*trp- (IE) - Skt. tfpyati 'to delight, satisfy' < \*trp-ie-; Gr. TEprrw 'to satisfy, to refresh' < \*terp-e-; OCS tnpeti 'to suffer, endure' < \*trp-ehr; Lith. taf'pti (tarpstu) 'to thrive, to increase' < \*torp-ske-; OPru. en-terpo 'is useful'. Most IE languages point to a meaning 'to be satisfied', but PGm. \*þurfanmay hav"
592,8306,\*þurfti- f. 'need',"\*þurfti- f. 'need' - Go. þaurfts f. 'id.', ON þurft f. 'id.', OS thurft, thuruft f. 'id.', OHG durft f. 'id.', MHG durft f. 'need, want, necessity' ⇒ \*trp-ti- (IE/DRV) - Skt. tfpti- f. 'satisfaction'. A ti-stem derivation to \*þurfan- (q.v.)."
592,8308,\*þurisa- m. 'giant',"\*þurisa- m. 'giant' - ON þurs m. 'id.', Far. poet. tussur m. 'id.', Nw. tuss m. 'id.', OE þyrs m. 'id.', OHG durs, duris m. 'id.', MHG diirse, turse, tiirse, tiirsch m. 'id.' (GM). One of the Proto-Germanic words for 'giant', cf. Fi. turisas 'god of war; sea monster'. It gave rise to Ice!. pursi, Far. tussi, Nw. tusse, EDa. tusse, tosse 'giant' < \*þurisan-. No clear etymology. The standard connection with ON þyrja 'to rush' < \*þurjan- (q.v.) is formally possible, but semantically uncompelling. Perhaps rather related to Icel. pursi m. 'quarrel, anger, rage'."
592,8310,\*þurjan- w.v. 'to sweep',"\*þurjan- w.v. 'to sweep' - ON þyrja w.v. 'to sweep, rush' ⇒ \*turH-ie- (IE) - Gr. aaipw 'to sweep' < \*turH-ie-. An apparently PIE ie-present closely related to \*þweran- ( q.v.)."
592,8312,"\*þurna- m. 'thorn, briar'","\*þurna- m. 'thorn, briar' - Go. þaurnus m. 'id.' ( < \*þurnu-), ON þorn m. 'id.', OE þorn m. 'id.', E thorn, OFri. thorn m. 'id.', ODu. thorn m. 'id.', Du. doorn c."
593,8316,"\*þurpa- 553 'id.', OHG dorn m. 'id.', G Dorn m. 'id.' ⇒ \*tr-no- (IE)","\*þurpa- 553 'id.', OHG dorn m. 'id.', G Dorn m. 'id.' ⇒ \*tr-no- (IE) - Skt. tfTJa- n. 'grass, blade of grass, herb', OCS tron'b m. 'thorn', Ru. tern m. 'blackthorn, sloe', SCr. tfn m. 'id.'. An old no-stem to a PIE root \*ter-. In view of the extra-Germanic forms, it is likely that the Go. u-stem is secondary. Also cf. OE pyrne f. 'briar' < \*þurnjo- and pyrnet n. 'thorn-bush thicket' < \*þurnatja-."
593,8318,\*þurpa- n. 'crowd(?)',"\*þurpa- n. 'crowd(?)' - Go. þaurp n. 'farmland', ON þorp n. 'isolated settlement', Nw. tarp n. 'group; small settlement', OE þorp, þrop m. 'crowd', OFri. therp, thorp n. 'village; (fallow) land', OS thorp n. 'id.', Du. dorp n. 'id.', OHG dorfn. 'id.', G Dorf n. 'id.' ⇒ \*trb-o- (EUR) - Lith. trobd f. 'cottage, farmhouse', Latv. traba f. 'hut, hovel' < \*trob-eh₂-; Oir. treb f. 'hamlet, village', MW tref f. 'town' < \*treb-eh₂-. The received connection of \*þurpa- with the aforementioned forms meaning 'hamlet' is straightforward. Within Germanic, the word cannot be dissociated from ON pyrpast 'to crowd, throng', Far. tyrpa seg 'to crowd, flock' < \*þurpjan-, however, which implies that Germa"
593,8320,\*þurska- m. 'cod',"\*þurska- m. 'cod' - ON þorskr m. 'id.', Far. toskur m. 'id.', Elfd. tuosk m. 'id.', MDu. dorsch m. 'id.', G Dorsch m. 'id.' ⇒ \*trsk-o- (NEUR) - Ru. treskci, Slov. tfska f. 'cod' < \*trsk-eh₂-. If Ru. treskci is not a Scandanavian loanword (thus Magnusson 1989: 1188), we are probably dealing with a Germanic-Slavic isogloss."
593,8322,\*þurstu- m. 'thirst',"\*þurstu- m. 'thirst' - Elfd. tuost f. 'id.', OE þurst, þyrst m. 'id.', E thirst, OS thurst m. 'id.', Du. dorst c. 'id.', OHG durst m. 'id.', G Durst m. 'id.' ⇒ \*trs-tu(IE) - Olr. tart m. 'dryness, drought' < \*trs-tu-. A tu-stem derived from the verb \*þersan- (q.v.). It was replaced by a ti-stem in Old English, and by an n-stem in ON porsti, Far. tosti m. 'thirst' < \*þurstan- (for a similar transfer, see \*lustu-). Further cf. the denominal impersonal verb ON pyrsta, OE pyrstan, OS thurstian, OHG dursten, G diirsten w.v. 'to be thirsty' < \*þurstjan-."
593,8324,\*þurzēn- w.v. 'to be dry',"\*þurzēn- w.v. 'to be dry' - Sw. dial. torra w.v. 'id.', OS thorron w.v. 'to waste away', Du. ver-dorren w.v. 'to wither', OHG dorren, dorren w.v. 'to dry, wither, stiffen', G ver-dorren w.v. 'to wither' ⇒ \*trs-eh₁- (IE) - Formally identical to Lat. torreo, -ere 'to scorch, roast'. A stative formation to \*þersan- or \*þurzu- ( q.v.)."
594,8330,\*þurzjan- w.v. 'to be thirsty',"\*þurzjan- w.v. 'to be thirsty' - Go. þaursjan w.v. 'id.', OE pyrreo p.ptc. 'dried out' ⇒ \*trs-ie- (IE) - Identical to Skt tf$yati 'to be thirsty'. An old ie-present ON pyrstr adj. 'thirsty' has been interpreted as the original past participle \*þursipa- of this verb, but it is more likely in view of its \*s that it represents the past participle to \*þurstjan- (for which cf. \*þurstu-). See also \*þurzu- and \*þurzēn-."
594,8332,\*þurzu- adj. 'dry',"\*þurzu- adj. 'dry' - Go. þaursus adj. 'id.', ON þurr, þyrr adj. 'id.', Far. turrur adj. 'id.', Nw. ti1rr, turr, dial. tjurr adj. 'id.', Elfd. tuorr adj. 'id.', OE f>yrre adj. 'id.', OFri. thurre adj. 'id.(?)', OS thurri adj. 'id.', Du. dor adj. 'id.', OHG durri adj. 'id.', G diirr adj. 'id.' ⇒ \*trs-u- (IE) - Identical to Skt. t[$U- adj. 'avaricious', YAv. tar5u- 'dry, not fluid' < \*trs-u-; also cf. Olr. tfr adj. 'dry' < \*ters-o-. An old u-stem continuing PIE \*trs-u-. Nw. dial. tjurr developed from an Old Norse stem \*þyrrv- by labial breaking ofy (cf. Nw. tjukk 'fat' < \*þekwja< \*þeku-). The variant þyrr itself continues a secondary ja-stem \*þurzwja-. Also note \*þurzjan- and the inch"
594,8334,\*þūshundī- f. 'thousand',"\*þūshundī- f. 'thousand' - Go. þusundi f. 'id.', ON pusund f. 'id.', Far. tusundi num. 'id.', Elfd. tusn num. 'id.', OE þūsend num. 'id.', E thousand, OFri. thusend num. 'id.', OS thusundig num. 'id.', Du. duizend num. 'id.', OHG dusunt num. 'id.', G Tausend f. 'id.' ⇒ \*tuHs-d/{mt-o- (NEUR) - OCS tyspsti, Ru. tjsjaca, SCr. dial. tl'suca f. 'thousand'; OPru. tii.simtons ace.pl., Lith, tilkstantis, tiikstuotis m. 'id.' < \*tuHs-e/ont-io/ih₂-. A numeral usually reconstructed as \*þus-hund-f-, a collective meaning ""Grofi-gehunderte"", which was derived from \*hunda- 1 'hundred' (q.v.) < \*(d)Kmt-t6- with a prefix \*þus- (cf. Far. tusna w.v. 'to swell up') < \*tuH-s. This etymology is not undisp"
594,8336,\*þusiþa- adj. 'silent',"\*þusiþa- adj. 'silent' - Nw. tyst adj. 'id.', OSw. thyster, ti1ster adj. 'id.', Elfd. tyst adj. 'id.', ODa. t(h)yst(<Er) adj. 'id.', Da. tyst adj. 'id.' ⇒ \*tus-i-to- (IE) - Skt tu$yati 'to be calmed, be satisfied' < \*tus-ie-; OPru. tusnan 'silent' < \*tus-no-; Lith. tausytis (tailsos) 'to subside', Ru. tusft' 'to extinguish' < \*tous-eie-; Ru. tuxnut' 'to go out' < \*tous-ne-; Oir. t6e f. 'silence', MW taw m. 'id.' < \*tous-o/eh₂-; Olr. toe adj. 'deaf < \*tous-io-. The past participle of a verb \*þusjan-, which directly corresponds to Skt. tu$yati."
595,8342,\*þuti- m. 'roaring',"\*þuti- m. 'roaring' - ON pytrm. 'howling', MHG duz m. 'sound, noise' (ORV). An i-stem to the strong verb \*þeutan- - \*þūtan- (q.v.)."
595,8344,\*þutt/dōn- w.v. 'to bump',"\*þutt/dōn- w.v. 'to bump' - Far. tota w.v. 'to dash', OE þodettan w.v. 'to hit, bump', Du. dial dodderen 'to bump', G dotzen, dutzen w.v. 'to bounce, bump' : \*tudh-neh₂- (GM). Presumably the iterative to \*þeutan- - \*þūtan- (q.v.). Also cf. OE pyddan w.v. 'to beat, bump, throw', ME thudden w.v. 'to push; thrust; throw; force', E to thud < \*þudjan- and OE podor m. 'ball' < \*þudra- ( < \*tudh-dhrō-?)."
595,8346,\*þwahan- s.v. 'to wash',"\*þwahan- s.v. 'to wash' - Go. þwahan s.v. 'id.', ON þvá s.v. 'id.', Far. tvaa s.fw.v. 'id.', Elfd. twa irr.v. 'id.', OE þwēan s.v. 'id.', OS thwahan s.v. 'id.', MDu. dwaen s.v. 'id.', OHG dwahan s.v. 'id.', MHG dwahen, twahen, zwahen s.v. 'id.' : \*tuōk-e (GM) - OPru. twaxtan 'brushwood for bathing' < \*tuok-sto-(?). An a-grade intensive formation. Cf. \*þwahla- as well as ON pvattr, OSw. thv<l!tter m. 'washing' < \*þwahtu- (whence e.g. Ice!. pv<l!tta, Sw. tviitta w.v. 'to wash' < \*þwahtjan-)."
595,8348,"\*þwahla- n. 'washing, bathing'","\*þwahla- n. 'washing, bathing' - Go. þwahl n. 'id.', ON þvall m. 'soap', OE þweal, þwahl m./n. 'washing', OHG dwahal n. 'bath, baptism' (ORV). Derived from \*þwahan- with the suffix \*-la-, possibly the outcome of secondarily added \*-pla- ( < \*-tlo-) after \*h. Also cf. the instrumental noun OE pwii!le f. 'band, fillet', Du. dweil c. 'mob', OHG dwahila, dwehila, G Zwehle f. 'towel' < \*þwahilon-. Far. dveylur m. 'swab' was borrowed from Low Ger-. man."
595,8350,\*þwangi- m. 'latchet',"\*þwangi- m. 'latchet' - ON þvengr m. 'thong, latchet', Far. tvongur m. 'shoelace', OE þwang m.f. 'thong, strip ofleather', E thong ϊ \*tuon/{-f- (ORV). An i-stem to the strong verb \*þwinhan- ( q.v.)."
595,8352,\*þwarōn- f. 'stirrer',"\*þwarōn- f. 'stirrer' - ON þvara f. 'pot-stick, stirrer', Far. tvl!lra f. 'stirrer with four scoops' (ORV). An a-grade formation to the strong verb \*þweran- 'to swirl, stir' ( q.v.)."
595,8354,\*þweran- s.v. 'to swirl',"\*þweran- s.v. 'to swirl' - OE þweran s.v. 'to twirl, stir', OHG dweran s.v. 'to stir up', MHG twern s.v. 'to turn quickly, stir up' ⇒ \*tuerH-e- (IE) - Skt. tvarate, turati 'to rush' < \*tuerH-e-f\*turH-e-. Also cf. the instrumental noun ON pyrill, OE pwirel, OHG thwiril, G Quirl m. 'beater, whisk' < \*þwerila- and OE ge-þweor n. 'curds' < \*þwera-, which is semanticaly close to OCS tvarog'b 'curds' < \*tuor-. The oldest meaning of the root, i.e. 'to sweep', is preserved by the zero-grade ie-present \*þurjan- ( q.v.)."
596,8360,\*þwerha- adj. 'cross',"\*þwerha- adj. 'cross' - Go. þwairhs adj. 'angry, irate, quicktempered', ON þverr adj. 'transverse; adverse, contrary; cross, obstinate', Icel. pver adj. 'transverse, lying-across; headstrong, unyielding', Far. tverur adj. 'transverse; difficult; obstinate; strange', OE pweorh, þwerh adj. 'crooked, cross; adverse, opposed', OFri. thweres adv. 'cross', OS thwerh adj. 'stupid', MLG dwer adj. 'cross, lateral', OHG dwerah adj. 'cross, lateral', MHG dwerch, twerch adj. 'id.', G quer, obs. zwerch adj. 'id.' ⇒ \*terkw·o-(?) (IE) - Hitt. tarkuzi, taru(k)zi  tarkuyanzi 'to dance' < \*terkw·ti, \*trkw-enti; ToB tiirk- 'to turn'; Skt. tarku- 'spindle' < \*terkw·u-; Lat. torqueo 'to twist, wind' < \*to"
596,8362,"\*þwinan- s.v. 'to abate, disappear'","\*þwinan- s.v. 'to abate, disappear' - OSw. þvina w.v. 'to dwindle, pine', Sw. tvina w.v. 'id.', Da. tvine s./w.v. 'to disappear', OE þwīnan s.v. 'to go down, lessen, abate' (IE). An n-present to the root \*dhgwhei-, probably back-formed to the inchoative OSw. pvcena w.v. 'to dwindle' < \*þwinon- < \*dhgwhi-nehr. Note that the Germanic reflexes of this verbal cluster show a remarkable alternation between \*dwinan- and \*swinan-; the outcome of the initial cluster \*dhgwh. was apparently unstable in Germanic."
596,8364,\*þwinhan- s.v. 'to force',"\*þwinhan- s.v. 'to force' - OFri. thwinga s.v. 'to force', OS thwingan s.v. 'to force, urge', Du. dwingen s.v. 'id.', OHG dwingan s.v. 'to force, subdue, oppress', G zwingen s.v. 'to force' ⇒ \*tuenk-e- (IE) - ToAB twiinkii.- 'to wear' < \*tuonk-eh₂-; Lith. tvefikti (tvenkiu) 'to dam up' < \*tuenk-ie-. A strong verb to the PIE base \*tuenk- 'to push, stuff, pack, equip, wear', for which see \*þunhjan-. Note that the expected PGm. form \*þwinhan- was replaced by the Verner variant \*þwingan-. Also cf. \*þwangi-. u"
596,8366,\*uba prep. 'under; above',"\*uba prep. 'under; above' - Go. u/prep. 'under', ON o/prep. 'over; about', OHG ob( a) prep. 'above, on, over', G obs. ob prep. 'above; due to' ⇒ \*h₁up-ō (IE) - Skt. upa adv., prev., prep. 'towards, together with, under', OAv. upci,"
