pdf_page,line,headword_segment,entry_opening
576,8098,\*þegna- m. 'retainer',"\*þegna- m. 'retainer' - ON þegn m. 'thane, franklin, freeman, man; Hegeman, subject', OE þegn m. 'thane, servant, retainer', OS thegan m. 'youth, man, warrior, disciple', MDu. degen m. 'boy, prince, hero', OHG degan m. 'warrior, valet, companion, hero, soldier', MHG degen m. 'lad, servant, warrior' (DRY). A derivation from the verb \*þegjan- 'to request, beg'. The original meaning was 'retainer', i.e. an aristocratic dependant of a king or nobleman who gives service in return for patronage. The word is traditionally compared to Gr. TEKvov n. 'child', a formation belonging to TLKTW 'to give birth' < \*ti-tk-e(cf. Torp 1909: 177; Pokorny IEW: 1057; Shields 2006). The implied proto-form \*tek-"
576,8100,\*þēka- m. 'drifting seaweed',"\*þēka- m. 'drifting seaweed' - WFri. obs. teek 'id.', NFri. (F) tiak, (Hlg., Mo., Wi., Ka.) teek, (Go., Ha.) tiiik n. 'id.', LG deek, teek, Brem. [eek 'id.', Du. dial., arch. daak, deek, vaak, veek c. 'id.' (GM). An etymologically obscure word (cf. Sjolin 2006: 231) found only dialectally along the North Sea coast (cf. Opprel 1937). The distribution of the coastal deek vs. the more inland daak in the Dutch dialects points to a vowel \*e (rather than \*ai or \*a). In combination with WFri., NFri. teek, which implies an initial fricative, the word can confidently be reconstructed as PGm. \*þēka-. It seems probable, given the geographic distribution, that the word was spread by the Frisians. T"
577,8108,\*þeku- adj. 'fat',"\*þeku- adj. 'fat' - ON þykkr, þjokkr, þjukkr adj. 'id.', Far. tjukkur, tjukkur adj. 'id.', Elfd. tjokk adj. 'id.', OE þicce adj. 'id.', E thick, OFri. thikke adj. 'manifold, multiple', OS thikki adj. 'id.', Du. dik adj. 'fat; thick', OHG dicki adj. 'dense, thick; frequent', G dick adj. 'fat, thick' ⇒ \*tegu- (WEUR) - Olr. tiug adj. 'fat' < \*tegu- (with u-raising and u-infection). An old u-stem that was remodeled into the PNWGm. ja-stem \*þekwja-. The labial element caused breaking of -y- ( < i with w-mutation) to -ju- or -join ON þjukkr, Nw. tjukk, Sw. tjock (for which cf. Nw. tjurr 'dry' < \*þurzu-), and of -i- to -iu- in Frisian, cf. OFri. thiukke f. 'breadth' < \*þekwfn-. Etymologically"
577,8110,"\*þemestra- adj. 'dark, dusky'","\*þemestra- adj. 'dark, dusky' - OE þīestre adj. 'id.', OFri. thiustere adj. 'id.', OS thiustri adj. 'id.' ( < \*þiustrja-), MLG demster adj. 'id.', MDu. dee(m)ster, duuster, vinster adj. 'id.', Du. duister, obs. deemster adj. 'id.', OHG dinstar, finstar adj. 'id.', MHG dinster, dimster, finster adj. 'id.', G finster adj. 'id.' ⇒ \*temhres-rō- (IE) - Skt. tamas- n. 'darkness' < \*temhres- and the derived Skt. tamisra- < \*temh₁-s-ro-; Lith. tamsa f. 'id.' < \*temhrs-eh₂- (whence tamsits adj. 'dark' < \*tomh₁-s-u-); Lat. tenebrae f.pl. 'darkness' < \*temhres-reh₂-; Olr. temel m. 'shadow, darkness', OW timuil, W tywyll 'dark, darkness' < \*temh₁-es-lo-. An old IE word that despite the dialecta"
577,8112,\*þemra- m. 'darkness',\*þemra- m. 'darkness' - OHG demar n. 'dusk' ⇒ \*temh₁-ro- (IE) - Skt. tamra- adj. 'darkening' < \*te/om(h₁}-r6-; Olr. tern adj. 'dark' < \*temh₁-ō-; OCS tbma f. 'darkness' < \*tmh₁-eh₂-.
578,8118,\*þenura- m. 'reaction wood',"\*þenura- m. 'reaction wood' - ON þinurr m. 'resinous fir-tree (of which bows and hoops were made); bow', Nw. tinur, tinar m. 'hard (piece of) wood', Elfd. tiqor m. 'reaction wood' (GM). The Nordic word referred to parts of trees consisting of wood that was particularly strong (socalled 'reaction wood'), e.g. the downward side of an overhanging tree. In view of the additional Old Norse meaning 'bow', this wood was apparently used to make this particular weapon. Formally, there is a complex discrepancy between ON flinurr and Elfd. tiqor, Sw. tjur-, the former continuing \*þinura-, the latter ON \*þjōrr < \*þenura- (with u-breaking, syncope and loss of -nr- as in \*Þōrr 'Thor' (cf. Elfd. tups-"
578,8120,\*þerba- adj. 'tough(?)',"\*þerba- adj. 'tough(?)' - ON þjarfr adj. 'unleavened (of bread); fresh (of water); insipid, flat', OE þeorf adj. 'unleavened', OFri. therve adj. 'rough, fierce', OHG derb adj. 'unleavened', MHG derp adj. 'id.', G dial. derb adj. 'unleavened', Bav. 'dry' ⇒ \*terp-ō- (EUR) - Lith. tii'pti (tirpstu) 'to stiffen' < \*trp-ske-; Lat. torpere 'to be stiff, OCS u-tropeti 'id.' < \*trp-ehi-. An adjective to the root \*terp-. See also \*þurfan- 'to need'."
578,8122,\*þerhwe,"\*þerhwe - \*þurhwe prep., adv. 'through' - Go. flairh prep., adv. 'id.', OE per(i)h, pur(u)h, florh prep., adv. 'id.', E through, OFri. thriuch, thruch prep., adv. 'id.', NFri. troch prep., adv. 'id.', OS thurh, thoro, thuru prep., adv. 'id.', ODu. thuro prep., adv. 'id.', MDu. dare, dure, do(o)rch prep., adv. 'id.', Du. door prep., adv. 'id.', OHG durh, durah, duruh prep., adv. 'id.', G durch prep., adv. 'id.' ⇒ \*terh₂-h₃kw-e (IE) - Hitt. taragzi 'to overcome', Skt. t<irati, -tirati 'to pass, cross over' < \*terh₂-e-, \*trh₂-e-; YAv. titarat 3sg.inj. 'to overcome' < \*ti-trh₂-e-; Hitt. tarna-i 'to let in' < IE \*tr-ne-h₂-; Skt. tiras prep. 'through, across, beyond', Lat. triins prep., adv"
579,8128,\*þerkon- f. 'hole',"\*þerkon- f. 'hole' - Go. þairko f. 'hole' ⇒ \*terh₂-ueh₂- (DRY). An n-stem derived from \*þerhwe - \*þurhwe. The formation is likely to continue Pre-Gm. \*þerkkōn-, which possibly received its geminate in a Pre-Gm. paradigm \*terk-ōn, gen. \*t( e)rk-n-6s (Luhr 1988: 269). Alternatively, the \*k may have arisen from a laryngeal occurring after a liquid and before a \*u, e.g. in a ueh₂-stem \*terh₂-ueh₂- (cf. \*taikwer-)."
579,8130,\*þersan- s.v. 'to be dry',"\*þersan- s.v. 'to be dry' - Go. ga-þairsan s.v. 'to dry up, wither' ⇒ \*ters-e(IE) - Hitt. tarfri\* - tarfanzi 'to become dry', Gr. n:pooμm 'id.' < \*ters-e-. An old strong verb. See also \*þarzjan-, \*þurzu- and \*þurzjan-."
579,8132,\*þeuba- m. 'thief,"\*þeuba- m. 'thief - Go. þiubs m. 'id.', ON pj6fr m. 'id.', OE þeof m. 'id.', E thief, OFri. thiiifm. 'id.', OS thiofm. 'id.', Du. dief c. 'id.', OHG diob, diub m. 'id.', G Dieb m. 'id.' ⇒ \*teup-ō- (GM?) - Lith. tupJti (tupiu) 'to cower' < \*tup-eh₁-ie-. Etymology unclear. The formation OHG diuva, diuba f. 'id.', MHG diuve, diube f. 'id.', G obs. Deufe, Deube f. 'id.' points to a Verner alternation \*þeujjo- \*þeubjō- < \*teup-ieh₂-, and the underlying root \*teup- has by some been compared to Lith. tupJti 'to cower' (cf. \*stelan- 'to sneak; to steal'). Within Germanic, there may be a connection with Ice!. þufla w.v. 'to roam, wander; to stagger; to grope, fumble', Nw. tuvla w.v. 'to loite"
579,8134,\*þeudja- adj. 'favorable',"\*þeudja- adj. 'favorable' - ON pyor adj. 'kind, affectionate, affable', OE ge-þiede adj. 'good, decent' ⇒ \*teuh₂-tiō- (IE?) - Lat. tutus adj. 'safe' < \*tuh₂-tō- (derived from Lat. tueor, tuor 'to look at, watch over, safeguard' < \*tuh₂-ehi-ie-); Gr. ow<;, oao<; adj. 'safe, healthy, intact' (a thematicization of \*oau<; < \*tueh₂-u- Beekes 2010: 1440-1). The word is usually connected to the PIE root \*teuh₂- 'strong', cf. Skt. ut taviti 'to be strong'. The appurtenance of OBret. tut 'good, favorable'(?) is more uncertain in view of the meanings of Olr. tUath adj. 'northern, left; perverse, wicked, evil' and OBret. tuthe 'demon'. Within Germanic, cf. the factitive Go. þiupjan w.v. 'to bles"
580,8140,"\*þeudō- f. 'nation, people'","\*þeudō- f. 'nation, people' - Go. þiuda f. 'id.', ON pj6o f. 'id.', Far. tj6o f. 'id.', OE þeod f. 'id.', OFri. thiiide, thiede f. 'id.', OS thiod, thioda f. 'id.', OHG diota f. 'id.', MHG diet f. 'id.' ⇒ \*teut-eh₂- (EUR) - Osc. touto 'community', Olr. tuath f. 'people, tribe', W tud m. 'people, nation; region, district' < \*te/out-eh₂-; OPru. tauto, Lith. tauta f. 'land', Latv. tauta f. 'people' < \*tout-eh₂-. A European word: the alleged cognates Hitt tuzzi- 'army' (Feist 1924: 130) and Sogd. two'k 'crowd', NP toda 'heap, pile' (Schmid 1968: 10) are uncertain. PGm. \*þeudō- possibly continues an old neuter collective to OHG diot, MHG diet, MDu. diet m. '(free) man' < \*þeuda-. The word w"
580,8142,\*þeuha- n. 'thigh',"\*þeuha- n. 'thigh' - ON pj6 n. 'id.', Far. tj6gv n. 'id.', OE þeoh n. 'id.', E thigh, OFri. thiiich n. 'id.', MDu. die n./f. 'id.', Du. dij c. 'id.', OHG dioh n. 'id.' ⇒ \*teuHk-o- (EUR) - Lith. taukai, Latv. tauki m.pl. 'lard' OPru. taukis 'id.', OCS tuko, Ru. tuk m. 'fat' < \*touHk-o-; Olr. t6n f. 'behind, bottom', MW tin f./m. 'bottom, arse, rear' < \*tuHk-neh₂-. A European word for 'thigh, hip'."
580,8144,\*þeura- m. 'bull',"\*þeura- m. 'bull' - ON pj6rr m. 'id.', Far. tj6rur m. 'castrated bull', OSw. piur m. 'bull', Du. dial. duur m. 'id.' (NIE) - Gr. -raupo<; m. 'bull', Lat. taurus m. 'id.', Lith. tailras m. 'id.', OCS tu/'""'b m. 'id.', Alb. ter 'id.'; Akk. silru, Arab. tawr, Hebr. s6r 'steer' < PSem. \*tawr; Etr. thevru-mines 'Minotaur'. A word with an etymological trajectory leading back to the Middle East rather than the IE homeland on the Pontic-Caspian steppes. I assume that a pre-Indo-European form \*þaur just as in Etruscan thevr- was raised to \*þeur before it was adopted by the speakers of Proto-Germanic, and gave rise to both \*þeura- and \*steura- (q.v.). Note that Limburgian duur, which technically"
580,8146,\*þeutan-,"\*þeutan- - \*þūtan- s.v. 'to howl, roar' - Go. þut-haurn n. 'trumpet', ON pj6ta s.v. 'to howl, whistle, roar', Nw. tjota, tyta s.v. 'id.', OE þeotan, þiitan s.v. 'to howl', OHG diozan s.v. 'to roar', MHG diezen s.v. 'to roar, woosh' (DRY). A strong verb back-formed to the iterative \*tutt/don- (q.v.). No further etymology. The link with Lith. tiitUoti 'to blow' (cf. Fraenkel 1965: 1070) is"
581,8152,\*þewa- m. 'servant',"\*þewa- m. 'servant' - Go. þius m. 'thrall, bondsman, servant', ON -Per þrop. 'id.', OE þeow, þeowa m. 'servant', ME theow 'id.', OS theo-lico adv. 'humble', Du. dee-moedig adj. 'id.', MHG deo m. 'servant' ⇒ \*teu-o- (GM). Also cf. Go. þiwi, ON py, pir, OS thiwi, OE þeowu, -e, OHG diu f. 'female servant' < \*þewf-, gen. -joz < \*teu-i(e)h₂- as well as \*þewen- 'to subdue'."
581,8154,\*þewen- w.v. 'to subdue',"\*þewen- w.v. 'to subdue' - Go. ga-þiwan w.v. 'to subdue, subjugate', ON þjci w.v. 'to constrain; to enslave' (GM). The common opinion on the derivation of the verb is that it was derived from \*þewa- 'servant' (q.v.), and the verb indeed means 'to enslave' in both Gothic and Old English. However, the Old Norse verb pjci has an additional, more primary meaning 'to force' (e.g. hann var Pf cir ti/ vinnu 'he was forced to work'), which implies that the meaning 'to enslave' is secondary. This is further supported by OE ge-þeon 'to tame, oppress' < \*þewojan- and the marginally attested adjective OE þeow adj. 'subservient', OS thio-/iko adv. 'humble', OHG diu adj. 'unfree' < \*þewa- (Heidermanns"
581,8156,\*þīna- pron. 'your',"\*þīna- pron. 'your' - Go. þeins pron. 'id.', ON pinn pron. 'id.', Far. tin pron. 'id.', Elfd. denn pron. 'id.', OE þīn pron. 'id.', OFri. thfn pron. 'id.', OS thfn pron. 'id.', MDu. dijn pron. 'id.', OHG dfn pron. 'id.', G dein pron. 'id.' ⇒ \*t-iHno- (IE). The possessive pronoun pertaining to \*þū 'you' (q.v.). The suffix is likely to be identical to \*-fna- used in e.g. \*aizfna- 'iron' to \*aiza- ( q.v.)."
581,8158,\*þinan- s.v. 'to become moist',"\*þinan- s.v. 'to become moist' - OE þīnan s.v. 'id.' ⇒ \*tei-nh₁-e- (IE) - Hitt zeja(ri} - zejanta(ri) 'to cook, be cooked' < \*tieh₁-o, \*tihi-ōnto; Hitt zanu-zi 'to (make) cook' < \*tihrneu-; Olr. tinaid 'to disappear; to melt' < \*tihi-neh₂-. A nasal present to the root \*teihi-. The original, nasal-less past participle is preserved as ON pilJr adj. 'thawed' < \*þih₁-tō-, whence ON þilJna w.v. 'to"
