headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
motjan-,,w.v.,to meet,412,IE,,"Go. ga-motjan w.v. 'id.', ON mceta w.v. 'id.', Far. mgta w.v. 'id.', Elfd. myota w.v. 'id.', OE metan w.v. 'id.', E to meet, OFri. meta w.v. 'id.', OS motian w.v. 'id.', Du. ont-moeten w.v. 'id.' (IE). Ajan -verb closely related to \*motan- (q.v.).",pdf-text-headword-found,
mo/Jra-,,n.,"womb, belly, bodice",412,EUR/IE,\*meh₂-tro(EUR/IE),"OFri. mother n. 'bodice(?)', MLG moder f. 'womb', Du. baar-moeder c. 'placenta', OHG muodar n. 'belly, waistcoat', MHG muoder, miieder n. 'body, bodice, girdle', G Mieder n. 'id.'",pdf-text-headword-found,suspicious-headword-characters
mopu-,,adj.,"tired, weary",413,DRY,\*meh₃-tu- (DRY),"ON m6r'Jr adj. 'id.', Far. m6our adj. 'id.', OE meoe adj. 'id.', OS mothi adj. 'id.', Du. moe adj. 'id.', OHG muodi adj. 'id.', G miide adj. 'id.'",pdf-text-headword-found,
mudena-,,adj.,moldy,413,NEUR,\*mudh-eno- (NEUR),"Far. mooin adj. 'moldy, musty', Nw. moden adj. 'mature, ripe, gone bad', OSw. moghin, main adj. 'mature; ripe', Elfd. muogen adj. 'id.', Da. moden adj. 'id.'",pdf-text-headword-found,
mugan-,,pret.-pres.,to be able,413,IE,\*m(o)gh- (IE),"Go. magan pret.-pres. 'id.', ON mega pret.-pres. 'id.', Far. mega, muga pret.-pres. 'id.', OE magan pret.-pres. 'to be able, may', E to may, OFri. muga, moga pret.-pres. 'id.', OS mugan pret.-pres. 'id.', Du. mogen pret.-pres. 'id.', OHG magan, mugan pret.-pres. 'id.', G mogen pret.-pres. 'to like'",pdf-text-headword-found,
miihan-,,- \*mukkan- m.,pile,413,EUR,\*muk-on- (EUR),"ON mugi, mugr m. 'pile, crowd', Ice!. mugi m. 'id.', Far. mugvi m. 'crowd' (also mugva f. 'id.' < \*miihon-), Nw. muge m. 'heap', mukke f. 'id.', Gutn. mdcka f. 'id.', OE muha, muga, muwa m. 'heap', E mow",pdf-text-headword-found,
mukkon-(?),,f.,sow,414,LW,,"MDu. mocke f. 'sow; prostitute', MHG mocke f. 'breeding sow' (LW) - Olr. mucc f. 'pig', MW moch f. 'id.' < \*mokku-. A non-Proto-Germanic, Celtic loanword. It has been proposed that both the Celtic and Germanic word were borrowed from a lost European language (Matasovic 2009: 274-5). The restriction of \*mukkon- to the Franconian dialect area makes it more likely that the word entered Germanic at a late stage, from Celtic.",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
miilan-,,m.,muzzle,414,GM,\*muH-/o-(?) (GM),"ON muli m. 'muzzle, snout; promontory', Far. mu/i m. 'muzzle, nose; promontory', OFri. miila m. 'muzzle, mouth', MDu. mule m./f. 'mouth (of animal)', Du. muil c. 'id.', OHG mu/a f. 'id.', MHG miil n. 'id.'",pdf-text-headword-found,
mulki-,,adj.,milkable,414,ORV,,"Icel. mylkur adj. 'giving milk', G Swi. /ind-mulch 'easy to milk' (ORV). The gerundive to \*me/(u)kan- (cf. Heidermanns 1993: 408). Cf. Far. my/kin f. 'woman who has sufficient milk'.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
mulkna-,,n.,dairy,414,ORV,,"OE molcen n. 'curdled milk', MDu. molcken n. 'dairy', MHG mo/ken, molchen n. 'id.', G Mo/ken f.pl. 'whey' (ORV). A zero-grade formation closely related to \*mel(u)kan- (q.v.), perhaps derived from the past participle thereof.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
mulkon-,,w.v.,to milk,414,IE,\*h₂mlg-neh₂- (IE),"ON mo/ka w.v. 'id.', OSw. molka w.v. 'id.', OGutn. mulka w.v. 'id.'",pdf-text-headword-found,
multojan-,,w.v.,to become soft,414,IE,\*mld-u- (IE),"Nw. mo/ta w.v. 'to ripen (of berries)', G dial. mo/zet adj. 'soaked'",pdf-text-headword-found,
mulwen-,,w.v.,to soften,415,IE,,"(IE) - Gr. μaAaK6˸ adj. 'weak, soft, tender' < \*mlh₂-lfo-. A stative apparently created to either the adjective \*mulwa-, cf. MHG molwic adj. 'soft', or to \*melwa- 'id.', cf. E mellow < \*m(e)lh₂-l<-u6-. See also \*melda-.",pdf-text-headword-found,
mump/bon-,,w.v.,to stain,415,IE,\*mmbh-neh₂- (IE),"E obs. to mump 'to cheat, get the better of, Du. obs. mompen w.v. 'to cheat, deceive, hide'",pdf-text-headword-found,suspicious-headword-characters
munan-,,pret.-pres.,"to think, remember, intend",415,IE,\*m(o)n- (IE),"Go. munan pret.-pres. 'to reckon, believe, consider', ON muna, munu pret.-pres. 'to remember', Far. munna pret.-pres. 'to will, be about to', OE munan pret.-pres. 'to remember; to consider, think', OS munan pret.-pres. 'to judge';far-munan pret.-pres. 'to scorn, disregard, renounce'",pdf-text-headword-found,
mundi-,,f.,"memory, mind",415,IE,\*mn-ti- (IE),"Go. ga-munds f. 'remembrance, memory', ON mynd f. 'form, image', Far. mynd f. 'picture', OE ge-mynd f. 'mind, memory, memorial', E mind, OHG gi-munt f. 'memory'",pdf-text-headword-found,
mundo-,,f.,hand,415,EUR/IE,\*mh₂-nt-eh₂- (EUR/IE),"ON mund f. 'id.', OE mund f. 'hand; protection', OFri. mund, mond f. 'protection', OHG munt f. 'protection'",pdf-text-headword-found,
mundra-,,adj.,lively,416,IE,\*mn-dhh₁-ro- (IE),"OHG muntar adj. 'brisk, cheerful', G munter adj. 'id.'",pdf-text-headword-found,
muni-,,m.,"thought, mind",416,ORV,\*mn-i- (ORV),"Go. muns m. 'intention', ON munr m. 'mind; difference', Far. munur m. 'effect, amount, degree; change, difference; balance', Elfd. mun 'effect', OE myne m. 'mind'",pdf-text-headword-found,
muniwon-,,f.,minnow,416,EUR,\*mnH-i-ueh₂- (EUR),"OE myne m. 'small seafish, eelpout', MDu. mone f. 'rockling(?)', Du. meun c. 'rockling', OHG mun(e)wa f. 'eelpout', G Mohn f., Pal. Miinne, Mimf f. 'dace, chub'",pdf-text-headword-found,
munpa-,,m.,mouth,416,,,"Go. munps m. 'id.', ON munnr m. 'id.', Far. munnur, muaur m. 'id.', Elfd. munn m. 'id.', OE mrip m. 'id.', E mouth, OFri. mrith m. 'id.',",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
murge/ana-,377,"OS muth m. 'id.', Du. mond c. 'id.', OHG mund m. 'id.', G Mund m. 'id.' ⇒ \*mnt-o- (EUR)",,417,,,"Lat mentum n. 'chin', MW mant m. 'mandible, gums' < \*mnt-o-. A Germanic and Italo-Celtic o-stem. It is further possible that the root \*ment- continues \*stment-, for which see \*stimno-. The root may further be identified in Gr. μacraoμm 'to chew, bite' ( < quasi PIE \*mnt-i-eh₂-ie-) and Lat mando 'to chew' < \*mnt-neh₂- (with 1. dissimilation of the first n; 2. schwa secundum in the resulting form \*mt-na-; and 3. prenasalization under Thurneysen's law). The alternative connection with Hitt meni n. 'face, cheek' ( < \*men-ihi-, Rieken 1999: 56f.) can only be maintained if the root was \*men- rather than \*ment-, which seems less likely.",pdf-text-headword-found,suspicious-headword-characters; missing-or-unparsed-gloss
murge/ana-,,m.,morning,417,NEUR,\*mr(H}k-e/on- (NEUR),"Go. maurgins m. 'id.', ON myrginn, morgunn, morginn m. 'id.', lcel. morgunn m. 'id.', Far. morgun m. 'id.', OSw. morghon m. 'id.', Elfd. morgun m. 'id.', OE mergen, morgen m. 'id.', OFri. mom m. 'id.', WFri. moarn c. 'id.', EFri. maiden m. 'id.', OS morgan, moragan m. 'id.', ODu. morgan m. 'id.', Du. morgen c. 'id.', OHG morgan m. 'id.', G Morgen m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
murgu-,,adj.,short,417,IE,\*mrgh-u- (IE),"OHG murg, murgi adj. 'id.'",pdf-text-headword-found,
murhon-,,f.,wild carrot,418,,\*mrk-,"OE moru, more f. 'id.', OS morha f. 'parsnip', MDu. more f. 'carrot; rutabaga', OHG moraha f. 'wild carrot', G Mohr-riibe 'id.', Mohre f. 'id.' ( < \*murhjon-)",pdf-text-headword-found,
mur/Ja-,,n.,murder,418,IE,\*mf-to- (IE),"ON moro n. 'id.', Far. moro n. 'id.', Elfd. mlJord n. 'id.', OE moro m. 'id.', OFri. morth n. 'id.', OS morth n. 'id.', Du. moord c. 'id.', OHG mord n. 'id.', G Mord m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
miis-,,f.,"mouse, muscle",419,IE,\*muHs(IE),"ON mus f. 'mouse; biceps', Far. mus f. 'mouse', Elfd. maus f. 'id.', OE miis f. 'mouse', E mouse, OFri. miis f. 'id.', WFri. mus c. 'id.', OS miis f. 'id.', Du. muis c. 'id.', OHG miis f. 'id.', G Maus f. 'id.'",pdf-text-headword-found,
musa(n)-,,m./n.,moss,419,EUR,\*mus-o- (EUR),"ON mosi m. 'moss; bog', OSw. mos n., mosi m. 'id.', Elfd. muosi m. 'id.', OE mos n. 'id.', E moss, Du. mos n. 'moss', OHG mos n. 'moss; swamp', G Moos n. 'moss'",pdf-text-headword-found,
musi-,,f.,"mosquito, fly",419,EUR/IE,\*mus-(i)eh₂- (EUR/IE),"MDu. meusie f. 'mosquito; fly', EDu. meusie, mosie 'mosquito', Du. Flem. meuz(i}e 'id.'",pdf-text-headword-found,
muska-,,m.,haze(?),419,NEUR/WEUR,\*mus-g/ko(NEUR/WEUR),"Ice!. musk n. 'dust, fluff; haze', Far. rel-musk n. 'light shower of rain', Nw. musk n. 'fog; drizzle from fog; dark hue'",pdf-text-headword-found,
muppajon-,,m./f.,moth,419,NEUR,,"ON motti m. 'id.', Far. motti m., motta f. 'mite', Elfd. mdtta f. 'moth', OE moppe f. 'id.', E moth, MDu. motte f. 'id.', Du. mot c. 'id.', MHG motte, mutte f. 'id.', G Motte f. 'id.' (NEUR). A zero-grade formation closely related to \*mapan- (q.v.). Also cf. OE mohc'Je, ME mohthe, E Scot. mogthe 'moth' < \*mupikon-.",pdf-text-headword-found,
muwi-,,f.,mosquito,420,EUR/IE,\*muH-ih₂- (EUR/IE),"OSw. mygga f. 'id.', OE mycge f. 'id.', E midge, WFri. mich c. 'id.', EFri. miiiige f. 'id.', Du. mug c. 'id.', OHG mucka f. 'id.', G Milcke f. 'id.'",pdf-text-headword-found,
nabja-,,n.,beak,420,GM,,"ON nef n. 'nose; bill', Far. nev n. 'bill, beak', Elfd. nev n. 'nose; mouth, muzzle', OE nebb n. 'nose; neb; face', MLG, MDu. nebbe m./f. 'beak' (GM). Possibly related to OSw. nappa 'to pinch, snap, pick', MDu. nappen w.v. 'to prick, bite' < \*nappon- < \*nop/bh-neh₂-. No clear extra-Germanic cognates. Some have compared the word to \*nabO- 'nave' < \*h₃nobh-eh₂- through a meaning 'protuberance, knob' (cf. Magnusson 1989: 662). Another potential lead is Gaul. nebba 'bill' as recorded by Pliny (thus already Kilian 1599: 334), but the word is not attested in the later Celtic languages.",pdf-text-headword-found,
nablan-,,m.,navel,420,IE,\*h₃nobh-/-on- (IE),"ON nafli m. 'id.', Far. nalvi m. 'id.', Elfd. navel m. 'id.', OE nafela m. 'navel', E navel, OFri. naula m. 'id.', Du. navel c. 'id.', OHG nabalo, nabulo m. 'id.', G Nabel m. 'id.'",pdf-text-headword-found,
nabo-,,f.,nave,420,,,"ON npf f. 'id.', OE nafu f. 'id.', E nave, WFri. nauwe c. 'id.', MDu. nave f. 'id.', Du. naaf c. 'id.', OHG naba f. 'id.', G Nabe f. 'id.'",pdf-text-headword-found,
h₃nobh-eh₂-,,(IE),,420,,,Latv. naba f. 'navel' < \*h₃nobh-eh₂-; Skt. nabhya- n. 'hub,not-found-in-pdf-text-layer,missing-or-unparsed-gloss
nadra-,,m.,"adder, snake",421,WEUR,\*no1tr-6- (WEUR),"Go. nadrs\* m. 'id.', ON naor m. 'id.'",pdf-text-headword-found,
nag/-,,m.,nail,421,IE,\*h₃nogwh./-o- (IE),"ON nag/, pl. neg/ m. 'id.', Ice!. nogl, pl. neglur f. 'id.', Far. naglur, f.pl. neg/ m. 'id.', Elfd. nagel m. 'id.', OE n<Egel, n<Egl m. 'id.', E nail, OFri. neil m. 'id.', OS nagal m. 'id.', Du. nagel c. 'id.', OHG nagal m. 'id.', G Nagel m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
naht-,,f.,night,421,IE,\*nokw-t- (IE),"Go. nahts f. 'id.', ON nptt, gen. n<Etr, nattar, pl. n<Etr f. 'id.', Ice!. n6tt, pl. n<Etur f. 'id.', Far. natt, pl. n<Etur f. 'id.', Elfd. nqt, pl. nၳter f. 'id.', OE n<Eht, niht f. 'id.', E night, OFri. nacht f. 'id.', OS naht f. 'id.', Du. nacht c. 'id.', OHG naht f. 'id.', G Nacht f. 'id.'",pdf-text-headword-found,
nakwan-,,m.,dugout boat,422,GM/IE?,,"ON npkkvi m. 'ship, dugout', Icel. nokkvi m. 'id.', Far. poet. nokki m. 'small boat', OE naca m. 'id.', MDu. ake, aec m. 'boat, barge', EDu. aecke, naecke 'id.', Du. aak c. 'id.', OHG nahho m. 'dugout boat', G Nachen m. 'barque' ʀ \*nogw-on- (GM/IE?). The word has been compared to Skt. naga- 'tree trunk' (Liden 1897: 31-7; Torp 1909: 288). Another possibility is to assume that the PGm. labiovelar developed from a laryngeal before \*u, which would allow for a connection with \*no- 'ship' < \*neh₂u- (Kortlandt 1988b: 2 56).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
nakwe/ada-,,adj.,naked,422,IE,,"Go. naqaps adj. 'id.', ON nRJkkvior adj. 'id.', OSw. nakuper adj. 'id.', OE nacod, nrecad adj. 'id.', E naked, OFri. naked, nakend, naken adj. 'id.', MDu. naket, nakent adj. 'id', Du. naakt adj. 'id.', OHG nackot adj. 'id.', MHG nacket, nackent adj. 'id.', G nackt adj. 'id.' ʀ \*nogw-e/ont- (IE) - Close to Lat. niidus adj. 'id.' < \*nogw-edh-o-(?); further cf. Hitt. nekumantadj. 'id.' < \*negw-m-ont-(?); Skt. nagna- adj. 'naked' < \*nogw-no-; YAv. maynaadj. 'id.' (from ""\*nwog-no-"" with labial metathesis), cf. Gr. yuμv6c; adj. 'id.' < ""\*gonw-no-"" < \*nogw-no-; Olr. nocht, W noeth adj. 'id.' < \*nogw-to-; Lith .. nuogas, Latv. nuogs adj. 'id.', OCS nag'b, Ru. nag6j, SCr. obs. nag adj. 'id.' …",pdf-text-headword-found,suspicious-headword-characters
namon-,,n.,name,422,IE,\*h₃n/J3-men- (IE),"Go. namo, pl. namna n. 'id.', ON nafn n. 'id.', Far. navn n. 'id.', Elfd. nammen n. 'id.', OE nama m. 'id.', E name, OFri. noma m. 'id.', OS namo m. 'id.', Du. naam c. 'id.', OHG namo m. 'id.', G Name m. 'id.'",pdf-text-headword-found,
nanpjan-,,w.v.,to dare,423,DRY,,"Go. ana-nanpjan w.v. 'to dare, take courage', ON nenna w.v. 'to be inclined, willing', Far. nenna w.v. 'to have the heart to', OE neoan w.v. 'to have courage, dare', OFri. netha w.v. 'to dare', OS ncithian w.v. 'id.', OHG nenden w.v. 'id.', MHG nenden,ge-nenden w.v. 'id.' (DRY). In view of the root-final \*p, this verb is probably a factitive to an unattested adjective \*nanpa- 'daring' < \*n6nt-o-; the causative to \*ninpan- would have been \*nandjan- < \*nont-eie-. Further cf. OE noo, OHG nand 'rashness' < \*nanpa-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
narwa-,,adj.,narrow,423,NEUR,,"OE nearu adj. 'id.', E narrow, WFri. near adj. 'id.', OS naro, naru adj. 'id.', MDu. nare, naer adj. 'id.', Du. naar adj. 'disagreeable, dreary' ʀ \*neh₂r-u- (NEUR) - Latv. nars m. 'clamp' < \*noh₂r-o-(?). An ""Ingvaeonic"" adjective, possibly related to Latv. nars. If this is correct, the wa-stem may have developed from \*neh₂r-u- by pretonic shortening. Also cf. Nw. naur m. 'wretch' < \*narwa-, ON nara w.v. 'to dwindle' < \*narojan- and the ablauting Nw. nor n. 'sound, canal' < \*nora- < \*noh₂r-o-.",pdf-text-headword-found,
naso-,,- \*nuso- f.,nose,423,IE,,"ON nps f. 'nostril', Far. nf!Js f., nasar pl. 'nose', OSw. nascer f.pl. 'id.', OE nosu f. 'id.', E nose, OFri. nose f. 'id.', OS nasa-druppo m. 'cold', Du. neus c. 'nose', OHG nasa f. 'id.', G Nase f. 'id.' ʀ \*n՗2-s-eh₂- (IE) - Skt. nasci- f. 'nose', YAv. n<iT)ha nom.acc.du.(?) 'id.', OP nciham acc. 'id.', Lat. naris f. 'nostril', pl. 'nose', Lith. n6sis, Latv. nass f. 'id.' < \*neh₂-s-; CS nos'b, Ru. nos, SCr. nos m. 'id.' < \*nh₂-es-. The IE word for 'nose'. It is traditionally reconstructed as PIE \*nas- with a-vocalism (Pokorny IEW: 755), but Kortlandt 1985a: 119 postulated an ablauting s-stem nom. \*neh₂-s, gen. \*nhrs-6s, acc. \*nhres-m in order to account for the ablaut of e.g. Lith.…",pdf-text-headword-found,
nata-,,adj.,wet,424,IE?,,"ODu. nat adj. 'id.', Du. nat adj. 'id.', OHG naz adj. 'id.', G nafi adj. 'id.' (IE?) - Skt. uncitti, 3pl. undcinti 'to well up, moisten' < \*u-n-ed-ti, \*u-n-d-enti. Also cf. the factitive Go. natjan, OHG nazzen, nezzen, G netzen w.v. 'to make wet, wetten'. The origin of the word is uncertain, but it is possible that it continues \*ynod-o-, i.e. an o-stem adjective derived from the n-present 3sg. \*uned-ti, 3pl. \*und-enti (Weigand 1909-10: II, 276), as the initial sequence \*yn- could have been simplified to \*n in PGm.",pdf-text-headword-found,
natja-,,n.,net,424,WEUR,\*nHd-io- (WEUR),"Go. nati n. 'id.', ON net n. 'id.', Far. net n. 'id.', Elfd. m;t n. 'id.', OE net n. 'id.', E net, OS netti n. 'id.', Du. net n. 'id.', OHG nezzi n. 'id.', G Netz n. 'id.'",pdf-text-headword-found,
natjo-,,f.,"caul, omentum",424,DRY,,"ON netja f. 'id.', Far. netja f. 'id.', OFri. nette, nitte f. 'retina', EDu. net 'id.', G Netzen f. 'id.' (DRY). Derived from \*natja- or the underlying root \*nat-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
naton-,,f.,nettle,424,DRY,\*nHd-eh₂- (DRY),"ON nata f. 'spear', Far. nota f. 'nettle', Nw. nata f. 'id.', Gutn. nata f. 'id.'",pdf-text-headword-found,
naust(r)a-,,n.,"boathouse, boatshed",424,DRV,,"ON naust n. 'id.', Far. neyst n. 'id.', Nw. naust(r) n. 'id.' (DRV). Derived from \*no- < \*neh₂u- 'boat' (q.v.) with the suffix \*-sta- (variant \*-stra-) < PIE \*-sth₂-o-.",pdf-text-headword-found,
nauta-,,n.,cattle,425, = dim. \*nauti/a-,,"ON naut n. 'cattle, ox', OE neat n. 'ox, cow, cattle', OFri. ncit m. 'animal', OS notil n. 'domestic animal' ( = dim. \*nauti/a-), MDu. noot n. 'cattle, cow', OHG noz n. 'cattle', G dial. Nofl n. 'id.' (DRV). An a-stem usually derived from \*neutan- 'to make use of (q.v.), an etymology that implies a primary meaning 'utilizable cattle', cf. G Nutz-vieh 'domestic cattle'. Another possibility is to connect MDu. noten w.v. 'to mate (of animals)' < \*(h)nuton-.",pdf-text-headword-found,
naupi-,,f.,"compulsion, distress",425,IE,\*neh₂u-ti- (IE),"Go. naups f. 'id.', ON nauo f. 'need, difficulty, distress', Far. neyo f. 'id.', OE nied f. 'id.', E need, OFri. ned f. 'id.', OS nOd f. 'id.', Du. nood c. 'id.', OHG not f. 'id.', G Not f. 'id.'",pdf-text-headword-found,
nawi-,,m.,corpse,425,IE,\*nh₂u-i- (IE),"Go. nous m. 'id.', ON mfr m. 'id.'",pdf-text-headword-found,
nazjan-,,w.v.,"to save, heal",425,IE,\*nos-eie- (IE),"Go. nasjan, ga-nasjan w.v. 'id.', OE nerian w.v. 'to save', OFri. nera w.v. 'to save; to nourish', OS nerian w.v. 'id.', MDu. neren w.v. 'to nourish', OHG nerren, neren w.v. 'to heal, nourish', G niihren w.v. 'to nourish'",pdf-text-headword-found,
ne,,adv.,not,425,IE,\*ne (IE),"Go. ni adv. 'id.', ON ne adv. 'id.', OE ne adv. 'id.', OFri. ne, ni, en adv. 'id.', MDu. ne, en adv. 'id.', OHG ne, ni adv. 'id.', MHG ne, en adv. 'id.'",pdf-text-headword-found,
nean-,,s.v.,to sew,425,EUR,\*nehre- (EUR),"MDu. naeyen w.v. 'id.', Du. naaien w.v. 'id.', OHG ncian, ncijan, nawan s.v. 'id.', G niihen w.v. 'id.'",pdf-text-headword-found,
nebula-,,m.,fog,426,e/o,\*dhnebh-(e/o)l-o- (IE),"OFri. nevi/, newil m. 'fog', OS nebal m. 'fog, darkness', Du. nevel c. 'mist', OHG nebul m. 'fog, darkness', G Nebel m. 'id.'",pdf-text-headword-found,
nedron-,,f.,viper,426,WEUR,\*neh₁tr-eh₂- (WEUR),"OE nci!dre, nceddre f. 'id.' (also Nrth. neder m. 'id.' < \*nedra-), E adder, WFri. njirre c. 'id.', EFri. needer f. 'id.', OS niidra, niidara f. 'id.', MDu. nadre, addre, adder f. 'id.', Du. adder c. 'id.', OHG nat(a)ra f. 'id.', G Natterf. 'id.'",pdf-text-headword-found,
nefan-,,m.,"nephew, cousin",426,IE,\*nep-ot- (IE),"ON nefi m. 'relative', OE nefa m. 'nephew, grandson, stepson', OFri. neva, newa, nia(u)wa, nowa m. 'nephew', MDu. neve m. 'relative, nephew, cousin', Du. nee/ c. 'nephew, cousin', OHG nefo, nevo m. 'grandson, descendant, cousin, nephew', G Neffe m. 'nephew'",pdf-text-headword-found,
nefti-,,f.,"niece, cousin",427,IE,\*nep-t-ih₂ (IE),"ON nift f. 'female relative, sister', OE nift f. 'niece; grand-daughter; step-daughter', OFri. nift(e), neft f. 'niece, cousin', MDu. nichte f. 'relative, niece, cousin', Du. nicht c. 'niece, cousin', OHG nift f. 'niece', G Nichte f. 'id.'",pdf-text-headword-found,
nehwa-,,adj.,near,427,DRV,,"Go. nelu adv. 'id.', ON nci- pref. 'id.', OE neah adv./prep. 'id.', E nigh, OFri. nei prep. 'to', OS niih adv. 'id.', Du. na adv. 'id.', OHG niih adj. 'id.', G nahe adv./prep. 'id.' (DRV). A lengthened-grade adjective derived from the PIE root \*h₂ne/(- 'to reach', for which see \*nugan- 'to suffice'.",pdf-text-headword-found,
neman-,,s.v.,to take,427,IE,\*kom-h₁em-e- (IE),"Go. niman s.v. 'id.', ON nema s.v. 'to take (possession of); to touch; to learn', Far. nema s.v. 'to touch; to learn', OE niman s.v. 'to take', OFri. niman s.v. 'id.', OS neman, niman s.v. 'id.', Du. nemen s.v. 'id.', OHG neman s.v. 'id.', G nehmen s.v. 'id.'",pdf-text-headword-found,
nemi-,,adj.,"takeable, acceptable",427,DRV,,"Go. anda-nems adj. 'pleasant', ON n<Emr adj. 'quick at learning; deprived of, Far. n<Emur adj. 'apt, quick', MDu. ge-name adj. 'pleasant', OHG niimi adj. 'acceptable', G ge-nehm adj. 'acceptable, convenient' (DRV). A V[ddhi-gerundive to \*neman- (q.v.).",pdf-text-headword-found,
nesan-,,s.v.,"to save, heal; to be saved",427,IE,\*nes-e- (IE),"Go. ga-nisan s.v. 'id.', OE nesan, ge-nesan s.v. 'to be saved, survive', OS gi-nesan s.v. 'to be saved', Du. ge-nezen s.v. 'to heal; to recuperate', OHG gi-nesan s.v. 'id.', G ge-nesen s.v. 'id.'",pdf-text-headword-found,
nesta-,,n.,food,428,DRY,\*nes-to- (DRY),"ON nest n. 'provisions', OE nest n. 'nourishment', OHG wega-nest n. 'traveling provisions'",pdf-text-headword-found,
nejJan-,,s.v.,to grant safety(?),428,IE,\*net-e- (IE),"Go. nipan s.v. 'to unite (in consanguinity), help'",pdf-text-headword-found,suspicious-headword-characters
nepja-,,m.,relative,428,IE,\*net-io- (IE),"Go. nipjis m. 'kinsman', ON nior m. 'son, kinsman, relative', OE nippas, nipas m.pl. 'men'",pdf-text-headword-found,
nejJ/6-,,f.,needle,428,DRY,\*nehi-tlo- (DRY),"Go. nepla f. 'id.', ON mil f. 'id.', Far. mil f. 'id.', Elfd. nql f. 'id.', OE nii!pl, nii!dl f. 'id.', E needle, OFri. nedle, nelde f. 'id.', OS nathla, nadla f. 'id.', MDu. nae/de f. 'id.', Du. naald c. 'id.', OHG nadala, nalda f. 'id.', G Nadel f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
nejJ6-,,f.,"mercy, safety",428,IE,\*net-eh₂- (IE),"ON ncio f. 'grace, mercy; rest, peace, quietness', OFri. nethe, nathe f. 'mercy, protection, peace, privilege', OS (ge-)natha f. 'id.', Du. ge-nade c. 'id.', OHG gi-nada f. 'id.', G Gnade f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
neuhsjan-,,w.v.,to search out,429,NEUR,\*neuks-ie- (NEUR),"Go. bi-niuhsjan w.v. 'to scout out, spy out', ON nysa w.v. 'id.', OE neosan w.v. 'to search out', OS niusian w.v. 'to try', OHG niusen w.v. 'id.'",pdf-text-headword-found,
neuja-,,adj.,new,429,IE,\*neu-io- (IE),"Go. niujis adj. 'id.', ON nyr adj. 'id.', Far. nyggjur adj. 'id.', Elfd. ny(r) adj. 'id.', OE niwe, neowe adj. 'id.', E new, OS niuwi adj. 'id.', Du. nieuw adj. 'id.', OHG niuwi adj. 'id.', G neu adj. 'id.'",pdf-text-headword-found,
neura/on-,,n./m.,kidney,429,IE,\*negwh_r-on- (IE),"ON nyra n. 'id.', Far. nyra n. 'id.', OSw. niura f. 'id.', Elfd. niqora n. 'id.', ME nere 'id.', MDu. niere f. 'id.', Du. nier c. 'id.', OHG nioro m. 'id.', G Niere f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
neutan-,,s.v.,"to make use of, enjoy",429,NEUR,\*neud-e- (NEUR),"Go. niutan s.v. 'to acquire use of, attain, enjoy', ON nj6ta s.v. 'to use; to enjoy', Far. nj6ta s.v. 'to enjoy; to keep, retain', Elfd. niqota s.v. 'to enjoy', OE neotan s.v. 'to enjoy; to make use of, OS niotan s.v. 'id.', Du. ge-nieten s.v. 'to enjoy', OHG niozan s.v. 'to use; to enjoy', G ge-nieflen s.v. 'to enjoy'",pdf-text-headword-found,
newun-,,num.,nine,429,IE,\*h₁neun (IE),"Go. niun num. 'id.', ON nfu num. 'id.', Far. nfggju num. 'id.', Elfd. niu num. 'id.', OE nigon num. 'id.', E nine, OFri. niugun, niugen, niogen, nigun num. 'id.', OS nigun num. 'id.', Du. negen num. 'id.', OHG niun num. 'id.', G neun num. 'id.'",pdf-text-headword-found,
newun/J/dan-,,num.,ninth,430,1E,\*h₁neun-tH6- (1E),"Go. niunda num. 'id.', ON nfundi num. 'id.', Far. nfggjundi num. 'id.', Elfd. niund num. 'id.', OE nigoaa num. 'id.', OFri. niugunda, niugende, niogenda num. 'id.', OS nigundo, nigutho num. 'id.', Du. negende num. 'id.', OHG niunto num. 'id.', G neunte num. 'id.'",pdf-text-headword-found,suspicious-headword-characters
nidwo-,,f.,downfall(?),430,DRV,\*ni-tueh₂- (DRV),"Go. nidwa f. 'corrosion, decay', ON nia f.pl. 'new moon; darkness', Far. niaa f. 'id.'",pdf-text-headword-found,
