headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
ahtudan-,,num.,eighth,45,IE,\*h₂eKt-h₃u-tHo- (IE),"Go. ahtuda num. 'id.', ON atti, attandi, attundi num. 'id.', Far. attandi num. 'id.', Elfd. dttund num. 'id.', OE eahtooa num. 'id.', E eighth, OFri. achtenda, achtunda, achtanda num. 'id.', OS ahtodo num. 'id.', Du. achtste num. 'id.', OHG ahtodo num. 'id.', G achte num. 'id.'",pdf-text-headword-found,
ahurna-,,m.,maple,45,NIE,\*ak[-no- (NIE),"OHG ahorn, ahurn, acharn m. 'id.', G Ahorn m. 'id.'",pdf-text-headword-found,
ahwo-,,f.,river,45,EUR,\*h₂ekw-eh₂- (EUR),"Go. afva f. 'body of water, river', ON a f. 'river', Far. a f. 'river; stream, brook', Elfd. d f. 'id.', OE ea f. 'stream', OS aha f. 'water, river', OHG aha f. 'river', MHG ahe f. 'id.'",pdf-text-headword-found,
aibra-,,adj.,harsh,45,GM,,"OE iifor adj. 'vehement, dire, hateful', OHG eipar, eiber, eiver adj. 'harsh, rough' (GM).",pdf-text-headword-found,
aida-,,m.,pyre,46,IE,\*h₂eidh-o- (IE),"OE ad m. 'pyre, fire', OFri. a.de OHG eit m. 'fireplace, pyre', MHG eit m. 'fire, oven'",pdf-text-headword-found,
aidja-,,n.,isthmus,46,ORV,\*h₁oi-tio- (ORV),"ON eio, eioi n. 'id.', Far. eioi n. 'id.', Nw. eid(e) n. 'isthmus; passable valley'",pdf-text-headword-found,
aigan-,,pret.-pres.,"to own, possess",46,h₂e-,\*(h₂e-)h₂6ik-(?) (IE),"Go. aigan, 3sg. aih, aig, 3pl. aigun, aihun pret.-pres. 'id.', ON eiga, 3sg. a, 3pl. eigu pret.-pres. 'to own, possess; to have', Far. eiga, 3sg. eigur, 3pl. eiga pret.-pres. 'id.', Elfd. iega w.v. 'to possess', OE iigan, 3sg. ah, 3pl. agon pret.-pres. 'id.', E to owe, OFri. aga, 3sg. ag, eg, 3pl. aga, ega pret.-pres. 'to be obliged, owe, possess', OS egan, 3pl. egun pret.-pres. 'to own, possess; to have', OHG eigan, heigan, 3pl. eigun pret.-pres. 'to have, own, keep, receive', MHG eigen, heigen pret.-pres. 'id.'",pdf-text-headword-found,
aigena-,,adj.,own,46,DRV,,"ON eiginn adj. 'id.', Far. egin adj. 'id.', Elfd. iegen adj. 'id.', OE agen adj. 'id.', E own, OFri. ain, Jin adj. 'id.', OS egan adj. 'id.', Du. eigen adj. 'id.', OHG eigan adj. 'id.', G eigen adj. 'id.' (DRV). An adjective derived from \*aigan- (q.v.), whence Go. ga-aiginon, eigenen w.v. 'to make one's own, to appropriate' < \*aigeniijan-. Also cf. Go. aigin, ON eigin, OE iigen, OFri. ain, ein, OS egan, OHG eigan n. 'property'.",pdf-text-headword-found,
aiginp-,,n.,"shoot, barb",47,IE,\*h₂eik-ent-(?) (IE),"ON ei9in n. 'new sprout of corn', Far. e9i n. 'corn, straw; sprout, shoot; barleyfield', Nw. eiend(e) f./n. 'grain germ, barb', Sw. dial. ii.jen(ne) n. 'grain, insignificant thing'",pdf-text-headword-found,
aigla-,,m.,shoot,47,EUR,\*h₂eiK-(t)lo- (EUR),"Sw. dial. e9e/, ii.jel m. 'seed sprout'",pdf-text-headword-found,
aihti-,,f.,"property, belongings; family",47,DRY,,"Go. aihts f. 'property', ON rett f. 'family', Far. rett f. 'lineage, descent, family', OE reht f. 'possessions, property, lands', OHG eht f. 'possession, goods, wealth' (DRY). A ti-stem created to the root of \*ai9an- (q.v.). Note that the sometimes connected Ir. icht m. 'progeny, tribe' (quasi < \*h₂il<-ti-) is more likely to have been derived from root \*iek- 'to speak' (see \*jehan-) in view of the related MW ieith f. 'language, nation, race' < \*iek-ti-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
alhtrojan-,,w.v.,to beg,47,GM,,Go. aihtron wv. 'id.' (GM). Etymology uncertain: perhaps somehow derived from \*aikan- 'to appropriate' (q.v.). Unrelated to Gr. oiJCTp6׵ adj. 'miserable'.,pdf-text-headword-found,
aik-,,f.,oak,47,EUR,\*aig- (EUR),"ON eik f. 'id.', Far. eik f. 'id.', Elfd. iek f. 'id.', OE iic, pl. rec f. 'id.', E oak, OS ek f. 'id.', Du. eik c. 'id.', OHG eih f. 'id.', G Eiche f. 'id.'",pdf-text-headword-found,
