entry_headword_and_label	entry_text
*xurninzaz ~ *xurnunzaz sb.m.	ON hornungr ‘bastard’, OE hornunz-sunu id., OFris horning id., MLG horninc id., OHG hornung ‘February’. Derived from *xurnan (Uhlenbeck KZ XL 555). Zupitza Gutt. 207 (to Gk κύρνος ‘bastard’, secondarily associated with *xurnan); Holthausen AEEW 170; Vries ANEW 249.
*xurnjanan wk.vb.	Goth haurnjan ‘to blow a horn’, OHG hurnen ‘to equip with horns’. Derived from *xurnjan. Feist 251; Lehmann GED 180.
*xurnjōn sb.f.	ON hyrna ‘one of the horns of an axe-head’, OE hyrne ‘angle’, OFris herne id. Derived from *xurnan. For the semantic development cf. Slav *rogъ ‘horn, corner’. Torp-Falk 76; Holthausen AEEW 184; Vries ANEW 275.
*xurska-līkaz adj.	ON horsk-ligr ‘brave, wise, noble’, OHG adv. horsc-līhho ‘lively, resolutely, quickly’. Derived from *xurskaz. Heidermanns 313.
*xurskaz adj.	ON horskr ‘wise’, OE horsc ‘quick, ready, active’, OS horsk ‘rapid, eager’, OHG horsc ‘swift, fast, lively’. Of unknown origin. Froehde BB XIV 105 (to Lat currō ‘to run’); Karsten NB II 294–295; Zupitza Gutt. 125 (to Lat scrūtāri ‘to investigate’); Torp-Falk 79; Schwentner PBB XLVIII 80–81; Feist 49; Holthausen AEEW 170; Pokorny I 579 (to Gk κέρδος ‘gain, advantage’, W cerdd ‘art’); Jóhannesson Suff. 29 (from *xurþ-skaz); Vries ANEW 249–250; Lehmann GED 37; Heidermanns 313.
*xurstiz sb.m.	Norw dial. rust ‘grove, wood’, OE hyrst ‘copse, wood’, MLG horst, hurst ‘bush’, OHG hurst id. Related to W prys ‘grove’ < *k ⁄ṛsto-, Slav *xvorstъ ‘bush, oak, firewood’ (with an unclear *x-). Torp-Falk 78; Pokorny I 633.
*xusōn sb.f.	ON hosa ‘hose, gaiter’, OE hose id., OS hosa ‘trousers’, OHG hosa ‘hose, gaiter’. Of unknown origin. Zupitza Gutt. 128; Torp-Falk 96; Holthausen AEEW 171; Pokorny I 953 (to Gk κύστις ‘bladder’); Vries ANEW 250 (to Skt κóἑα- ‘cupboard’); Zalizniak II 177; Onions 448; Kluge-Seebold 385.
*xuzđan sb.n.	Goth huzd ‘treasure’, ON fem. hodd id., OE hord id., OS hord, horth id., OHG hort id. Of uncertain origin. Brugmann IF VI 103–104 (together with Gk κύσθος ‘female genitals’, from *kudh-to-); Johansson IF XIX 129–130; Schmidt KZ XXV 166–167; Zupitza Gutt. 96, 128; Torp-Falk 96; Debrunner IF LII 228; Holthausen AEEW 170; Feist 278–279; Pokorny I 953 (to *xūđjanan); Vries ANEW 246; Zalizniak II 174; Onions 443; Lehmann GED 196; Kluge-Seebold 384 (to Gk κεῦθος ‘depth, inside’).
*xuzđjanan ~ *xuzđōjanan wk.vb.	Goth huzdjan ‘to treasure up, to store up, to gather’, OE hordian ‘to hoard, to store’, MHG gi-hurten id. Derived from *xuzđan. Feist 278; Lehmann GED 196.
*xūbōn sb.f.	ON húfa ‘cap, hood’, OE húfe ‘covering for the head’, OFris hūve, houwe ‘cap, hood’, OS hūva id., OHG hūba id. Related to Skt kakúbh- ‘peak, summit’, Gk k:υφός ‘bent, crooked’, Slav *kubъ ‘vessel, pot’ or to Skt kūpa- ‘hole, cave, well’, Gk κύπη: τρώγλη (Hes.), Lat cūpa ‘barrel’. Zupitza Gutt. 104, 128; Torp-Falk 94; Holthausen AEEW 177, 183; Walde- Hofmann I 310–311; Mayrhofer I 135, 253; Pokorny I 590–591; Vries ANEW 264–265; Onions 442; Frisk II 52–53; Zalizniak II 180; Trubachev ESSJa XIII 77–78; Kluge-Seebold 360.
*xūđiz sb.f.	ON húä ‘hide, skin’, OE hÿd id., OFris hēde, hud id., OS hūd id., OHG hūt id. Related to Gk κύτος ‘cover, hide’, Lat cutis ‘hide’, W cwd ‘bag, testicle’, Lith κυτίσ ‘bag’ (Siebs KZ XXXVII 282). Cf. also WGmc *xuþan ‘testicle’: OFris hotha, MDu hode, OHG hodo. Torp-Falk 92; Holthausen AEEW 183; Walde- Hofmann I 320; Pokorny I 952; Fraenkel 323; Vries ANEW 264; Frisk II 57; Zalizniak I 151; Onions 440; Lehmann GED 196; Kluge-Seebold 361; Dybo VSJa 12, BSA 35–36 (with shortening in the oxytonic stem).
*xūđjanan wk.vb.	OE hÿdan ‘to hide’, OFris hēda id., MLG hūden id. Related to Gk κεύθω ‘to cover, to hide’, κεκύθω ‘to conceal’ (Nowicki KZ XCII 187). Torp-Falk 92; Holthausen AEEW 183; Pokorny I 952; Frisk I 834; Onions 440; Lehmann GED 310.
*xūkēnan wk.vb.	ON húka ‘to sit on one’s hams’ (but part. hokinn indicates a str.vb.), MLG hūken id., MHG hūchen id. Probably based on *xawwanan. Torp-Falk 91; Kluge-Seebold 378; Adams TB 180 (to Toch B kuk- ‘to bow down’).
*xūnaz sb.m.	ON pl. Húnar, Hÿnir ‘Huns’, OE pl. Húnas id., OHG pl. Hūni id. Attested in Lat Hunnī, Chunnī, Gk Ο[unclear]ννοι. Adaptation of Chinese Hiung-nu. Much Wu S I 45 (secondarily influenced by *xūnaz ~ *xūnō); Schrader-Nehring I 517; Vries ANEW 266.
*xūnaz ~ *xūnō sb.m.	ON húnn ‘knob, bear-cub’, MDu hune ‘crow’s nest’. Identical with Lith kūnas ‘body, meat’, Latv kūnis ‘body, chrysalis’. Zupitza Gutt. 208; Torp-Falk 92–93 (to Skt ≤ūná- ‘swollen’); Pokorny I 592; Fraenkel 310; Vries ANEW 267.
*xūsa-laukaz sb.m.	Icel hús-laukr ‘houseleek’, late ME house-leek id., MLG hūs-lōk id., OHG hūs-louh id. Compound of *xūsan and *laukaz. Carr Nom. comp. 74 (Icel < OHG).
*xūsa-lausaz adj.	ON hús-lauss ‘without a house’, OFris hūs-lās id., MHG hūs-lōs id. Compound of *xūsan and *lausaz. Carr Nom. comp. 89 (parallel formations).
*xūsan sb.n.	Goth gud-hus ‘temple’, Crim. Goth hus ‘house’, ON hús id., OE hús id., OFris hūs id., OS hūs id., OHG hūs id. Borrowed from a phonetically advanced East Iranian *xuz ~ *xud < Iran *kata-, cf. Av kata- ‘room, cellar’ (also borrowed to ESlav *xata ‘house’, probably via OHung). Note a similarity of *xūsan and Yns *xús ‘tent of skin and bark’, probably explained by the Iranian origin of the latter. Iran *kata- may be also in some obscure relation with Gmc *xēþjōn > Goth heþjo ‘chamber’ (Bartholomae Zd Wf VI 355). Grimm DM I 922 (from *kūdh-s-o, cf. Gk κεῦθος ‘hiding-place’); Schmidt KZ XXV 166 (same as Grimm); Bezzenberger BB XXVGII 146 (to Lith kūtīs ‘stable’); Patrubány IF XIII 163; Zupitza Gutt. 128; Grienberger Got. 112 (reconstructs Goth heþjo < *heiþjo); Bartholomae 432; Torp-Falk 92 (to *xūđjanan); Holthausen AEEW 178 (to Skt kóßa- ‘cupboard’); Feist 223–224 (to Hitt kuttaš ‘wall’), 254–255 (Goth heþjo to OFris hōde ‘supervision, protection’, MLG hōde id., OHG huot id.); Pokorny I 586–587, 953 (related to *xusōn); Vries ANEW 268; Zalizniak I 141; Onions 450; Lehmann GED 161 (to *ke⁄H- ‘to cover, to surround’), 182; Starostin KS 155; Trubachev ESSJa VIII 21–22; Kluge-Seebold 360; Adams TB 234 (to Toch B kwaßo ‘village’).
*xūsjanan wk.vb.	ON hÿsa ‘to house, to harbor’, OFris hūsia id., MLG husen id. Derived from *xūsan. Vries ANEW 276.
*xūsōjanan wk.vb.	ON húsa ‘to build houses’, OE húsian ‘to house’, MDu husen, huysen id., MHG hūsen ‘to build a house’. Derived from *xūsan. Vries ANEW 268.
*xwađrēt adv.	Goth ƕadre ‘whereto, whither’, OE hwæder ‘whither’. Derived from the pronominal stem *xwa- (see *xwat). Holthausen AEEW 179; Feist 279; Lehmann GED 197.
*xwainō sb.f.	Swed dial. hven ‘low and swampy field’. Close to Lat caenum, coenum ‘dirt’ < *k ⁄oino- (Zupitza Gutt. 53). Torp-Falk 118; Walde-Hofmann I 131– 132; Pokorny I 628; Chemodanov SSGJa I 55; Vries ANEW 270.
*xwaitja-kurnan sb.n.	ON hveiti-korn ‘grain of wheat’, OE hwæte-corn id. Compound of *xwaitjaz and *kurnan. Carr Nom. comp. 74 (parallel formations).
*xwaitja-melwan sb.n.	ON hveiti-mjǫl ‘flour’, OE hwæte-melu id. Compound of *xwaitjaz and *melwan. Carr Nom. comp. 74 (parallel formations).
*xwaitjaz sb.m.	Goth ƕaiteis ‘wheat’, ON neut. hveiti id., OE hwæte id., OFris hwēte id., OS hwēti id., OHG (h)weizi id. Connected with *xwītaz, cf. Bret gwiniz ‘wheat’ ~ gwenn ‘white’ (Hoops Waldbäume 356). Wiedemann BB XXVII 213 (to Slav *cvьtǫ ‘to blossom’); Meyer Alb. St. III 51 (to Gk σῖτος ‘grain’ borrowed from a sat 6 m-language); Zupitza Gutt. 54; Torp-Falk 118; Holthausen AEEW 179; Feist 280–281; Pokorny I 629; Vries ANEW 270; Zalizniak II 168; Onions 1001; Lehmann GED 197; Ramat Gedenkschr. Güntert 71; Bammesberger Nom. 67; Kluge-Seebold 884.
*xwajan sb.n.	OE hwæz ‘whey’, WFris waei id., MDu wey id. Identical with Skt káya- ‘body’ further connected with cinóti ‘to put in layers, to thread, to string’, Gk ποίεω ‘to make, to produce’. Holthausen AEEW 179 (to Arm ši‘uk id.); Pokorny I 637–638; Onions 1002.
*xwala-fiskaz sb.m.	ON hval-fiskr ‘whale’, MLG wal-visch id., OHG wal-fisc id. Compound of *xwalaz and *fiskaz. Carr Nom. comp. 84 (parallel formations).
*xwalaz sb.m.	ON hvalr ‘whale’ (partly *xwaliz), OE hwæl id., OS hwal id., OHG hwal, wal id. Of unknown origin. Lidén Festschr. Bugge 91 (to Lat squalus ‘big sea fish’), GHÅ XXVI/2 91 (to OPrus kalis ‘sheat-fish’); Petersson SVSL I 80 (from *˚⁄ob-lo-); Zupitza Gutt. 55; Torp-Falk 117; Holthausen AEEW 179; Pokorny I 958; Vries ANEW 268–269; Zalizniak II 187; Onions 1000–1001 (to OPrus kalis); Stang LS 26; Sevilla Rodriguez JIES XVII 177–180 (to Av kara-, Gk ἄσπαλος); Kluge-Seebold 872.
*xwalban ~ *xwalbōn sb.n./m.	ON hválf ‘concavity’, OE fem. hwealf ‘arched covering’, OS hwolvo ‘hollow brick’, OHG walbo id. Related to Gk κόλπος ‘bosom, hollow’. Derived from *xwelbanan, *xwalbaz. Zupitza Gutt. 54; Torp-Falk 117; Holthausen AEEW 180; Pokorny I 630; Vries ANEW 268; Frisk I 904–905; Onions 1001; Seebold 281; Lehmann GED 200; Kluge-Seebold 873.
*xwalbaz adj.	Icel í-hvolfr ‘something vaulted’, OE hwealf ‘arched, vaulted’. Derived from *xwelbanan. Karsten NB I 41–42; Wissmann NP 25; Holthausen AEEW 180; Heidermanns 314.
*xwalbjanan wk.vb.	ON hvelfa ‘to arch, to vault’ (strong part. holfinn), OE be-hwylfan ‘to cover’, OS bi-hwelbian ‘to hide’, OHG bi-welben ‘to surround, to enclose’. Derived from *xwelbanan. Torp-Falk 117; Holthausen AEEW 182; Vries ANEW 271; Onions 1001; Seebold 281; Lehmann GED 200; Kluge-Seebold 896.
*xwalbōjanan wk.vb.	ON hválfa ‘to turn upside down’, OHG zisamane-gi-walbōn ‘to come together, to gather’. Derived from *xwelbanan, *xwalbaz. Seebold 281.
*xwan(n)ai adv.	Goth ƕan ‘when’, OE hwænne, hwanne id., OFris hwenne id., OS hwan id., OHG hwanne, wanne, wenne id. Derived from *xwa- (see *xwat). Cf. OIr can, W pan id. and probably OPrus kan ‘when’. Schmidt KZ XXXII 402 (instr. in *-n- ~ Av -nā); Paul PBB IV 385–388 (to Av k 6 m ‘how’, OLat quom ‘when’); Dal Pr. 39–40 (WGmc loc. in *-n-); Torp- Falk 114; Holthausen AEEW 180; Feist 281; Pokorny I 644–645; Onions 1001; Lehmann GED 198; Kluge-Seebold 874.
*xwapan sb.n.	ON hvap ‘dropsical flesh’. Originally, *‘steam, vapor’. Despite the irregular dvelopment of *-p-, related to Gk κάπος: ψυχή, πνεῦμα (Hes.), Lith κωάπασ ‘breath’ further connected with IE *k⁄ep- ‘to breathe’. Curtius Gr. Et. 142 (to Lat uappa ‘flat wine’); Feist 7; Pokorny I 596; Fraenkel 325–326; Frisk I 781–782; Lehmann GED 5.
*xwapjanan wk.vb.	Goth af-ƕapjan ‘to choke, to extinguish’, MHG ver-wepfen ‘to become fusty (of wine)’. Derived from *xwapan. Torp-Falk 115; Feist 7; Lehmann GED 5.
*xwar ~ *xwēr adv.	Goth ƕar ‘where’, ON hvar id., OE hwær id., OFris hwēr id., OS hwār id., OHG hwar, wār id. Derived from the pronominal stem *xwa- (see *xwat). The suffix *-r- appears in Arm ur ‘where’, Lat cūr, OLat quōr ‘why’, Lith kuı ‘where’, Alb kur ‘when’. Goth ƕarjis ‘which’, ON hverr ‘who’ continue *xwar jaz with the second component from *jaz < *ƒos ‘who, which’: Skt yáъ, Av yō, Gk ὅς (Schmidt KZ XXXII 401, Plur. 43). A similar structure is reconstructed for Alb kush ‘who’ < *k ⁄u-so- (Meillet Idg. Jb. I 13; Orel LB XXX/1 57–58). Bartholomae 1199–1227; Torp-Falk 114; Holthausen AEEW 179; Walde- Hofmann I 313; Feist 281–282; Mayrhofer III 14; Pokorny I 644–645; Fraenkel 314; Vries ANEW 269, 272; Onions 1002; Lehmann GED 198; Kluge-Seebold 895; Orel AED 206– 207.
*xwarban ~ *xwarbaz sb.n./m.	ON hvarf ‘disappearance, circle’, OE hwearf ‘turn, space, change, corwd’, OFris hwarf ‘time’, OS hwarf ‘crowd’, OHG fem. warba ‘turn’. Derived from *xwerbanan. Torp-Falk 116; Holthausen AEEW 180; Pokorny I 631; Vries ANEW 269; Zalizniak II 169.
*xwarbjanan wk.vb.	ON hverfa ‘to make to turn’, OE hwirfan ‘to turn, to revolve’, OS gi-hwervian id., OHG werben id. Derived from *xwerbanan. Torp-Falk 116; Holthausen AEEW 182; Vries ANEW 271; Seebold 283; Lehmann GED 197.
*xwarbōjanan wk.vb.	Goth ƕarbon ‘to walk about, to wander’, ON hvarfa ‘to turn round, to wander’, OE hwearfian ‘to turn, to change’, OS hwarbōn ‘to walk about’, OHG warbōn id. Derived from *xwarban ~ *xwarbaz. Torp-Falk 116; Holthausen AEEW 180; Feist 282; Vries ANEW 269; Seebold 283; Lehmann GED 197.
*xwassaz adj.	Goth adv. ƕassaba ‘sharply’, ON hvass ‘pointed, sharp’, OE hwæs ‘sharp, keen’, OHG hwas ‘sharp’. Derived from *xwataz, *xwētanan. Aufrecht KZ I 472–474 (to Lat catus ‘sharp’); Karsten NB II 344; Zupitza Gutt. 56; Torp-Falk 115; Feist 282; Holthausen AEEW 179; Pokorny I 636; Vries ANEW 269; Seebold 284; Bammesberger Nom. 251–252; Heidermanns 315–316; Kluge-Seebold 888.
*xwassīn sb.f.	Goth ƕassei ‘sharpness’, OS hwessi id., OHG wassī id. Derived from *xwassaz. Feist 282; Heidermanns 315.
*xwat pron.	Goth ƕa ‘what’ (loss of -t in an unaccented position?), ON hvat id., OE hwæt id., OFris hwet id., OS hwat id., OHG hwaz id. Identical with IE *k ⁄od id.: Skt kad, Lat quod. The loc. of the same stem (identical with Lith kaĩ ‘how’) appears in *xwai wē > Goth ƕaiwa ‘how’, OHG hwio id. where *wē goes back to IE *⁄ē ‘or’: Skt vā, Av vā, cf. also a variant with short *e in Gk ἠ-ϝέ, Lat -ue. Möller Idg. Anz. XXXIII 58 (derives Goth ƕa from *k ⁄om); 79; Schulze Lat. 5 (Goth ƕ-aiwa to Skt éva- ‘walk’); Torp- Falk 114; Bartholomae 1306–1310; Hujer IF XXIV 71 (*xwai wē < *k ⁄o-oi⁄os, to Gk ποῖος ‘of what kind’); Walde- Hofmann II 411, 740; Feist 279, 281; Mezger JEGP XLI 508–509 (reconstructs *xwīxwē); Mayrhofer I 192, III 180; Pokorny I 75, 644–646; Vries ANEW 269; Onions 1001; Hollifield Sprache XXV 55 (reconstructs *xwai wō); Lehmann GED 197–199; Kluge-Seebold 876, 885, 889.
*xwataz adj.	ON hvatr ‘bold, active, vigorous’, OE hwæt ‘quick, active, vigorous’, OS mēn-hwāt ‘nefarious’. Derived from *xwētanan. Karsten NB I 56; Jurmann KZ XI 399 (to Lat triquētrus ‘threecornered’); Zupitza Gutt. 56; Torp-Falk 115; Holthausen AEEW 179; Endzelin KZ LI 290 (to Latv skadrs ‘sharp’); Feist 184–185; Pokorny I 636; Vries ANEW 270; Onions 1002; Seebold 284; Lehmann GED 139; Heidermanns 316; Kluge- Seebold 887–888.
*xwatjanan wk.vb.	Goth ga-ƕotjan ‘to whet, to sharpen’ (leg. ga-ƕatjan), ON hvetja ‘to whet, to sharpen, to encourage’, OE hwettan id., MLG wetten ‘to sharpen’, OHG hwezzen, wezzen id. Derived from *xwataz. Torp-Falk 115; Feist 184; Vries ANEW 272; Onions 1002; Seebold 284; Lehmann GED 139; Heidermanns 316; Kluge-Seebold 887–888.
*xwaþaraz ~ *xweþaraz adj., pron.	Goth ƕaþar ‘which of two’, ON hvaäarr id., OE hwæäer, hweäer id., OFris hweder, hwedder id., OS hwethar id., OHG wedar id. Comparative in *-ter- based on *xwa- (see *xwat). Identical with Skt katará- id., Av katārō id., Gk πότερος id., Osc pútúrúspíd ‘utrique’, Lith katrās ‘which of two’, Slav *kotorъ ‘which’. Bartholomae 433– 434; Torp-Falk 114; Trautmann BSW 120–121; Holthausen AEEW 179–180; Feist 283; Mayrhofer I 148; Pokorny I 645–646; Fraenkel 229; Vries ANEW 268; Frisk II 586; Onions 1002; Lehmann GED 199; Kluge-Seebold 878.
*xwaþe adv.	Goth ƕaþ ‘where to, whither’. From IE *k ⁄o-te similar to Hitt kuwatta(n) ‘where’ and, probably, Gk πόσε ‘where to’ (Sturtevant AJPh L 364). See *xwat. Meillet MSL XIX 93 (on the suffix *-te); Feist 282–283; Chantraine 921–922; Tischler HEG 698–700; Lehmann GED 199.
*xwaþōn sb.f.	Goth ƕaþo ‘foam’, Swed dial. hwā id. Connected with Skt kváthati ‘to boil’. Zupitza Gutt. 56 (to Lat quatiō ‘to shake’); Feist 283; Mayrhofer I 283; Pokorny I 627–628; Lehmann GED 199.
*xwaz ~ *xwez pron.	Goth ƕas ‘who’, ON hverr id., OSwed hvā, hvār id., OE hwá id., OFris hwā id., OS hwē id., OHG hwer id. Continues IE *k ⁄os id.: Skt káъ, Av kō, Lith kās. See *xwat. Bartholomae 422–427; Torp-Falk 114; Holthausen AEEW 179; Feist 282; Porzig Gliederung 198; Mayrhofer I 192; Pokorny I 644– 645; Fraenkel 199; Vries ANEW 271; Onions 1004; Lehmann GED 198–199; Kluge-Seebold 885.
*xwezwlan ~ *xwexwlan sb.n.	ON hjól, hvel ‘wheel’, OE hweól, hweozul, hweowol id., OFris fial id., MLG wēl id. Continues IE *k ⁄ek ⁄lo- id.: Toch A kukäl, B kokale ‘cart, wagon’, Skt cakrá- ‘wheel’, Av ‘axrō id., Gk κύκλος ‘circle’ (Reichelt IF XL 58), Phryg κίκλην: τὴν ἄρκτον τό ἄστρον. Φρύγες, Hes. (Fick BB XXIX 239). Olson ANF XXXI 14; Zupitza Gutt. 65; Bartholomae 576; Torp-Falk 116–117; Holthausen AEEW 181; Mayrhofer I 366; Pokorny I 639–640; Vries ANEW 232, 270; Frisk II 44–45; Onions 1001; Adams TB 200; Burlak IFTJa 241–242.
*xwekōjanan wk.vb.	ON hvika ‘to quail, to shrink, to waver’, MDu wicken ‘to move back and forth’. Of descriptive origin. Hirt BB XXIV 253 (to Slav *‘eznǫti ‘to disappear’); Zupitza Gutt. 58 (to Lat conquinīscō ‘to bend, to squat’), 197; Torp-Falk 114–115; Vries ANEW 272.
*xwelbanan str.vb.	ON part. holfinn ‘to curve’, OFris bi-wolven ‘obrutus’ (hap. leg.), MHG pret. sg. walb ‘to expand’. See *xwalban ~ *xwalbōn. Torp-Falk 117; Jóhannesson IEW 263; Pokorny I 630; Vries ANEW 247; Seebold 281.
*xwellanan str.vb.	Icel hvella ‘to ring out’, OE hwelan ‘to roar, to bellow’. Probably related to Toch B kul ‘bell’ (Adams TB 185). Torp-Falk 116; Holthausen AEEW 180; Vries ANEW 271 (to *xwelpaz); Heidermanns 318.
*xwellaz adj.	ON hvellr ‘shrilling, thrilling’, OHG hwel ‘importunate’. Derived from *xwellanan. Karsten NB II 219; Zupitza Gutt. 49, 57; Torp-Falk 116; Heidermanns 318.
*xwelpaz sb.m.	ON hvelpr ‘whelp’, OE hwelp id., OS hwelp id., OHG neut. welf id. A phonetically irregular development of IE *g ⁄elbh-: Skt gárbha- ‘womb’, Av gar 6 va- id., Gk δελφύς id. The Germanic form appears to reflect a consonantally shifted *k ⁄elb-. Suolahti ANT 17–18; Zupitza Gutt. 57; Schröder Zd Ph XXXVII 393–394; Torp-Falk 117 (to Gk σκύλαξ ‘cub, puppy’); Schrader- Nehring II 336 (to Lat uolpēs ‘fox’ < *g ⁄olpi-); Holthausen AEEW 181; Mayrhofer I 329; Pokorny I 473; Vries ANEW 271 (to *xwellanan); Frisk I 363; Zalizniak I 133; Onions 1001; Kluge- Seebold 884.
*xweraz sb.m.	ON hverr ‘cauldron’, OE hwer ‘kettle, pot’, OHG hwer, wer ‘cauldron’. Related to Toch B kerū ‘drum’, Skt carú- ‘vessel, pot’, OIr coire ‘kettle’, W pair id., Corn pêr id. Zupitza Gutt. 57; Torp-Falk 116; Holthausen AEEW 181; Mayrhofer I 377; Pokorny I 642; Vries ANEW 272; Zalizniak I 133; Lehmann GED 197; Van Windekens I 216; Adams TB 195.
*xwerbalaz ~ *xwerbulaz adj.	ON hverfull ‘shifty, changeable’, OE hwurful ‘changeable, fickle’, OHG sina-werbal ‘rounded’. Derived from *xwerbanan. Karsten NB II 286; Holthausen AEEW 183; Bammesberger Festschr. Derolez 26– 29; Heidermanns 319–320.
*xwerbanan str.vb.	Goth ƕairban ‘to go around, to walk, to live, περιπατεῖν’, ON hverfa ‘to turn round’, OE hweorfan ‘to turn, to change’, OFris hwerva ‘to turn’, OS hwerban ‘to go back and forth’, OHG werban ‘to turn’. Related to Toch B kurp- ‘to be concerned with’ (Adams TB 184– 185). Kirchhoff KZ I 39; Schrader KZ X 473 (to Gk καρπός ‘wrist’); Zupitza Gutt. 57 (to Skt neut. ≤ūrpa- ‘winnowing basket’); Hirt BB XXIV 253 (to Slav *svьrdlo ‘drill’ < *svьrb-dlo); Fick BB XXIX 239 (to Phryg Κορύβαντες); Torp- Falk 116; Feist 279–280; Holthausen AEEW 181; Jóhannesson IEW 261–262; Pokorny I 631; Vries ANEW 271; Seebold 282–284; Lehmann GED 197; Kluge-Seebold 885.
*xwerbaz adj.	Goth ƕeila-ƕairbs ‘temporary, transient’, ON hverfr ‘shifty’, OE hweorf ‘turning about, shifting’, OHG sina-werf ‘smooth, polished’. Derived from *xwerbanan. Karsten NB I 24–25; Holthausen AEEW 181; Feist 284; Seebold 282; Bammesberger Nom. 241; Heidermanns 318–319.
*xwerbilaz sb.m.	ON hvirfill ‘circle, ring, crown of the head’, OHG wirbil ‘plectrum’. Derived from *xwerbanan. Torp- Falk 116; Vries ANEW 273; Onions 1003; Seebold 282; Lehmann GED 197; Kluge-Seebold 893.
*xwerbilōjanan wk.vb.	ON hvirfla ‘to whirl’, MDu wervelen, worvelen id. Derived from *xwerbilaz. Vries ANEW 273.
*xwernīn ~ xwernōn sb.f.	Goth ƕairnei ‘skull’, ON hverna ‘pan, basin’. Close to MIr cern ‘bowl’ < IE *k ⁄ernā and further connected with *xweraz. Hirt IF XVII 390 (to Gk κέρνος ‘bowl for offerings’); Zupitza Gutt. 58; Torp-Falk 116; Feist 280; Pokorny I 642; Chemodanov SGGJa I 98; Vries ANEW 271; Lehmann GED 197.
*xwē adv.	Goth ƕe ‘to whom, wherewith’, ON hvé ‘how’. Old instrumental *k ⁄ē, cf. Gk πήποκα ‘ever yet’ (Schmidt KZ XXVII 292, XXXII 403). Feist 284; Pipping GHÅ XI/3 33 (to *xwai wē, see *xwat); Lindquist Festschr. A. Kock 359– 367 (ON hvé < *xwena); Pokorny I 644– 645; Vries ANEW 270; Lehmann GED 199.
*xwēs(j)anan str.⁄wk.vb.	ON hvæsa ‘to hiss’ (wk.), OE hwésan ‘to wheeze’. Related to Skt ≤vásiti ‘to breathe’, Lat queror ‘to complain, to lament’. Torp-Falk 117; Walde-Hofmann II 403–404; Pokorny I 631.
*xwētanan str.vb.	ON hváta ‘to hasten’, OE pret. sg. á-hwét ‘to drive out’, OS pres. far-hwātan ‘to punch, to kick’, OHG wāzan ‘to drive away’. Related to Latv kûdît ‘to drive’, Slav *kydati ‘to throw’. Cf. *xwataz, *xwatjanan. Zupitza Gutt. 56; Feist 286; Holthausen AEEW 179; Jóhannesson IEW 281–282; Pokorny I 636; Vries ANEW 270; Seebold 284– 285.
*xwiđōn sb.f.	ON hviäa ‘fit’, OE hweoäu ‘air, breeze’. Close to Av šyāta- ‘glad, merry’, Lat quiēs ‘rest, lying still’. Bartholomae 1716; Torp-Falk 118; Holthausen AEEW 172; Walde-Hofmann II 406; Pokorny I 638; Vries ANEW 272 (to *xwataz).
*xwi-līkaz adj., pron.	Goth ƕi-leiks ‘what sort of, which’, ON hví-líkr id., OE hwelc, hwilc id., OFris hwe-lik, hwelk id., OS hwilīk id., OHG hwelīh id. Derived from
*xwi- < IE pron. *k ⁄i-	Gk τίς ‘who’, Lat quis id. Åkerlund Festschr. Kock 414–428 (original short vowel in ON); Torp-Falk 114; Holthausen AEEW 180–181; Walde-Hofmann II 410; Feist 285; Pokorny I 644–648; Vries ANEW 272 (secondary length in ON hví-); Onions 1002; Frisk II 903–904; Lehmann GED 200; Kluge-Seebold 884 (< *xwe-līkaz).
*xwistlōjanan wk.vb.	ON hvísla ‘to whisper’, OE hwistlian ‘to hiss, to whistle’. Of imitative nature. Holthausen AEEW 182; Onions 1004.
*xwī pron.	ON hví ‘why’, OE hwÿ id., OS hwī id. From *k ⁄ei, loc. of *k ⁄o-, see *xwat. Cf. Lat quī ‘who, which’, Slav *‘i ‘how, whether’. Holthausen AEEW 181; Walde-Hofmann II 405; Vries ANEW 272; Onions 1005.
*xwīlēnan wk.vb.	Goth ƕeilan ‘to pause, to cease’, ON hvíla ‘to rest’, OFris hwīla id., MLG wīlen ‘to stay’, OHG wīlēn ‘to remain in a place’. Derived from *xwīlō. Zupitza Gutt. 49; Torp-Falk 117; Feist 284; Vries ANEW 272; Lehmann GED 199; Kluge-Seebold 882.
*xwīlō sb.f.	Goth ƕeila ‘while, time, hour’, ON hvíla ‘bed’ (*xwilōn), OE hwíl ‘while, time’, OFris hwīle id., OS hwīla id., OHG hwīla, wīla id. Derivationally close to Slav *‘ilъ ‘lively, strong’. Further based on IE *k ⁄eƒH- ‘to rest, to be quiet’. Torp-Falk 117; Feist 284; Holthausen AEEW 182; Wissmann NP 72; Pokorny I 638; Vries ANEW 272; Zalizniak II 180; Onions 1002; Nyman IF LXXXIV 132–156; Trubachev ESSJa IV 112; Lehmann GED 199–200; Heidermanns 319; Kluge-Seebold 882.
*xwīnanan str.vb.	ON hvína ‘to whizz, to whistle’, OE pres. hwínan id. Further cf. *xwīōjan > ON hvía ‘to squeal’, *xwajōjan > OHG hweiōn id. Of imitative origin. Torp-Falk 118; Holthausen AEEW 182; Jóhannesson IEW 258–259; Pokorny I 628; Vries ANEW 273; Onions 1003; Seebold 280.
