entry_headword_and_label	entry_text
*azeþō sb.f.	OE ezeäe, ezäe ‘rake, harrow’, OFris eide id. OS egitha id., OHG egida id. Related to OW ocet id. < *okitā, OPrus aketes id., Lith akî‘ios, ekî‘ios id. Torp- Falk 8; Hirt IF XXXVII 230 (also to Lat occa ‘harrow’; Holthausen AEEW 88; Pokorny I 22; Chemodanov SGGJa I 62; Fraenkel 119; Kluge-Seebold 205.
*azez sb.n.	Goth agis ‘awe, fear’, OE masc. eze ‘fear, horror, dread’. An es-stem derivationally identical with Gk neut. ἄχος id. (Aufrecht KZ I 355). Further connected with *azanan. Already in Goth oblique cases are based on *azesan. Cf. masc. *azesōn id. > OE ezesa id., OS egisa id., OHG egiso id. Zupitza Gutt. 218; Torp-Falk 9; Holthausen AEEW 89; Feist 14; Pokorny I 7; Chemodanov SGGJa I 110; Frisk I 202–203; Zalizniak II 223; Seebold 362; Lehmann GED 10; Plassmann Karg-Gasterstädt Festschr. 93– 135 (to *azwi- ‘snake’ in *azwi-þaxsjōn); Bammesberger Nom. 211; Kluge-Seebold 902.
*azīn sb.f.	Goth un-agei ‘fearlessness’, OHG egī ‘fear’. Derived from *azanan. Feist 13; Pokorny I 7; Vries ANEW 3; Zalizniak II 223; Onions 65; Lehmann GED 10; Heidermanns 94.
*azja-stainaz sb.m.	ON egg-steinn ‘sharp stone’, MLG egge-stēn ‘corner-stone’, MHG ecke-stein id. Compound of *azjō and *stainaz. Carr Nom. comp. 83 (parallel formations).
*azjō sb.f.	Burg *agja ‘edge’, ON egg id., OE ecz ‘edge, angle, blade, sword’, OFris egg, ig ‘edge, sword’, OS eggia id., MHG ecke ‘sharp point, side’. Related to Gk ἀκίς ‘sharp point’, Lat aciēs ‘sharp edge’ and other continuants of IE *a˚- ‘sharp’. Torp-Falk 8; Holthausen AEEW 87; Walde-Hofmann I 8; Pokorny I 19; Vries ANEW 94; Zalizniak I 148; Frisk I 52; Onions 301; Bammesberger Nom. 113; Köbler 708; Kluge-Seebold 204; Boutkan OFED s.v.
*azjōjanan wk.vb.	ON eggja ‘to incite, to goad’, OE eczan ‘to sharpen’, OFris eggia ‘to drive, to fence’, MLG eggen ‘to sharpen’. Derived from *azjō. Holthausen AEEW 87; Vries ANEW 95.
*azljanan wk.vb.	Goth agljan ‘to harm’, OE ezlan ‘to trouble’, MLG egelen ‘to annoy’, OHG egilen ‘to torment’. Derived from *azluz. Holthausen AEEW 89; Feist 15; Pokorny I 8; Onions 21; Lehmann GED 10; Heidermanns 95.
*azluz adj.	Goth aglus ‘difficult, toilsome’, OE ezle ‘troublesome, hateful’. Connected with Skt aghá- ‘bad’, Av agō id. Schweizer KZ I 151; Wiedemann BB XXVIII 50 (to Gk ἀχλύς ‘fog’); Bartholomae 47–48; Torp-Falk 9 (to Gk ὄχλος ‘crowd, throng’); Feist 15; Holthausen AEEW 89; Mezger Word II 67; Mayrhofer I 19; Pokorny I 8; Lehmann GED 10; Bammesberger Nom. 249; Heidermanns 95.
*aznan sb.n.	ON agn ‘bait’. From *a˚nó-. Related to *axjanan. Structurally close to Skt neut. áśana- ‘meal’. Torp-Falk 8; Pokorny I 18; Chemodanov SGGJa I 106; Vries ANEW 3.
*azuraz sb.m.	ON ǫgr ‘kind of fish, carp’. Derivationally close to OIr aicher ‘sharp’, Lith ešer‹s, dial. ašer‹s ‘perch’, Latv asars, asaris id. (Möller KZ XXIV 466). Further related to IE *a˚- ‘sharp’. Torp- Falk 23; Trautmann BSW 14; Pokorny I 20; Fraenkel 125.
*azwi-þaxsjōn sb.f.	OE áäexe ‘lizard’, OS egithassa, ewithissa id., OHG egidehsa id. Compound consisting of *azwi- (from *og⁄hi-, cf. Skt áhi- ‘snake’, Gk ὄφις id., Kluge apud Zupitza Gutt. 99) and *þaxsjōn derived from *þexsanan. Torp- Falk 9; Holthausen AEEW 8; Mayrhofer I 68; Pokorny I 44; Frisk II 453.
*azwja-lanđan ~ *axwja-lanđan sb.n.	ON ey-land ‘island’, OE éz-land id., OFris a-lond id., MLG ei-lant, eyg-lant id. Compound of *azwjō ~ *axwjō and *lanđan. Onions 486–487; Kluge-Seebold 209; Boutkan OFED s.v.
