lookup_candidate_pass7	normalized_candidate_pass7	confidence_pass7	greek_nonlatin_class_pass7
*-vent-	*-vent-)	source-layer	
*-w-	*-w-	source-layer	
*-wahsti-	*-wahsti-	source-layer	
*-wardō-	*-wardō-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-win-	*-win-	source-layer	
*-witja-	*-witja-	source-layer	
*-ws-	*-ws-	source-layer	
*-yid-i-	?*-yid-i-	source-layer	
*-yōt-	*-yōt-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-z	*-z	source-layer	
*-z-	*-z-	source-layer	
*-zb-durch	*-zb-durch	source-layer	
*-{1	*-{1	low	
*-{e)rstatt	*-{e)rstatt	low	
*-ÖT-	*-ÖT-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*-ßnhro-	*-ßnhro-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*-ó-	*-ó-)	medium-repaired	
*-ó-	*-ó-	medium-repaired	
*-ös<	*-ös<	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*-ā	*-ā	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*-ā-	*-ā-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ā-n-in	*-ā-n-in	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-āja-	*-āja-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ām	*-ām	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-āno-	*-āno-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ār	*-ār	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*-ās	*-ās	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ās	*-ās)	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-āts	*-āts	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ō	*-ō	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ō(n	*-ō(n)	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ō-	*-ō-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōh	*-ōh	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōl!-	*-ōl!-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōlo-	(*-ōlo-)	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōm	*-ōm	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōn-	*-ōn-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōn-	*-ōn-)	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōrzu	*-ōrzu	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōt-s	*-ōt-s	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*-ōu	*-ōu	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*.-h/em-s-I	*.-h/em-s-I	source-layer	
*..0-	*..0-	source-layer	
*..et-o-	*..et-o-	source-layer	
*.C1lcuc	*.C1lcuc	source-layer	
*.Jeyg-men-	*.Jeyg-men-	source-layer	
*.fdep-es-os	*.fdep-es-os	source-layer	
*.fdopijos	*.fdopijos	source-layer	
*.fdu-t-s	*.fdu-t-s	source-layer	
*.fllon-Ip	*.fllon-Ip)	source-layer	
*.ft-	*.ft-	source-layer	
*.ijo-	*.ijo-	source-layer	
*.kred-d-vorausgesetzt	*.kred-d-vorausgesetzt	filtered-noise-fragment	
*.krephrs	*.krephrs	source-layer	
*.nekut-	*.nekut-	source-layer	
*.ry	*.ry	source-layer	
*.tha-	*.tha-	source-layer	
*.uiivorliegen	*.uiivorliegen	source-layer	
*.wey>	*.wey>	low	
*/Ia/	*/Ia/	medium-repaired	
*/S-	*/S-	low	
*/aephr	*/aephr	source-layer	
*/anga-teina-	*/anga-teina-	source-layer	
*/dells-	*/dells-	source-layer	
*/deu-mo-	*/deu-mo-	source-layer	
*/dev-	*/dev-	source-layer	
*/doV-ahr	*/doV-ahr	source-layer	
*/du-M-	*/du-M-	source-layer	
*/du-tahr	*/du-tahr	source-layer	
*/dup’e	*/dup’e	medium-repaired	
*/dup’ei̯ah	*/dup’ei̯ah	medium-repaired	
*/ei̯p-	*/ei̯p-	medium-repaired	
*/fbmQti	*/fbmQti	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*/gʰ..osti-	*/gʰ..osti-	medium-repaired	
*/iNC/	*/iNC/	low	
*/lAh[a]rtakah	*/lAh[a]rtakah	source-layer	
*/lCP-	*/lCP-	low	
*/lbs-	*/lbs-	source-layer	
*/lchrr-	*/lchrr-	source-layer	
*/lcjd-	*/lcjd-	source-layer	
*/lcjd-I-o-	*/lcjd-I-o-	source-layer	
*/lei̯d-6(n	*/lei̯d-6(n)	medium-repaired	
*/lel-	*/lel-	source-layer	
*/ler	*/ler)	medium-repaired	
*/ler-	*/ler-	source-layer	
*/lesT-	*/lesT-	source-layer	
*/leser-	*/leser-	source-layer	
*/loi̯d-molcn-	*/loi̯d-molcn-	medium-repaired	
*/lts-r-	*/lts-r-	medium-repaired	
*/lōsri-	*/lōsri-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*/pod-en/	*/pod-en/	source-layer	
*/q-mahr	*/q-mahr	source-layer	
*/qJOn-i-	*/qJOn-i-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*/qJp-tó-	*/qJp-tó-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*/ruH-s-	*/ruH-s-	source-layer	
*/{Ihrll-ror	*/{Ihrll-ror	low	
*0	*0	source-layer	
*00a	*00a	source-layer	
*0<	*0<	low	
*0>	(*0>	low	
*0Vl/OS	*0Vl/OS	low	
*1	*1	source-layer	
*1!fS-	*1!fS-	low	
"*1(""1ōr"	"*1(""1ōr"	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*11-	*11-	source-layer	
*110-	*110-	medium-repaired	
*1100-	*1100-	source-layer	
*11l{1Z-	*11l{1Z-	low	
*11l{1Z-dʰthr	*11l{1Z-dʰthr	low	
*1:0	*1:0	source-layer	
*1:It!’-n-	*1:It!’-n-	low	
*1A1	*1A1	source-layer	
*1C01pO-	*1C01pO-	source-layer	
*1COipa-	*1COipa-	low	
*1Ifs-en-	*1Ifs-en-	low	
*1It:S-[	*1It:S-[	low	
*1J	*1J	low	
*1J-mr-to-	*1J-mr-to-	low	
*1J1g-o-	?*1J1g-o-	low	
*1J1sd-(1)}0-	*1J1sd-(1)}0-	low	
*1Ji..H)-ro-pI-p-O-	*1Ji..H)-ro-pI-p-O-	low	
"*1T1{I(s)d""{c)h"	"*1T1{I(s)d""{c)h"	low	
"*1T1{I(s)d""{c)hr"	"*1T1{I(s)d""{c)hr"	low	
*1[1g-8.hrOnt-1[1	*1[1g-8.hrOnt-1[1	low	
*1[1g-I-IIO-	*1[1g-I-IIO-	low	
*1[1g-I-o-	*1[1g-I-o-	source-layer	
*1[1g-J-jo-	*1[1g-J-jo-	source-layer	
*1[Jd-	*1[Jd-	source-layer	
*1]1	*1]1	source-layer	
*1ellbʰ..	*1ellbʰ..	medium-repaired	
*1jIUVlI(-	*1jIUVlI(-	low	
*1l.1JlCCmv	*1l.1JlCCmv)	low	
*1lDdJl-in	*1lDdJl-in	source-layer	
*1pß-S1..J)jo-	*1pß-S1..J)jo-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*1qEam	*1qEam	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*1tO{JC1FFaCoJ	*1tO{JC1FFaCoJ	low	
*1tO{JC1FFd	*1tO{JC1FFd	low	
*1ttlp-	(*1ttlp-	source-layer	
*1un-	*1un-	source-layer	
*1un-V-	*1un-V-	source-layer	
*1}iHr6-	*1}iHr6-	low	
*41-	*41-	low	
*4Jbrall-	(*4Jbrall-)	low	
*4Jbri-	*4Jbri-	low	
*4Jbru-ko-	*4Jbru-ko-	low	
*561-Or	*561-Or	low	
*5Or-	*5Or-	low	
*5lO’tO-	*5lO’tO-	low	
*5tah₂-	*5tah₂-	low	
*6	*6	source-layer	
*6>	*6>	low	
*6E-6Il6l	*6E-6Il6l	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*6mhaAa	(*6mhaAa)	source-layer	
*8aipar-	*8aipar-	low	
*8h₂	(*8h₂	low	
*8jos-	*8jos-	low	
*8k§i-	*8k§i-	low	
*8qltm-	*8qltm-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*8qltmdv	*8qltmdv	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*8ql~	*8ql~	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*8~akrostatischenTyp	*8~akrostatischenTyp	low	
*9-	*9-	low	
*:.an-	*:.an-	source-layer	
*:JVs-nä	*:JVs-nä	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*<J’ltAoc	*<J’ltAoc	low	
*<TtW..(o)-	*<TtW..(o)-	low	
*<iIlPo\lfE~	*<iIlPo\lfE~	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*<ipyum6c	*<ipyum6c	low	
*<rllpa	*<rllpa	low	
*A	*A	source-layer	
*A1X	*A1X	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Abo/-1p	*Abo/-1p	source-layer	
*Abö~	*Abö~	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Ac)ik-ör	?*Ac)ik-ör	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*AjeErt:S	*AjeErt:S	low	
*Ateronus	*Ateronus	source-layer	
*Awtt-rltc	*Awtt-rltc	source-layer	
*Bio-	*Bio-	source-layer	
*Bllhos	*Bllhos	source-layer	
*CD	*CD	low	
*CJ.UlC	*CJ.UlC)	low	
*COC-f	*COC-f	low	
*Cer-	*Cer-	source-layer	
*CerH-mn-	*CerH-mn-	source-layer	
*C~hrC-woh₁	*C~hrC-woh₁	low	
*DCpöt-	*DCpöt-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*DJih-s-a-in	*DJih-s-a-in	low	
*Dai̯Jön-	*Dai̯Jön-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*DeblLes-	*DeblLes-	source-layer	
*Dur-	*Dur-	medium-repaired	
*DÖTa-	*DÖTa-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Dörö-	*Dörö-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*EFfP-	(*EFfP-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*EMl	*EMl	low	
*Elt[-ß&-d	*Elt[-ß&-d	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*E’Iip6Itu~a]	(*E’Iip6Itu~a]	low	
*Fiyk-ah:r	*Fiyk-ah:r	source-layer	
*Friyäspa-	*Friyäspa-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Gando-bera	*Gando-bera	source-layer	
*H	*H	source-layer	
*H	*H	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*H(e/o)m-ro	?*H(e/o)m-ro	medium-repaired	
*H-	*H-	source-layer	
*H6Hk-{J)jes-	*H6Hk-{J)jes-	low	
*H6Jc11ts-H	*H6Jc11ts-H	source-layer	
*HHk-	*HHk-	low	
*HHk-u	?*HHk-u	low	
*HII-	*HII-	low	
*HV-OS-	*HV-OS-	low	
*HVeriust	*HVeriust	low	
*Hakt-I	*Hakt-I	source-layer	
*Hall-S-	*Hall-S-	low	
*HeHI-	*HeHI-	low	
*HeHk-	*HeHk-	source-layer	
*HeHt-	*HeHt-	source-layer	
*HeHx-	*HeHx-	source-layer	
*Helf-	*Helf-	source-layer	
*Hell’-r-l-en-	*Hell’-r-l-en-	medium-repaired	
*Hem-	*Hem-	source-layer	
*Hem-	?*Hem-	source-layer	
*Hembʰ-	*Hembʰ-	medium-repaired	
*Hembʰ..	*Hembʰ..	medium-repaired	
*Hep-	*Hep-)	medium-repaired	
*Hhrem-	*Hhrem-	source-layer	
*Hi-	*Hi-	source-layer	
*Hin	*Hin	source-layer	
*HinBinnensilben	*HinBinnensilben	source-layer	
*Hinder	*Hinder	source-layer	
*Hist	*Hist	source-layer	
*Histbh	*Histbh	source-layer	
*Hj-	*Hj-)	source-layer	
*Hj6kʷ-n-DS	*Hj6kʷ-n-DS	low	
*Hjag-	*Hjag-	source-layer	
*HjeIlH-	*HjeIlH-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Hjekʷ-rln-	*Hjekʷ-rln-	medium-repaired	
*Hjenhftōr	*Hjenhftōr	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*Hjenhr	*Hjenhr	source-layer	
*Hjenh₂ter-	*Hjenh₂ter-	medium-repaired	
*Hjenh₂ter-jah:r	*Hjenh₂ter-jah:r	medium-repaired	
*Hjepdʰ..	*Hjepdʰ..	medium-repaired	
*Hjph₂ter-	*Hjph₂ter-	medium-repaired	
*Hkrtr-es	*Hkrtr-es	source-layer	
*Hnedʰ	*Hnedʰ	medium-repaired	
*Hnoh:rmen-	*Hnoh:rmen-	source-layer	
*HoH-mo-?	*HoH-mo-?)	source-layer	
*HoHk-	*HoHk-	source-layer	
*HoHk-iS1pl1JoI8h₂-	*HoHk-iS1pl1JoI8h₂-	low	
*HoHk-isth₂O-	*HoHk-isth₂O-	medium-repaired	
*HoHk-u	*HoHk-u	medium-repaired	
*HoHk-u-ko-	*HoHk-u-ko-	source-layer	
*HoHk-u-t8h₂t-	*HoHk-u-t8h₂t-	low	
*HoHm6-	*HoHm6-	source-layer	
*HoHmo-	*HoHmo-	source-layer	
*HoHmo..	*HoHmo..	source-layer	
*Hob-	*Hob-	source-layer	
*Hokʷts-H-Es	*Hokʷts-H-Es)	medium-repaired	
*Hollc-i-	*Hollc-i-	source-layer	
*Hom-o-	*Hom-o-	source-layer	
*HosgV-ah₂-lhßgl’-ahr	*HosgV-ah₂-lhßgl’-ahr	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*HosgV-i-	*HosgV-i-	source-layer	
*HosgV-o-	*HosgV-o-	source-layer	
*Hosgl’-o-	?*Hosgl’-o-	medium-repaired	
*HurHuf-	(*HurHuf-	source-layer	
*HurHui-	*HurHui-	source-layer	
*H~11J..-ijo-	*H~11J..-ijo-	low	
*Hōm-o	?*Hōm-o	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*Hōm6-	*Hōm6-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*I!cj-dʰhr	*I!cj-dʰhr)	low	
*I!cjd-	*I!cjd-	low	
*I!cjd-6l-	*I!cjd-6l-	low	
*I!cjdo-	*I!cjdo-	low	
*I!id-men-	*I!id-men-	low	
*I!ir-	*I!ir-	low	
*I!ohrrzuriickgehen	*I!ohrrzuriickgehen	low	
*I!t:gʰ..	*I!t:gʰ..	low	
*I1CJlS-	*I1CJlS-	filtered-noise-fragment	
"*IIAh[a]rt""in"	"*IIAh[a]rt""in"	low	
*IIOO-r-o-	*IIOO-r-o-	low	
*IIchr	*IIchr	low	
*IIdr-	*IIdr-	low	
*IIm-	*IIm-	low	
*II’ber-	*II’ber-	low	
*IPC-8.hr	*IPC-8.hr	low	
*IPC-8.hrOnt-s	*IPC-8.hrOnt-s	low	
*IR»Tbeeinf1ußt	*IR»Tbeeinf1ußt	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*IXe)h₂J!ör	*IXe)h₂J!ör	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*IXe)h₂Verln-	*IXe)h₂Verln-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*I[li·hrdli(h/)~(gr	*I[li·hrdli(h/)~(gr	low	
"*Iaih""’-na-n"	"*Iaih""’-na-n"	filtered-noise-fragment	
*Ias-o-ko-	*Ias-o-ko-	source-layer	
*Ias-ó-	*Ias-ó-	medium-repaired	
*Ic{ln-o-vermutet	*Ic{ln-o-vermutet	low	
*Idntu-	(*Idntu-)	source-layer	
*IehiJ)-	*IehiJ)-	source-layer	
*Iehrro-	*Iehrro-	source-layer	
*Ienhwt(a)-	*Ienhwt(a)-	source-layer	
*Ii-k/H-o	*Ii-k/H-o	medium-repaired	
*Ijchr	*Ijchr	source-layer	
*Ilohu-	*Ilohu-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Ilqtt	*Ilqtt	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Ilrik-sthr6-	*Ilrik-sthr6-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Il~h)-öh	*Il~h)-öh	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Ioi̯kʷ-no-n	*Ioi̯kʷ-no-n	medium-repaired	
*Ioi̯p-o-	*Ioi̯p-o-	medium-repaired	
*Ionka-	*Ionka-	source-layer	
*Ipg-hr	*Ipg-hr	source-layer	
*Ipg-hrOs	*Ipg-hrOs	source-layer	
*Ipg-is-Ipmolahr	*Ipg-is-Ipmolahr	source-layer	
*Ipg-is-tero-	*Ipg-is-tero-	source-layer	
*Ipg-s-	*Ipg-s-	source-layer	
*Iq	(*Iq	source-layer	
*Iq	*Iq	source-layer	
*Iqd-su	*Iqd-su	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*It’rd-	?*It’rd-	medium-repaired	
*It’rd-isth₂0-	*It’rd-isth₂0-	medium-repaired	
*IÖlun	*IÖlun	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
"*J!""ipu-"	"*J!""ipu-"	low	
*J!iH-rr5-	*J!iH-rr5-	low	
*J...e)/IHs-Anm.l	*J...e)/IHs-Anm.l	filtered-noise-fragment	
*J..e)uHs-	*J..e)uHs-	source-layer	
*J1.vor	*J1.vor	source-layer	
*J1g)ert-	*J1g)ert-	source-layer	
*J1l{1dʰ..ahr	?*J1l{1dʰ..ahr	low	
*J6jk!-no-ll	?*J6jk!-no-ll	low	
*J6jp-o-m	*J6jp-o-m	medium-repaired	
*JPi-brIlO-	(*JPi-brIlO-)	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*JPi-hras-vermutet	*JPi-hras-vermutet	low	
*Ja(e)p-hr	*Ja(e)p-hr	source-layer	
*Jaihw-na-	*Jaihw-na-	source-layer	
*Jailf-ä-	*Jailf-ä-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Jainpa-	*Jainpa-	source-layer	
*Japti-	*Japti-	source-layer	
*Jcl’rmi-h/d-o-	*Jcl’rmi-h/d-o-	medium-repaired	
*Jei̯k6-	*Jei̯k6-	medium-repaired	
*Jei̯k6-men-	*Jei̯k6-men-	medium-repaired	
*Jeloi̯kʷ-u-	?*Jeloi̯kʷ-u-	medium-repaired	
"*Je’""umi-"	"*Je’""umi-"	medium-repaired	
*Jf’en-	*Jf’en-	medium-repaired	
*Jgʰ..U	*Jgʰ..U	medium-repaired	
*Jgʰ..jS1p1IJo-	*Jgʰ..jS1p1IJo-	low	
*Jgʰ..pt-	*Jgʰ..pt-	medium-repaired	
*Jgʰ.otahr	*Jgʰ.otahr	medium-repaired	
*JiJasta-	*JiJasta-	source-layer	
*JiJcV-ti-	*JiJcV-ti-	source-layer	
*Jijp-es-	*Jijp-es-	source-layer	
*Jiniölas	*Jiniölas	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Jjso-	*Jjso-	source-layer	
*Jl1g-s-dahr	*Jl1g-s-dahr	source-layer	
*Jlld-s-	*Jlld-s-	source-layer	
"*Jlord""-os"	"*Jlord""-os"	source-layer	
*JmäMi-	*JmäMi-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Jmösla-	*Jmösla-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*Jogʰ..stahr	*Jogʰ..stahr	medium-repaired	
*Jogʰ..sthrahr	*Jogʰ..sthrahr	medium-repaired	
*Joi̯k!-Hh₂-	*Joi̯k!-Hh₂-	low	
*Jrus-	*Jrus-	source-layer	
"*Jt""idu-"	"*Jt""idu-"	source-layer	
"*Jt""ijJra-"	"*Jt""ijJra-"	source-layer	
"*Jt""iwa-"	"*Jt""iwa-"	source-layer	
*Ju6wa-	*Ju6wa-	source-layer	
*KUei̯t-ja-	*KUei̯t-ja-	low	
*KVeloi̯t-s..q8br	*KVeloi̯t-s..q8br	low	
*Kcnpa-	*Kcnpa-	source-layer	
*Kom-	*Kom-	medium-repaired	
*Kor-n-(i)jo-	*Kor-n-(i)jo-	source-layer	
*Kor-o-	*Kor-o-	source-layer	
*L	*L	source-layer	
*L-I	*L-I	medium-repaired	
"*M""P6o"	"*M""P6o"	source-layer	
*MT-	*MT-	low	
*Mhrtó-	*Mhrtó-	medium-repaired	
*Mjkʷ-es-	*Mjkʷ-es-	medium-repaired	
*MlJrm-(i)iah₂	*MlJrm-(i)iah₂	low	
*MlJrme!on-	?*MlJrme!on-	low	
*Mu-tra-	*Mu-tra-	source-layer	
*Nauat-tcAt[FllC	(*Nauat-tcAt[FllC	source-layer	
*NeW8-	*NeW8-	low	
*O:vO/o-	*O:vO/o-	source-layer	
*OOXF~	*OOXF~	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*OOowhocJ	*OOowhocJ	low	
*OOro>v	(*OOro>v	low	
*OUPS	*OUPS	low	
*PQ-tn-o-	*PQ-tn-o-	low	
*Pe5ÖT	*Pe5ÖT	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Pf-sth:r6	*Pf-sth:r6	medium-repaired	
*PfSll-	*PfSll-	low	
*Pistils-	*Pistils-	source-layer	
*Pllon-u	*Pllon-u	source-layer	
*PlthrBhr	*PlthrBhr	source-layer	
*Pub2T-wiederum	*Pub2T-wiederum	source-layer	
*Pubzl1-es	(*Pubzl1-es)	source-layer	
*Qlo-	*Qlo-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Qlu-	*Qlu-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*QtWÄ.wv	*QtWÄ.wv	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Qzh	*Qzh	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Q’c-Ablaut	*Q’c-Ablaut	medium-repaired	
*Rem-	*Rem-	source-layer	
*S!1CSOT-	*S!1CSOT-	low	
"*S!cür""-do-(?"	"*S!cür""-do-(?)"	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*S/I-	*S/I-	low	
*S111f-no-	?*S111f-no-	low	
"*S1j1-h₃c""-o-"	"*S1j1-h₃c""-o-"	low	
*S8pS-o-	*S8pS-o-	low	
*S9P	*S9P	low	
*S9yUs	*S9yUs	low	
*SI/4r:	*SI/4r:	low	
*SI/CP-	*SI/CP-	low	
*SI/OPf-	*SI/OPf-	low	
*SI/Op-:	*SI/Op-:	low	
*SI/ep-	*SI/ep-	low	
*SIIOsr	*SIIOsr	low	
*SIlC!q	*SIlC!q	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*SIlC-/*$C-vor	*SIlC-/*$C-vor	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*SIlC-kuHro-	*SIlC-kuHro-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*SIlfIba-	*SIlfIba-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*SIp-nept{J)p	*SIp-nept{J)p	low	
*SI}CP-	*SI}CP-	low	
*SOWJJ	*SOWJJ	low	
*SP6lahfl-un.	*SP6lahfl-un.)	filtered-noise-fragment	
*SPrell-	*SPrell-	low	
*STCP-	*STCP-	low	
*STJah$!-o-	*STJah$!-o-	low	
*STJah$!-t6l	*STJah$!-t6l	low	
*STOll-molabr	*STOll-molabr	low	
*STOy-no-	*STOy-no-	low	
*STam-pAka-	*STam-pAka-	low	
*STep-	*STep-	low	
*STeu̯-ti-	*STeu̯-ti-	low	
*STt:1I-mg	*STt:1I-mg	low	
*SU-jll-Os	*SU-jll-Os	low	
*SUDD-	*SUDD-	low	
*SUI1lJ-	*SUI1lJ-	low	
*SUp-TO-	*SUp-TO-	low	
*Sasa-	*Sasa-	low	
"*ScrV""<"	"*ScrV""<"	low	
*Scär-ije-	*Scär-ije-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*ScärY’:	*ScärY’:	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*SflOpo-	*SflOpo-	low	
*Sl/cp-aT	*Sl/cp-aT	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*SlIehftl-ik-iah₂	*SlIehftl-ik-iah₂	low	
*SlJep-no-l*SI/op-no-l*sup-no-	*SlJep-no-l*SI/op-no-l*sup-no-	low	
*SlJ’do-in	*SlJ’do-in	low	
*Slit:	*Slit:	low	
*Sllah₂9tiah₂	*Sllah₂9tiah₂	low	
*Sllo/eli-	*Sllo/eli-	low	
*Slp-stb#-agos	*Slp-stb#-agos	low	
*SpOp-r-	?*SpOp-r-	low	
*Sra~fa·	*Sra~fa·	low	
*St5d-os-	(*St5d-os-)	low	
*St:	*St:	low	
*Suvar-däta-	*Suvar-däta-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*Su̯esOnp	*Su̯esOnp	low	
*S{!esr-	*S{!esr-	low	
*SÜD-	*SÜD-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*T	*T	source-layer	
*TT	(*TT	low	
*TapjavB	*TapjavB	source-layer	
*TeJlS-	*TeJlS-	low	
*Tiljatis]	[*Tiljatis]	source-layer	
*Tlasa-	*Tlasa-	source-layer	
*TÖS-	*TÖS-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*U1ZlJIlD-	*U1ZlJIlD-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*UCrbʰ..ahT	*UCrbʰ..ahT	low	
*UOOpwhrx	*UOOpwhrx	low	
*USTa-	*USTa-	low	
*Uak-	*Uak-	source-layer	
*UchrT-o-	*UchrT-o-	source-layer	
*Ued6	*Ued6	source-layer	
*Ued6r	*Ued6r	source-layer	
*Uedo-	*Uedo-	source-layer	
*Uerla-	*Uerla-	source-layer	
*Ues-	*Ues-	source-layer	
*Ues-pues-n-	*Ues-pues-n-	source-layer	
*UfS-en-	*UfS-en-	low	
*Ul	*Ul)	source-layer	
*Upo-	(*Upo-)	medium-repaired	
*VElWtTp	*VElWtTp	low	
*VElt6tpal	*VElt6tpal	low	
*Vbpb	*Vbpb	source-layer	
*Vei̯d-Anm	*Vei̯d-Anm	medium-repaired	
*Vi-dʰhr	*Vi-dʰhr	medium-repaired	
*Vidʰu-	*Vidʰu-	medium-repaired	
*Vo-	*Vo-	medium-repaired	
*Vod-bD-b	*Vod-bD-b	source-layer	
*Voo-	*Voo-	source-layer	
"*WHu-bJc""-fb2"	"*WHu-bJc""-fb2"	low	
*WS-ahrmit	*WS-ahrmit	low	
*WS-ti-	*WS-ti-	low	
*Wax-	*Wax-	source-layer	
*XCJIl1-o-	*XCJIl1-o-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*XCv-	*XCv-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*XTUuis-	*XTUuis-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*XTsllii-	*XTsllii-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
