example_id,pdf_page,split_file,heading,text
4.19,369,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.19)          ‘hold your tongue’ (lit., ‘gather your tongue/mouth’)324\nAlb mbledh gojën (‘mouth’)"
4.20,369,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.20)          ‘run for your life!’ (lit., ‘flee that we flee!’)\nAlb ikëni të ikëmi"
4.21,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.21)      ‘once and for all’ (lit., ‘one and good’ (F))\nAlb    një edhe mirë"
4.22,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.22)      ‘a complete ass’ (lit., ‘a donkey and a half’)\nAlb    gomar e gjysmë"
4.23,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.23)      ‘we are very good friends; we’ve been through thick and thin together’ (lit., ‘we have\neaten bread and salt together’)325"
4.24,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.24)      ‘I prophesize’ (lit., ‘I throw at the stars’)\nAlb     e heth ndë ūj [sic]"
4.25,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.25)      ‘daily’ (lit., ‘day with [the] day’)\nAlb     ditë me ditë"
4.26,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.26)      ‘undoubtedly; pointlessly’ (lit., ‘without word”)\nAlb   pa fjalë"
4.27,370,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.27)      ‘without a doubt’ (lit., ‘without other’)326\nAlb    pa tjetër\nBSl    bez drugo"
4.28,371,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.28)       ‘shoot a rifle’ (lit., ‘throw a rifle’)\nAlb shtij dufeki"
4.29,371,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.1 Idiomatic Expressions,"(4.29):327\n(4.29)       a. Grk το ξέρω απ’ έξω ‘I know it by heart’ (lit., ‘it.n.acc.sg know.prs.1sg from\noutside’)"
4.30,375,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.1 Shared Expressions Rooted in Folk Culture,(4.30)          Alb      s’bëjnë mjaltë gjithë mizat (= ‘not make honey all flies.def’)\nAro      tute muştile nu fac n’are (= ‘all flies.def not make honey’)
4.31,376,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.1 Shared Expressions Rooted in Folk Culture,(4.31)          Alb      ruaj paran e bardhë për ditë të zezë (= ‘preserve money.def.acc white\nfor day.pl pc black.pl’)
4.32,376,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.1 Shared Expressions Rooted in Folk Culture,"(4.32)          Alb      pa mos qarë një fëmijë, nuk i ep e ëma gjijë\n(= ‘without not crying a child not to.it gives mother breast’)"
