level,heading,pdf_page,split_file
1,Chapter 7: Syntax,,08-chapter-7-syntax.md
1,7 Syntax,821,08-chapter-7-syntax.md
2,7.0 Introduction,821,08-chapter-7-syntax.md
2,7.1 The Enterprise of Balkan Comparative Syntax,822,08-chapter-7-syntax.md
2,7.2 Balkan Syntax from a Traditional Standpoint,824,08-chapter-7-syntax.md
2,"7.3 Syntax as Approached Here By way of defining terms and providing relevant historical preliminaries, we",824,08-chapter-7-syntax.md
3,7.3.1 Ordering,825,08-chapter-7-syntax.md
3,7.3.2 Complementation,825,08-chapter-7-syntax.md
3,7.3.3 Clitics,826,08-chapter-7-syntax.md
3,7.3.4 Diverse Sentence Types In our attempt to be as comprehensive as possible and to emphasize the most,827,08-chapter-7-syntax.md
3,7.3.5 On Parallels and Convergences as our Focus,827,08-chapter-7-syntax.md
2,7.4 Order,828,08-chapter-7-syntax.md
3,7.4.1 Constituent-Internal Ordering,828,08-chapter-7-syntax.md
4,"7.4.1.1 Noun Phrase In the sections on nominal morphosyntax (§6.1), we discuss the internal structure of the noun phrase and to some extent, therefore, the ordering of elements within",828,08-chapter-7-syntax.md
4,7.4.1.2 Verbal Complex,834,08-chapter-7-syntax.md
5,7.4.1.2.1 The Verbal Complex: Canonical Orders,835,08-chapter-7-syntax.md
5,7.4.1.2.2 Deviations from the Canonical Patterns,837,08-chapter-7-syntax.md
6,7.4.1.2.2.1 Content-based Deviations,837,08-chapter-7-syntax.md
6,7.4.1.2.2.2 Order-based Deviations,842,08-chapter-7-syntax.md
6,"7.4.1.2.2.2.1 Weak Object Pronoun Ordering First, with regard to the ordering of the weak object pronouns relative to one another and relative to other elements in the verbal complex, it must be noted that, just as modality mattered for the order of negative and dms in Greek and Macedonian (cf. §7.4.1.2.1), the other pan-Balkan",842,08-chapter-7-syntax.md
6,"7.4.1.2.2.2.2 Order of Other Elements     Verbal complex elements other than the weak object pronouns show ordering variations. In Albanian, for instance, a difference in order for the negator and the dms mood marker can be observed, with both të mos and mos të occurring; there seem, however, to be differences in nuance of directness or in illocutionary act, and this same type of distinction also",847,08-chapter-7-syntax.md
5,7.4.1.2.3 The Verbal Complex as a Balkanism,848,08-chapter-7-syntax.md
3,7.4.2 Word Order in Clauses,851,08-chapter-7-syntax.md
2,"7.5 The Syntax of Clitics, Historical and Otherwise",854,08-chapter-7-syntax.md
3,7.5.1 Object Reduplication53,857,08-chapter-7-syntax.md
4,7.5.1.1 Language-by-Language Outlines,858,08-chapter-7-syntax.md
5,7.5.1.1.1 Balkan Slavic,858,08-chapter-7-syntax.md
6,7.5.1.1.1.1 Macedonian,859,08-chapter-7-syntax.md
6,7.5.1.1.1.2 Bulgarian OR is prescriptively disallowed in Bulgarian except in the impersonal existential,859,08-chapter-7-syntax.md
6,"7.5.1.1.1.3 Varieties of Bosnian-Croatian-Montenegrin-Serbian In OR, as in many other crucial features, the dialects of Gora (southwesternmost",860,08-chapter-7-syntax.md
5,"7.5.1.1.2 Greek OR is generally optional in Greek, governed by pragmatic factors having to do with topic and focus (see §7.5.1.2.1). Holton et al. 1997: 432 characterize OR as “the device that removes the object from the comment (new part) of the sentence and renders it part of the background [known] information).” Thus, in (7.41), Μαρία is topical and would be an appropriate answer to a question",860,08-chapter-7-syntax.md
5,7.5.1.1.3 Albanian,861,08-chapter-7-syntax.md
5,7.5.1.1.4 Balkan Romance,862,08-chapter-7-syntax.md
6,7.5.1.1.4.1 Romanian OR is more limited in Romanian than in other languages (Graur et al. 1966: 144–,862,08-chapter-7-syntax.md
6,7.5.1.1.4.2 Aromanian and Meglenoromanian,862,08-chapter-7-syntax.md
5,7.5.1.1.5 Judezmo,863,08-chapter-7-syntax.md
5,7.5.1.1.6 West Rumelian Turkish,864,08-chapter-7-syntax.md
5,7.5.1.1.7 Romani,864,08-chapter-7-syntax.md
4,7.5.1.2 Pragmatic Conditions on Object Reduplication,865,08-chapter-7-syntax.md
5,7.5.1.2.1 Indefiniteness and Specificity,866,08-chapter-7-syntax.md
5,7.5.1.2.2 Object Reduplication and Definiteness and Aboutness in Bulgarian,867,08-chapter-7-syntax.md
4,7.5.1.3 A Further Function: Factivity,869,08-chapter-7-syntax.md
4,"7.5.1.4 Diachronic Development of Object Reduplication With regard to the history of OR in the Balkans, there may be hints of the construction in optional doubling for clarification in discourse-driven Left",871,08-chapter-7-syntax.md
4,7.5.1.5 Summary Observations About Object Reduplication OR in the Balkans reveals much about contact-induced change in general and about,872,08-chapter-7-syntax.md
4,7.5.1.6 Reflexive Doubling,873,08-chapter-7-syntax.md
4,"7.5.1.7 Object Reduplication and Language Ideology From the point of view of language ideology, there are a few aspects of object",875,08-chapter-7-syntax.md
4,7.5.1.8 Object Reduplication: Conclusion OR is thus a classically Balkan convergent phenomenon; Romani and Judezmo are,876,08-chapter-7-syntax.md
3,7.5.2 Weak Object Pronouns in Argument Roles,876,08-chapter-7-syntax.md
3,7.5.3 Other Weak Object Pronoun Phenomena,877,08-chapter-7-syntax.md
2,7.6 Negation69,881,08-chapter-7-syntax.md
3,7.6.1 Indicative Negation,881,08-chapter-7-syntax.md
3,7.6.2 Modal Negation and Prohibitions,883,08-chapter-7-syntax.md
3,7.6.3 Extensions of Modal Negation,887,08-chapter-7-syntax.md
4,7.6.3.1 Negation of Nonfinite Forms,887,08-chapter-7-syntax.md
4,7.6.3.2 Tentative Questions,889,08-chapter-7-syntax.md
4,7.6.3.3 Modal Negators in ‘Fear’ Clauses,890,08-chapter-7-syntax.md
3,7.6.4 Negative Fusion,892,08-chapter-7-syntax.md
2,7.7 Clause Combining,893,08-chapter-7-syntax.md
3,7.7.1 Coordination and Parataxis,893,08-chapter-7-syntax.md
4,7.7.1.1 Functionally Subordinative Parataxis92,894,08-chapter-7-syntax.md
4,7.7.1.2 Mitigating Parataxis,896,08-chapter-7-syntax.md
4,7.7.1.3 Juxtaposed Parataxis,897,08-chapter-7-syntax.md
4,7.7.1.4 Parataxis as a Balkanism,898,08-chapter-7-syntax.md
3,7.7.2 Subordination,900,08-chapter-7-syntax.md
4,7.7.2.1 Complementation,900,08-chapter-7-syntax.md
5,7.7.2.1.1 Nonfinite Complementation: Synchrony and Diachrony,901,08-chapter-7-syntax.md
6,"7.7.2.1.1.1 Synchrony of the Infinitive in the Balkans In a sense, discussing the synchrony of the infinitive per se is easy, since there are",902,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.1 Greek   In contemporary Greek, both in the standard language and in most of the regional dialects, there is but a single verbal form lacking person and number marking that is used in a complement-like grammatical function, and only",902,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.2 Balkan Slavic Considerations similar to Greek regarding the absence of an infinitive hold for Balkan Slavic, and for some of the languages to",904,08-chapter-7-syntax.md
6,7.7.2.1.1.1.2.1 Macedonian Macedonian in the contemporary standard language,904,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.2.2 Bulgarian As signaled in the previous section, infinitival usage in contemporary Bulgarian is greater than in Macedonian, though increasingly mar-",906,08-chapter-7-syntax.md
6,7.7.2.1.1.1.2.3 Torlak BCMS    An infinitive seems to be almost completely,909,08-chapter-7-syntax.md
6,7.7.2.1.1.1.3 Balkan Romance    The situation with the infinitive in Balkan,909,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.3.1 Aromanian Sandfeld 1930: 174, basing himself on materials from not later than the early twentieth century, reports that Capidan 1925a, 1928 “nie",909,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.3.2 Meglenoromanian In Meglenoromanian, unlike its South Danubian",911,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.3.3 Romanian Compared to the other Balkan Romance languages, the infinitive in Romanian is fully instantiated, with multiple forms and a wide range of uses (see Dragomirescu & Nicolae 2016 on more recent innovations). In most of these uses, however, finite forms marked with să can substitute, so that it is",912,08-chapter-7-syntax.md
6,7.7.2.1.1.1.4 Albanian     Taking a purely synchronic view of present-day Albanian,915,08-chapter-7-syntax.md
6,7.7.2.1.1.1.5 Romani     There is no native infinitive in any Romani dialect.,917,08-chapter-7-syntax.md
6,7.7.2.1.1.1.6 West Rumelian Turkish The synchronic situation with nonfinite,918,08-chapter-7-syntax.md
6,"7.7.2.1.1.1.7 Summary Regarding Synchrony To summarize, there are some",919,08-chapter-7-syntax.md
6,7.7.2.1.1.2 Diachrony of the Infinitive in the Balkans,919,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.1 Greek Ancient Greek had a robust verbal category of infinitive,",920,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.2 Balkan Slavic    Old Church Slavonic, taken here as representative of the ancestor to Balkan Slavic, had an infinitive much as Ancient Greek did, but with less",923,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.2.1 Macedonian Against the background of OCS usage given in §7.7.2.1.1.2.2, the eventual state of the infinitive in Macedonian reflects the demise of this category and the forms that filled it. The actual historical evidence on",925,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.2.2 Bulgarian By contrast with Macedonian, the historical record on",926,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.2.3 Torlak Bosnian-Croatian-Montenegrin-Serbian The situation with the infinitive historically in Torlak BCMS has to be viewed against the backdrop of the rest of the BCMS complex. Thus even though BCMS in general is outside the scope of this study, for reasons outlined in §1.1 and §1.2 and noted throughout, a brief sketch is in order, as the dialectology of the infinitive within BCMS is",928,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.3 Balkan Romance    The starting point for Balkan Romance, including",928,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.3.1 Aromanian As the discussion in §7.7.2.1.1.1.3.1 makes clear, the main candidate for infinitival status in Aromanian is the long form that corresponds to the Latin infinitives and the Romanian verbal nouns in -re; that is, with one quasi-",929,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.3.2 Meglenoromanian The robustness of the long-form infinitive in Meglenoromanian, as outlined in §7.7.2.1.1.1.3.2, would seem to leave little to say",930,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.3.3 Romanian In considering Romanian diachronically, there is more to go on than just the inferences that the Comparative Method allows for, as in the case of Aromanian or Meglenoromanian. That is, there is the direct evidence of sixteenth-century materials, which include the 1521 Letter of Neacşu of Câmpulung and various religious translations found in the Codex Voroneţean. As",931,08-chapter-7-syntax.md
6,7.7.2.1.1.2.4 Albanian       The determination of the diachrony of the infinitive in Albanian is perhaps the most complicated of all the Balkan languages because of,933,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.5 Romani     As noted in §1.2.3.5, the recorded history of Romani begins in the sixteenth century, but the materials dating from that period are rather limited for the purposes of determining anything about the grammar, as they mostly consist of short lists of words and phrases. However, given that Romani is an Indic",936,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.6 West Rumelian Turkish       To judge from the comparative evidence of other dialects of Turkish and of other Turkic languages, the more restricted use of nonfinite complementation and the expanded use of finite verbs in complement",937,08-chapter-7-syntax.md
6,"7.7.2.1.1.2.7 Summary Regarding Diachrony Based on the foregoing, it is clear",937,08-chapter-7-syntax.md
5,7.7.2.1.2 Nominal Complementation,938,08-chapter-7-syntax.md
5,7.7.2.1.3 Finite Complementation,943,08-chapter-7-syntax.md
6,7.7.2.1.3.1 Indicative versus Modal Complementation,943,08-chapter-7-syntax.md
6,7.7.2.1.3.2 Subordinate Tense-Mood-Aspect,948,08-chapter-7-syntax.md
6,"7.7.2.1.3.2.1 Subordinate Tense As far as indicative complements are concerned,",948,08-chapter-7-syntax.md
6,"7.7.2.1.3.2.2 Subordinate Mood In all of the Balkan languages, modal comple-",950,08-chapter-7-syntax.md
6,7.7.2.1.3.2.3 Aspect in Subordination With regard to aspect in subordinate,955,08-chapter-7-syntax.md
6,7.7.2.1.3.3 Composite Finite Subordinators,956,08-chapter-7-syntax.md
5,7.7.2.1.4 Causes of Infinitival Developments,957,08-chapter-7-syntax.md
5,7.7.2.1.5 The Fall of Nonfinite Subordination and Rise of Finite,963,08-chapter-7-syntax.md
4,7.7.2.2 Adjectival (Relative) Clauses,966,08-chapter-7-syntax.md
5,7.7.2.2.1 Invariant Relative Marker,967,08-chapter-7-syntax.md
5,7.7.2.2.2 Participles,972,08-chapter-7-syntax.md
4,7.7.2.3 Adverbial Clauses,974,08-chapter-7-syntax.md
5,7.7.2.3.1 Verbal Adverbs (Gerunds),974,08-chapter-7-syntax.md
6,7.7.2.3.1.1 Use and Emergence,975,08-chapter-7-syntax.md
6,7.7.2.3.1.2 Coreference Relations,981,08-chapter-7-syntax.md
6,7.7.2.3.1.3 Finite Adverbial Clauses in Balkan Turkic,983,08-chapter-7-syntax.md
5,7.7.2.3.2 Purpose Clauses,983,08-chapter-7-syntax.md
2,7.8 Diverse Clause Types,985,08-chapter-7-syntax.md
3,7.8.1 Verbless Sentences,986,08-chapter-7-syntax.md
4,7.8.1.1 Exclamatory Sentences,986,08-chapter-7-syntax.md
4,7.8.1.2 Presentational Sentences with Weak Object Pronouns,988,08-chapter-7-syntax.md
4,7.8.1.3 WHERE Questions with Accusative,998,08-chapter-7-syntax.md
3,7.8.2 Subjectless Sentences,999,08-chapter-7-syntax.md
4,7.8.2.1 Absence of Explicit Subject Pronoun (Pro-drop),999,08-chapter-7-syntax.md
4,7.8.2.2 Impersonal Constructions270,1001,08-chapter-7-syntax.md
5,7.8.2.2.1 Atmospheric and Natural Phenomena,1002,08-chapter-7-syntax.md
5,7.8.2.2.2 Experiencer Constructions,1005,08-chapter-7-syntax.md
5,7.8.2.2.3 Impersonal Constructions with Corresponding Personal Forms,1007,08-chapter-7-syntax.md
5,"7.8.2.2.4 Impersonal Passives, Real and Potential In nominative/accusative languages, passive constructions generally involve a change in valence of the verb and a change in the focus of the action expressed by the verb. For example, an active transitive verb, i.e., one which has an agentive",1008,08-chapter-7-syntax.md
6,7.8.2.2.4.1 Impersonal Passives of Verbs of Speaking/Communicating,1008,08-chapter-7-syntax.md
6,7.8.2.2.4.2 Impersonal Passives for Generalized Activity,1010,08-chapter-7-syntax.md
6,7.8.2.2.4.3 Impersonal Passives Expressing Potential,1011,08-chapter-7-syntax.md
5,7.8.2.2.5 Impersonal Modals,1012,08-chapter-7-syntax.md
6,7.8.2.2.5.1 Internal Disposition,1012,08-chapter-7-syntax.md
6,7.8.2.2.5.2 Modality of Possibility and Necessity,1014,08-chapter-7-syntax.md
5,7.8.2.2.6 ‘Have’ Existential versus ‘Be’ Possession,1016,08-chapter-7-syntax.md
5,7.8.2.2.7 Conclusions Regarding Balkan Impersonals,1019,08-chapter-7-syntax.md
5,7.8.2.2.8 Narrative Imperatives,1020,08-chapter-7-syntax.md
6,"7.8.2.2.8.1 Macedonian In Macedonian, a perfective narrative imperative can be used if the action is",1022,08-chapter-7-syntax.md
6,"7.8.2.2.8.2 Bulgarian In Bulgarian, Teodorov-Balan 1940 gives examples of the narrative imperative, but",1023,08-chapter-7-syntax.md
6,7.8.2.2.8.3 Bosnian-Croatian-Montenegrin-Serbian,1023,08-chapter-7-syntax.md
6,7.8.2.2.8.4 East and West Slavic and Questions of Origin In East Slavic the perfective imperative is used to denote sudden past actions,1024,08-chapter-7-syntax.md
6,7.8.2.2.8.5 Albanian,1025,08-chapter-7-syntax.md
6,7.8.2.2.8.6 Turkish,1025,08-chapter-7-syntax.md
6,7.8.2.2.8.7 Romani,1025,08-chapter-7-syntax.md
6,7.8.2.2.8.8 Romanian,1026,08-chapter-7-syntax.md
6,"7.8.2.2.8.9 Aromanian, Meglenoromanian, and Greek",1026,08-chapter-7-syntax.md
6,7.8.2.2.8.10 Summary Regarding Narrative Imperatives,1027,08-chapter-7-syntax.md
6,7.8.2.2.8.11 A Functionally Related Usage: Narrative Verbal Nouns,1028,08-chapter-7-syntax.md
3,"7.8.3 Interrogation-Related Sentences In various places in Chapter 4, where lexical Balkanisms are the focus, instances of the borrowing of material related to questions, and, in some cases, answers as well,",1028,08-chapter-7-syntax.md
4,7.8.3.1 Yes-No Questions,1029,08-chapter-7-syntax.md
4,7.8.3.2 Multiple WH-Questions,1034,08-chapter-7-syntax.md
3,7.8.4 Double Accusative Clauses,1036,08-chapter-7-syntax.md
2,7.9 Prepositional Syntax,1040,08-chapter-7-syntax.md
3,"7.9.1 Adposition Order In §4.3.3.2, instances of adpositional borrowing are detailed, and a key syntactic",1041,08-chapter-7-syntax.md
3,7.9.2 Definiteness Omission,1041,08-chapter-7-syntax.md
3,7.9.3 Comitative Coordination,1044,08-chapter-7-syntax.md
3,7.9.4 Various Prepositional Calques,1045,08-chapter-7-syntax.md
1,Chapter 8: Conclusion,,09-chapter-8-conclusion.md
1,"8 Conclusion: Summation, Causation, and the Future",1049,09-chapter-8-conclusion.md
2,8.0 Introduction,1049,09-chapter-8-conclusion.md
2,8.1 Addressing Causation Issues for the Balkan Sprachbund,1052,09-chapter-8-conclusion.md
2,8.2 Answering the Definitional Issues15,1060,09-chapter-8-conclusion.md
2,8.3 Conclusion,1064,09-chapter-8-conclusion.md
1,Envoi,,10-envoi.md
1,Envoi,1066,10-envoi.md
1,Indexes,,11-indexes.md
1,Index of Names,1067,11-indexes.md
1,Index of Subjects,1069,11-indexes.md
1,Index of Toponyms and Glossonyms,1077,11-indexes.md
