category	form	line	pdf_page	source_page	context
reconstructed_star	*gab	1939	pdf-116	100	gaf ‘(s)he gave’            <   *gab (OHG gab; in this case OS gaf shares the
bracket_phonetic	[ɪk sxrɛif]	1949	pdf-116	100	ic scrive ‘I write’  >  ik schrijf [ɪk sxrɛif]
bracket_phonetic	[ɣra:f]	1950	pdf-116	100	grave ‘count’     >  graaf [ɣra:f]
bracket_phonetic	[o:x]	1951	pdf-116	100	oghe ‘eye’       >  oog [o:x]
bracket_phonetic	[brʏx]	1952	pdf-116	100	brugghe ‘bridge’  >  brug [brʏx]
bracket_phonetic	[be:lt]	1953	pdf-116	100	beelde ‘picture’   >  beeld [be:lt]
bracket_phonetic	[ɪk fɪnt]	1954	pdf-116	100	ic vinde ‘I find’   >  ik vind [ɪk fɪnt]
bracket_phonetic	[ɪk hɛp]	1955	pdf-116	100	ic hebbe ‘I have’  >  ik heb [ɪk hɛp]
slash_phonemic	/d, g, ɣ, v/	1958	pdf-116	100	rule; compare MD goede (pl.), hande ‘hands’, worden ‘they became’, dinghe ‘things’, singhen ‘to sing’, daghe ‘days’, gâven ‘they gave’, which show that all the lexemes listed had underlying voiced obstruents /d, g, ɣ, v/ in root-final position. Subsequently, in the transition from MD to Modern Dutch
slash_phonemic	/ə/	1958	pdf-116	100	rule; compare MD goede (pl.), hande ‘hands’, worden ‘they became’, dinghe ‘things’, singhen ‘to sing’, daghe ‘days’, gâven ‘they gave’, which show that all the lexemes listed had underlying voiced obstruents /d, g, ɣ, v/ in root-final position. Subsequently, in the transition from MD to Modern Dutch
slash_phonemic	/æ/	1998	pdf-119	103	2. Because lexical diffusion of sound changes seems to be the most important way in which irregularities can arise, it is important to remember that the effects of dialect borrowing can persist for a long time, because the introduction of variable irregularities into a dialect can give rise to subdi
slash_phonemic	/i y u/	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
slash_phonemic	/məstə́-/	2012	pdf-120	104	7. The Tocharian languages were written in an Indian alphabet. ś was a palatal or prepalatal sibilant fricative; ś and c were probably pronounced at the same point of articulation, given that ś is the only sibilant allowed to be the immediate left neighbor of c. (For instance, the nominative singula
slash_phonemic	/t/	2012	pdf-120	104	7. The Tocharian languages were written in an Indian alphabet. ś was a palatal or prepalatal sibilant fricative; ś and c were probably pronounced at the same point of articulation, given that ś is the only sibilant allowed to be the immediate left neighbor of c. (For instance, the nominative singula
reconstructed_star	*θ	2014	pdf-120	104	8. Our account of the development of Proto-Algonkian *θ is simplified; what really happened is the following. There were three relevant underlying consonants in Proto-Algonkian, as follows:
reconstructed_star	*l	2016	pdf-120	104	In most Algonkian languages *θ first merged with *l as *l; the result was a system in which some */l/ were palatalized to *[ʃ] before high front vocalics, while others were not. Some languages leveled the alternation; others, including Fox, generalized it to all */l/’s. Subsequently */l/ – which now
