entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
1,Adams,1997,331,331,342,342,"Adams, D. Q. (ed.) (1997). Festschrift for Eric P. Hamp. Washington, D.C.: Institute for the Study of Man."
2,Agbayani,2010,331,331,342,342,"Agbayani, B., and Golston, C. (2010). ‘Phonological movement in Classical Greek’, Language 86: 133–67."
3,Anthony,2007,331,331,342,342,"Anthony, D. (2007). The horse, the wheel, and language. Princeton: Princeton University Press."
4,Anthony,2015,331,331,342,342,"Anthony, D. and Ringe, D. (2015). ‘The Indo-European homeland from linguistic and archaeological perspectives’, Annual Review of Linguistics 1: 199–219."
5,Antonsen,1975,331,331,342,342,"Antonsen, E. (1975). A concise grammar of the Older Runic inscriptions. Tübingen: Niemeyer."
6,Aronoff,1994,331,331,342,342,"Aronoff, M. (1994). Morphology by itself. Cambridge, Mass.: MIT Press."
7,Austin,1946,331,331,342,342,"Austin, W. (1946). ‘A corollary to the Germanic Verschärfung’, Language 22: 109–11."
8,Bammesberger,1976,331,331,342,342,"Bammesberger, A. (1976). ‘Altenglisch sneowan/snowan und gotisch sniwan’, Zeitschrift für vergleichende Sprachforschung 90: 258–61."
9,Bammesberger,1980,331,331,342,342,"Bammesberger, A. (1980). ‘Das Präteritalparadigma einiger “reduplizierender” Verben im Urgermanischen’, in Mayrhofer et al. (edd.) 1980: 1–21."
10,Bammesberger,1981,331,331,342,342,"Bammesberger, A. (1981). ‘Two notes on the present optative in Germanic’, General Linguistics 21: 79–84."
11,Bammesberger,1986,331,331,342,342,"Bammesberger, A. (1986). Der Aufbau des germanischen Verbalsystems. Heidelberg: Winter."
12,Bammesberger,1988,331,331,342,342,"Bammesberger, A. (ed.) (1988). Die Laryngaltheorie und die Rekonstruktion des indogermanischen Laut- und Formensystems. Heidelberg: Winter."
13,Bammesberger,1990,331,331,342,342,"Bammesberger, A. (1990). Die Morphologie des urgermanischen Nomens. Heidelberg: Winter."
14,Bammesberger,2000,331,331,342,342,"Bammesberger, A. (2000). ‘Altenglisch earð/eart “(thou) art” und Johannes Schmidts Beitrag zur Erklärung des Verbum substantivum im Germanischen’, in Ofitsch, M., and Zinko, C. (edd.), 125 Jahre Indogermanistik in Graz (Graz: Leykam) 11–19."
15,Barber,2013,331,331,342,342,"Barber, P. (2013). Sievers’ law and the history of semivowel syllabicity in Indo-European and Ancient Greek. Oxford: Oxford University Press."
16,Bazell,1937,331,331,342,342,"Bazell, C. E. (1937). ‘IE final unaccented ē in Germanic’, Journal of English and Germanic Philology 36: 1–9."
17,Beekes,1969,331,331,342,342,"Beekes, R. S. P. (1969). The development of the Proto-Indo-European laryngeals in Greek. The Hague: Mouton."
18,Beekes,1972,331,331,342,342,"Beekes, R. S. P. (1972). ‘H₂O’, Die Sprache 18: 117–31."
19,Beekes,2011,331,331,342,342,"Beekes, R. S. P. (2011). Comparative Indo-European linguistics: an introduction. 2nd ed. Amsterdam: Benjamins."
20,Bennett,1960,331,331,342,342,"Bennett, W. H. (1960). The Gothic commentary on the gospel of John. New York: Modern Language Association of America."
21,Bennett,1962,331,331,342,342,"Bennett, W. H. (1962). ‘The parent suffix in Germanic weak verbs of class III’, Language 38: 135–41."
22,Bennett,1978,331,331,342,342,"Bennett, W. H. (1978). ‘The Germanic reflex of Indo-European /ə/ in originally medial syllables’, in Jazayery, M. A., Polomé, E., and Winter, W. (edd.), Linguistic and literary studies in honor of Archibald A. Hill. III: Historical and comparative linguistics (The Hague: Mouton) 13–8."
23,Benveniste,1949,332,332,343,343,"Benveniste, É. (1949). ‘Sur quelques développements du parfait indo-européen’, Archivum Linguisticum 1: 16–22."
24,Benveniste,1951,332,332,343,343,"Benveniste, É. (1951). ‘Prétérit et optatif en indo-européen, Bulletin de la Société de Linguistique de Paris 47: 11–20."
25,Bernhardsson,2001,332,332,343,343,"Bernhardsson, H. (2001). Verner’s Law in Gothic. Ph.D. dissertation, Cornell."
26,Birkmann,1987,332,332,343,343,"Birkmann, T. (1987). Präteritopräsentia. Tübingen: Niemeyer."
27,Björkman,1900,332,332,343,343,"Björkman, E. (1900). Scandinavian loan-words in Middle English. Halle: Niemeyer."
28,Bloomfield,1911,332,332,343,343,"Bloomfield, L. (1911). Review of Wood, F. A. (1905), Indo-European ax: axi: axu. A study in ablaut and word-formation (Strassburg: Dissertation), Journal of English and Germanic Philology 10: 628–31."
29,Bloomfield,1933,332,332,343,343,"Bloomfield, L. (1933). Language. Chicago: University of Chicago Press."
30,Blust,1974,332,332,343,343,"Blust, R. (1974). ‘A double counter-universal in Kelabit’, University of Hawaii Working Papers in Linguistics 5: 49–56."
31,Braune,2004,332,332,343,343,"Braune, W., and Heidermanns, F. (2004). Gotische Grammatik. 20th edn. Tübingen: Niemeyer."
32,Braune,2004,332,332,343,343,"Braune, W., and Reiffenstein, I. (2004). Althochdeutsche Grammatik I. Laut- und Formenlehre. 15th edn. Tübingen: Niemeyer."
33,Brixhe,2004,332,332,343,343,"Brixhe, C. (2004). ‘Phrygian’, in Woodard, R. D. (ed.), The Cambridge encyclopaedia of the world’s ancient languages (Cambridge: Cambridge University Press) 777–88."
34,Brugmann,1897,332,332,343,343,"Brugmann, K. (1897). Grundriß der vergleichenden Grammatik der indogermanischen Sprachen, Vol. I, 2nd ed. Straßburg: Trübner."
35,Brugmann,1906,332,332,343,343,"Brugmann, K. (1906). Grundriß der vergleichenden Grammatik der indogermanischen Sprachen, Vol. II, Part 1, 2nd ed. Straßburg: Trübner."
36,Brugmann,1911,332,332,343,343,"Brugmann, K. (1911). Grundriß der vergleichenden Grammatik der indogermanischen Sprachen, Vol. II, Part 2, 2nd ed. Straßburg: Trübner."
37,Brunner,1965,332,332,343,343,"Brunner, K. (1965). Altenglische Grammatik, 3rd ed. Tübingen: Niemeyer."
38,Byrd,2015,332,332,343,343,"Byrd, A. M. (2015). The Indo-European syllable. Leiden: Brill."
39,Campbell,1962,332,332,343,343,"Campbell, A. (1962). Old English grammar. Revised ed. Oxford: Oxford University Press."
40,Cardona,1960,332,332,343,343,"Cardona, G. (1960). The Indo-European thematic aorists. Ph.D. dissertation, Yale."
41,Cardona,1965,332,332,343,343,"Cardona, G. (1965). ‘Vedic imperatives in -si’, Language 41: 1–18."
42,Carstairs,1987,332,332,343,343,"Carstairs, A. (1987). Allomorphy in inflection. London: Croom Helm."
43,Carstairs-McCarthy,1991,332,332,343,343,"Carstairs-McCarthy, A. (1991). ‘Inflection classes: two questions with one answer’, in Plank, F. (ed.), Paradigms: the economy of inflection (Berlin: Mouton de Gruyter) 213–53."
44,Cercignani,1984,332,332,343,343,"Cercignani, F. (1984). ‘The enfants terribles of Gothic “breaking”: hiri, aiþþau, etc.’, Journal of Indo-European Studies 12: 315–44."
45,Chang,2015,332,332,343,343,"Chang, W., Cathcart, C., Hall, D., and Garrett, A. (2015). ‘Ancestry-constrained phylogenetic analysis supports the Indo-European steppe hypothesis’, Language 91: 194–244."
46,Chantraine,1927,332,332,343,343,"Chantraine, P. (1927). Histoire du parfait grec. Paris: Champion."
47,Chantraine,1973,332,332,343,343,"Chantraine, P. (1973). Grammaire homérique, Tome I, Phonétique et morphologie, 5th printing, corrected. Paris: Klincksieck."
48,Clackson,2007,332,332,343,343,"Clackson, J. (2007). Indo-European linguistics: an introduction. Cambridge: Cambridge University Press."
49,Comrie,1976,332,332,343,343,"Comrie, B. (1976). Aspect. Cambridge: Cambridge University Press."
50,Cooper,2015,332,332,343,343,"Cooper, A. I. (2015). Reconciling Indo-European syllabification. Leiden: Brill."
51,Corbett,2000,332,332,343,343,"Corbett, G. G. (2000). Number. Cambridge: Cambridge University Press."
52,Cowgill,1959,333,333,344,344,"Cowgill, W. (1959). ‘The inflection of the Germanic ō-presents’, Language 35: 1–15."
53,Cowgill,1960,333,333,344,344,"Cowgill, W. (1960). ‘Gothic iddja and Old English ēode’, Language 36: 483–501."
54,Cowgill,1965,333,333,344,344,"Cowgill, W. (1965). ‘Evidence in Greek’, in Winter (ed.) 1965: 142–80."
55,Cowgill,1974,333,333,344,344,"Cowgill, W. (1974). ‘Indo-European languages’, The New Encyclopædia Britannica: Macropædia (15th ed.) 9: 431–8."
56,Cowgill,1973,333,333,344,344,"Cowgill, W. (1973). ‘The source of Latin stāre, with notes on comparable forms elsewhere in Indo-European’, Journal of Indo-European Studies 1: 271–303."
57,Cowgill,1979,333,333,344,344,"Cowgill, W. (1979). ‘Anatolian hi-conjugation and Indo-European perfect: instalment II’, in Neu and Meid (edd.) 1979: 25–39. Cowgill, W. (1985a). ‘Loss of morphophonemic alternation in moribund categories, as exemplified in the Gothic verb’, in Pieper, U., and Stickel, G. (edd.), Studia linguistica diachronica et synchronica Werner Winter sexagenario anno MCMLXXXIII (Berlin: Mouton de Gruyter) 145–9. Cowgill, W. (1985b). ‘PIE *duṷo ‘2’ in Germanic and Celtic, and the nom.-acc. dual of nonneuter o-stems’, Münchener Studien zur Sprachwissenschaft 46: 13–28."
58,Cowgill,1986,333,333,344,344,"Cowgill, W. (1986). ‘Einleitung’, in Cowgill and Mayrhofer 1986: 9–71. Cowgill, W. (2006a). The collected writings of Warren Cowgill, ed. Jared Klein. Ann Arbor: Beech Stave Press. Cowgill, W. (2006b). ‘The z-cases of Germanic pronouns and strong adjectives’, in Cowgill 2006a: 519–34."
59,Cowgill,1986,333,333,344,344,"Cowgill, W., and Mayrhofer, M. (1986). Indogermanische Grammatik. Band I. Heidelberg: Winter."
60,Darms,1978,333,333,344,344,"Darms, G. (1978). Schwäher und Schwager, Hahn und Huhn: die Vr̥ddhi-Ableitung im Germanischen. Munich: Kitzinger."
61,de Vaan,2008,333,333,344,344,"de Vaan, M. (2008). Etymological dictionary of Latin and the other Italic languages. Leiden: Brill."
62,Delfs,2006,333,333,344,344,"Delfs, L. C. S. (2006). ‘Evidence for the origin of the augment’, paper read at the 25th East Coast Indo-European Conference, Columbus, Ohio."
63,Dishington,1976,333,333,344,344,"Dishington, J. (1976). ‘Functions of the Germanic ē-verbs: a clue to their formal prehistory’, Language 52: 851–65."
64,Dishington,1978,333,333,344,344,"Dishington, J. (1978). ‘Arguments for an ai/ja-paradigm in the 3rd weak class of ProtoGermanic’, Indogermanische Forschungen 83: 301–23."
65,Eichner,1973,333,333,344,344,"Eichner, H. (1973). ‘Die Etymologie von heth. mehur’, Münchener Studien zur Sprachwissenschaft 31: 53–107."
66,Ermisch,2007,333,333,344,344,"Ermisch, S. (2007). Issues in the left periphery. A typological approach to topic and focus constructions. Frankfurt: Peter Lang."
67,Eska,1989,333,333,344,344,"Eska, J. F. (1989). Towards an interpretation of the Hispano-Celtic inscription of Botorrita. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
68,Euler,2009,333,333,344,344,"Euler, W. (2009). Sprache und Herkunft der Germanen. With K. Badenheuer. Hamburg: Inspiration Un Limited."
69,Eyþórsson,1995,333,333,344,344,"Eyþórsson, Þ. (1995). Verbal syntax in the early Germanic languages. Ph.D. dissertation, Cornell University."
70,Feist,1939,333,333,344,344,"Feist, S. (1939). Vergleichendes Wörterbuch der gotischen Sprache. Leiden: Brill."
71,Ferraresi,2005,333,333,344,344,"Ferraresi, G. (2005). Word order and phrase structure in Gothic. Orbis Supplementa 25. Leuven: Peeters."
72,Forssman,1966,334,334,345,345,"Forssman, B. (1966). Untersuchungen zur Sprache Pindars. Wiesbaden: Harrassowitz."
73,Forssman,1999,334,334,345,345,"Forssman, B. (1999). ‘schwören, schwur, geschworen’, in Schindler, W., and Untermann, J. (edd.), Grippe, Kamm und Eulenspiegel: Festschrift für Elmar Seebold zum 65. Geburtstag (Berlin: de Gruyter) 77–91."
74,Fortson,2009,334,334,345,345,"Fortson, B. W. IV. (2009). Indo-European Language and Culture. 2nd ed. Oxford: Blackwell."
75,Fortson,2012,334,334,345,345,"Fortson, B. W. IV. (2012). ‘Latin -rier and its Indo-Iranian congeners’, Indogermanische Forschungen 117: 75–118."
76,Gallée,1993,334,334,345,345,"Gallée, J. H. (1993). Altsächsische Grammatik. 3rd ed., rev. H. Tiefenbach. Tübingen: Niemeyer."
77,Gamkrelidze,1973,334,334,345,345,"Gamkrelidze, T., and Ivanov, V. (1973). ‘Sprachtypologie und die Rekonstruktion der gemeinindogermanischen Verschlüsse’, Phonetica 27: 150–6."
78,Gamkrelidze,1984,334,334,345,345,"Gamkrelidze, T., and Ivanov, V. (1984). Indoevropejskij jazyk i indoevropejcy. Tbilisi: University of Tbilisi Press."
79,Gippert,2004,334,334,345,345,"Gippert, J. (2004). ‘Ein Problem der indogermanischen Pronominalflexion’, in Hyllested, A., et al. (edd.) 2004: 155–65."
80,Goedegebuure,2009,334,334,345,345,"Goedegebuure, P. (2009). ‘Focus structure and Q-word questions in Hittite’, Linguistics 47: 945–69."
81,Goering,2012,334,334,345,345,"Goering, N. (2012). Reconstruction and background of the Germanic class III weak verbs. M.Phil. thesis, Oxford."
82,Goossens,1977,334,334,345,345,"Goossens, J. (1977). ‘De tweede nederlandse auslautverscherping’, Tijdschrift voor Nederlandse Taal- en Letterkunde 93: 3–23."
83,Gorbachov,2007,334,334,345,345,"Gorbachov, Y. (2007). Indo-European origins of the nasal inchoative class in Germanic, Baltic, and Slavic. Ph.D. dissertation, Harvard."
84,Gorbachov,2014,334,334,345,345,"Gorbachov, Y. (2014). ‘The origin of the Baltic inchoative in -sta-: an overlooked Proto-Baltic sound law’, Indogermanische Forschungen 119: 21–53."
85,Gordon,1962,334,334,345,345,"Gordon, E. V. (1962). An introduction to Old Norse, revised by A. R. Taylor, 2nd, corrected ed. Oxford: Clarendon Press."
86,Gray,2003,334,334,345,345,"Gray, R. D., and Atkinson, Q. D. (2003). ‘Language-tree divergence times support the Anatolian theory of Indo-European origin’, Nature 426: 435–9."
87,Gress-Wright,2010,334,334,345,345,"Gress-Wright, J. (2010). Opacity and transparency in phonological change. Ph.D. dissertation, University of Pennsylvania."
88,Griepentrog,1995,334,334,345,345,"Griepentrog, W. (1995). Die Wurzelnomina des Germanischen und ihre Vorgeschichte. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
89,Gunkel,2016,334,334,345,345,"Gunkel, D., Katz, J. T., Vine, B., and Weiss, M. (edd.) (2016). Sahasram ati srajas: Indo-Iranian and Indo-European studies in honor of Stephanie W. Jamison. Ann Arbor: Beech Stave Press."
90,Haak,2015,334,334,345,345,"Haak, W., Lazaridis, I., Reich, D., et al. (2015). ‘Massive migration from the steppe was a source for Indo-European languages in Europe’, Nature 522: 207–11."
91,Haas,1966,334,334,345,345,"Haas, O. (1966). Die phrygischen Sprachdenkmäler. (= Linguistique balkanique X.) Sofia: Académie Bulgare des Sciences."
92,Hackstein,1993,334,334,345,345,"Hackstein, O. (1993). ‘Osttocharische Reflexe grundsprachlicher Präsensbildungen von idg. *g̑neh3- ‘erkennen’ ’, in Meiser, G. (ed.), Indogermanica et Italica, Festschrift für Helmut Rix zum 65. Geburtstag (Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck) 148–58."
93,Hackstein,2002,334,334,345,345,"Hackstein, O. (2002). ‘Uridg. *CH.CC > *C.CC’, Historische Sprachforschung 115: 1–22."
94,Hackstein,2005,335,335,346,346,"Hackstein, O. (2005). ‘Archaismus oder historischer Sprachkontakt’, in Meiser, G., and Hackstein, O. (edd.), Sprachkontakt und Sprachwandel (Wiesbaden: Reichert) 169–84."
95,Haegeman,1991,335,335,346,346,"Haegeman, L. (1991). Introduction to government and binding theory. Oxford: Blackwell."
96,Hajnal,1995,335,335,346,346,"Hajnal, I. (1995). Studien zum mykenischen Kasussystem. Berlin: de Gruyter."
97,Hale,1987,335,335,346,346,"Hale, M. (1987). Studies in the comparative syntax of the oldest Indo-Iranian languages. Ph.D. dissertation, Harvard."
98,Hale,1994,335,335,346,346,"Hale, M. (1994). ‘Rigvedic prosodic structure’, paper read at the 13th East Coast Indo-European Conference, Austin, Texas, May 29, 1994."
99,Hall,1946,335,335,346,346,"Hall, R. (1946). ‘Classical Latin noun inflection’, Classical Philology 41: 84–90."
100,Hansen,2014,335,335,346,346,"Hansen, B. S. S. (2014). ‘The outcome of PIE *-ēi̭(C)# and *-ēṷ(C)# in Germanic’, North-Western European Language Evolution 67: 149–72."
101,Harðarson,1993,335,335,346,346,"Harðarson, J. A. (1993). Studien zum urindogermanischen Wurzelaorist. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
102,Harðarson,1995,335,335,346,346,"Harðarson, J. A. (1995). ‘Griechisch τῆλε’, Historische Sprachforschung 108: 205–6."
103,Harðarson,2001,335,335,346,346,"Harðarson, J. A. (2001). Das Präteritum der schwachen Verba auf -ýia im Altisländischen und verwandte Probleme der altnordischen und germanischen Sprachwissenschaft. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
104,Heidermanns,1986,335,335,346,346,"Heidermanns, F. (1986). ‘Zur primären Wortbildung im germanischen Adjektivsystem’, Zeitschrift für vergleichende Sprachforschung 99: 278–307."
105,Heidermanns,1993,335,335,346,346,"Heidermanns, F. (1993). Etymologisches Wörterbuch der germanischen Primäradjektive. Berlin: de Gruyter."
106,Heidermanns,1996,335,335,346,346,"Heidermanns, F. (1996). ‘Der Ursprung der gotischen Adverbien auf -ba’, Historische Sprachforschung 109: 257–75."
107,Heidermanns,2007,335,335,346,346,"Heidermanns, F. (2007). ‘Zum Präteritum der starken Verben im Gotischen’, in Fix, H. (ed.), Beiträge zur Morphologie: Germanisch, Baltisch, Ostseefinnisch (Odense: University Press of Southern Denmark) 57–67."
108,Helten,1906,335,335,346,346,"Helten, W. van. (1906). ‘Zum germanischen Zahlwort’, Indogermanische Forschungen 18: 84–126."
109,Heubeck,1956,335,335,346,346,"Heubeck, A. (1956). ‘῎Αρτεμις ἰοχέαιρα’, Beiträge zur Namenforschung 7: 275–9."
110,Hill,2003,335,335,346,346,"Hill, E. (2003). Untersuchungen zum inneren Sandhi des Indogermanischen. Bremen: Hempen."
111,Hill,2004,335,335,346,346,"Hill, E. (2004). ‘Das germanische Verb für “tun” und die Ausgänge des germanischen schwachen Präteritums’, Sprachwissenschaft 29: 257–303."
112,Hill,2006,335,335,346,346,"Hill, E. (2006). ‘Ein germanisch-keltisches Suffix für Nominalabstrakta’, Münchener Studien zur Sprachwissenschaft 62: 39–70."
113,Hill,2010,335,335,346,346,"Hill, E. (2010). ‘A case study in grammaticalized inflectional morphology: origin and development of the Germanic weak preterite’, Diachronica 27: 411–58."
114,Hill,2012,335,335,346,346,"Hill, E. (2012). ‘Die Entwicklung von *u vor unsilbischem *i in den indogermanischen Sprachen Nord- und Mitteleuropas: die Stammsuppletion by u-Adjektiven und das Präsens von ‘sein’, North-Western European Language Evolution 64/65: 5–36."
