entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
159,Kluge,1884,338,338,349,349,"Kluge, F. (1884). ‘Die germanische Consonantendehnung’, Beiträge zur Geschichte der deutschen Sprache und Literatur 9: 149–86."
160,Kluge,1995,338,338,349,349,"Kluge, F., and Seebold, E. (1995). Etymologisches Wörterbuch der deutschen Sprache. 23rd edn. Berlin: de Gruyter."
161,Kölligan,2004,338,338,349,349,"Kölligan, C. (2004). ‘Wenn zwei dasselbe tun: Iterativa und Kausativa’, in Kozianka, M., Lühr, R., and Zielfelder, S. (edd.), Indogermanistik—Germanistik—Linguistik. Akten der Arbeitstagung der Indogermanischen Gesellschaft, Jena 18.–20.09.2002 (Hamburg: Dr. Kovač) 193–247."
162,Krause,1968,338,338,349,349,"Krause, W. (1968). Handbuch des Gotischen, 3rd ed. Munich: Beck."
163,Krause,1971,338,338,349,349,"Krause, W. (1971). Die Sprache der urnordischen Runeninschriften. Heidelberg: Winter."
164,Kroonen,2012,338,338,349,349,"Kroonen, G. (2012). Etymological dictionary of Proto-Germanic. Leiden: Brill."
165,Kuiper,1947,338,338,349,349,"Kuiper, F. B. J. (1947). ‘Traces of laryngeals in Vedic Sanskrit’, in India antiqua (no ed.; Leiden: Instituut Kern) 198–212."
166,Kuiper,1961,338,338,349,349,"Kuiper, F. B. J. (1961). ‘Zur kompositionellen Kürzung im Sanskrit’, Die Sprache 7: 14–31."
167,Kümmel,1998,338,338,349,349,"Kümmel, M. J. (1998). ‘Wurzelpräsens neben Wurzelaorist im Indogermanischen’, Historische Sprachforschung 111: 191–208."
168,Kümmel,2007,338,338,349,349,"Kümmel, M. J. (2007). Konsonantenwandel. Wiesbaden: Reichert."
169,Labov,1994,338,338,349,349,"Labov, W. (1994). Principles of language change. Vol. 1: Internal factors. Oxford: Blackwell."
170,Lambert,2002,338,338,349,349,"Lambert, P.-Y. (2002). Recueil des inscriptions gauloises. Vol. II, fasc. 2. Textes gallo-latins sur instrumentum. Paris: CNRS."
171,Lehmann,1965,338,338,349,349,"Lehmann, W. (1965). ‘Germanic evidence’, in Winter (ed.) 1965: 212–23."
172,Lejeune,1988,338,338,349,349,"Lejeune, M. (1988). Recueil des inscriptions gauloises 2.1: Textes gallo-étrusques, Textes gallolatins sur pierre. Paris: Centre National de la Recherche Scientifique."
173,Lid,1952,338,338,349,349,"Lid, H. (1952). ‘Den nordiske nominativ singularis av maskuline an-stammer’, Norsk Tidsskrift for Sprogvidenskap 16: 237–40."
174,Liddell,1940,338,338,349,349,"Liddell, H. G., and Scott, R. (1940). A Greek-English lexicon. 9th ed., revised by Sir H. S. Jones and R. McKenzie. Oxford: Clarendon Press."
175,Liebermann,1903,338,338,349,349,"Liebermann, F. (1903). Die Gesetze der Angelsachsen. Halle: Niemeyer."
176,Lindeman,1965,338,338,349,349,"Lindeman, F. O. (1965). ‘La loi de Sievers et le début du mot en indo-européen’, Norsk Tidsskrift for Sprogvidenskap 20: 38–108."
177,Lipp,2009,338,338,349,349,"Lipp, R. (2009). Die indogermanischen und einzelsprachlichen Palatale im Indoiranischen. Band II. Thorn-Problem, indogermanische Laryngalvokalisation. Heidelberg: Winter."
178,Lloyd,1961,339,339,350,350,"Lloyd, A. L. (1961). ‘Indo-European unstressed short e in Germanic’, Modern Language Notes 76: 847–51."
179,Loewe,1894,339,339,350,350,"Loewe, R. (1894). ‘Das schwache Präteritum des Germanischen’, Indogermanische Forschungen 4: 365–79."
180,Lubotsky,1989,339,339,350,350,"Lubotsky, A. (1989). ‘Against a Proto-Indo-European phoneme *a’, in Vennemann, T. (ed.), The new sound of Indo-European (Berlin: de Gruyter) 53–66."
181,Lühr,1980,339,339,350,350,"Lühr, R. (1980). ‘Zu einem urgermanischen Lautgesetz’, in Mayrhofer et al. (edd.) 1980: 248–59."
