section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,haúrn,101; 115,"101, 115","haúrn 101, 115",2742,2742
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hausjan,284; 144; 156; 252; 89; 108; 115; 124; 189,"284; hausjand 144, 156, 252; hauseiþ 89, 108, 115, 124, 144, 156, 189, 252; hausiþs 189","hausjan 284; hausjand 144, 156, 252; hauseiþ 89, 108, 115, 124, 144, 156, 189, 252; hausiþs 189",2743,2745
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hawi,160; 250,"160, 250","hawi 160, 250",2746,2746
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hazjan,250,250,hazjan 250,2747,2747
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"hilpan, halp",270,270,"hilpan, halp 270",2748,2748
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hina,104; 115; 168,"104, 115; hita 168","hina 104, 115; hita 168",2749,2749
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hlahjan,245; 276 (princ. parts),"245, 276 (princ. parts)","hlahjan 245, 276 (princ. parts)",2750,2750
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hlaiwasnos,310,310,hlaiwasnos 310,2751,2751
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hleiþra,325,325,hleiþra 325,2752,2752
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hlifan,108; 115; 274,"108, 115, 274; hlefi 274","hlifan 108, 115, 274; hlefi 274",2753,2753
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hliuma,108; 324,"108, 324","hliuma 108, 324",2754,2754
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hnasqus,271,271,hnasqus 271,2755,2755
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hneiwan,129,129,hneiwan 129,2756,2756
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hoha,108,108,hoha 108,2757,2757
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,horinassus,325,325,horinassus 325,2758,2758
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,horinon,324,324,horinon 324,2759,2759
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hors,90; 172,"90, 172","hors 90, 172",2760,2760
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hraiwadūbo,310,310,hraiwadūbo 310,2761,2761
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hropjan,279 (princ. parts),279 (princ. parts),hropjan 279 (princ. parts),2762,2762
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,huggrjan,306,306,huggrjan 306,2763,2763
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hūhrus,174; 245; 306,"174, 245, 306","hūhrus 174, 245, 306",2764,2764
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,hunda ‘hundreds’,100; 123; 165; 231,"100, 123, 165, 231","hunda ‘hundreds’ 100, 123, 165, 231",2765,2765
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,huzd,115,115,huzd 115,2766,2766
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-ƕa ‘something’,239 fn. 55,239 fn. 55,-ƕa ‘something’ 239 fn. 55,2767,2767
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕarbon,286,286,ƕarbon 286,2768,2768
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕas: ƕa,168-9; 104; 115; 322; 142; 226,"168-9; ƕana 104, 115; ƕe 322; ƕis 142, 226","ƕas: ƕa 168-9; ƕana 104, 115; ƕe 322; ƕis 142, 226",2769,2770
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕaþar,110; 115,"110, 115","ƕaþar 110, 115",2771,2771
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕaþo,110,110,ƕaþo 110,2772,2772
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕeila,97,97,ƕeila 97,2774,2774
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕileiks,327,327,ƕileiks 327,2775,2775
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"ƕopan, ƕaíƕop",279,279,"ƕopan, ƕaíƕop 279",2776,2776
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ƕotjan,278,278,ƕotjan 278,2777,2777
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"ibdalja, ibuks",89,89,"ibdalja, ibuks 89",2778,2778
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ibnassus,325,325,ibnassus 325,2779,2779
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ibns,138 fn. 21,138 fn. 21,ibns 138 fn. 21,2780,2780
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,id-,126,126,id- 126,2781,2781
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,iddj- ~ iddjed-,219; 295,"219, 295","iddj- ~ iddjed- 219, 295",2782,2782
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,igqis,112,112,igqis 112,2783,2783
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ik,163,163,ik 163,2784,2784
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,in,89; 173,"89, 173","in 89, 173",2785,2785
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,innatgāhts,135,135,innatgāhts 135,2786,2786
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,innuma,318,318,innuma 318,2787,2787
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-inon (verb-forming suffix),325,325,-inon (verb-forming suffix) 325,2788,2788
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,is: imma,166; 104; 226; 168,166; ina 104; is (gen. sg.) 226; ita 168,is: imma 166; ina 104; is (gen. sg.) 226; ita 168,2789,2790
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ist,89; 117; 166; 293; 173; 1; 2; 220,"89, 117; im 166; sijai- 293; sijau 173; siju- (pres. ind. nonsg. 1, 2 stem) 220; sind 166","ist 89, 117; im 166; sijai- 293; sijau 173; siju- (pres. ind. nonsg. 1, 2 stem) 220; sind 166",2791,2793
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,itan,89; 119; 199; 273 (princ. parts); 181,"89, 119, 199, 273 (princ. parts); et, etun 181","itan 89, 119, 199, 273 (princ. parts); et, etun 181",2794,2795
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,iþ,126,126,iþ 126,2796,2796
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-iþ (pres. ind. 3sg.),252,252,-iþ (pres. ind. 3sg.) 252,2797,2797
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,iusiza,317,317,iusiza 317,2798,2798
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-iwe (u-stem gen. pl.),305,305,-iwe (u-stem gen. pl.) 305,2799,2799
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,izwis,235,235,izwis 235,2800,2800
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,jabai,239 fn. 55,239 fn. 55,jabai 239 fn. 55,2801,2801
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,jah,153,153,jah 153,2802,2802
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,jiukan,109,109,jiukan 109,2803,2803
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,juggs,102; 123; 153; 174,"102, 123, 153, 174; jūhiza 174","juggs 102, 123, 153, 174; jūhiza 174",2804,2804
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,juk,104; 109; 119; 153,"104, 109, 119, 153","juk 104, 109, 119, 153",2805,2805
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,junda,75,75,junda 75,2806,2806
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,jūs,153; 233,"153, 233","jūs 153, 233",2807,2807
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,*jut,234,234,*jut 234,2808,2808
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kalds,109; 119,"109, 119","kalds 109, 119",2809,2809
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,karkara,150,150,karkara 150,2810,2810
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,karon,285,285,karon 285,2811,2811
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kaúrn,101; 119,"101, 119","kaúrn 101, 119",2812,2812
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kaúrus,75; 96; 112; 120; 228,"75, 96, 112, 120; kaúrjos 228","kaúrus 75, 96, 112, 120; kaúrjos 228",2813,2813
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kinnus,164; 174,"164, 174","kinnus 164, 174",2814,2814
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kiusan,109; 185 fn. 39; 246,"109, 185 fn. 39, 246","kiusan 109, 185 fn. 39, 246",2815,2815
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kniu,109; 119,"109, 119","kniu 109, 119",2816,2816
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kunnan,291 (princ. parts); 179,291 (princ. parts); kann 179,kunnan 291 (princ. parts); kann 179,2817,2817
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,kunþs,291,291,kunþs 291,2818,2818
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lagjan,282,282,lagjan 282,2819,2819
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lais,179; 245; 246; 291,"179, 245, 246, 291","lais 179, 245, 246, 291",2820,2820
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,laisjan,245; 250; 282; 252; 179,"245, 250, 282; laisjand 252; laiseiþ 179, 252","laisjan 245, 250, 282; laisjand 252; laiseiþ 179, 252",2821,2822
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,laistjan,284,284,laistjan 284,2823,2823
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lamb,310,310,lamb 310,2824,2824
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,land,143,143,land 143,2825,2825
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,laþon,285,285,laþon 285,2826,2826
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lauhatjan,323,323,lauhatjan 323,2827,2827
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lausjan,283,283,lausjan 283,2828,2828
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,leihts,134; 174,"134, 174","leihts 134, 174",2829,2829
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,leiƕan,181; 186; 110; 116; 129,"181, 186; leiƕiþ 110, 116, 129","leiƕan 181, 186; leiƕiþ 110, 116, 129",2830,2830
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,leikan,289,289,leikan 289,2831,2831
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lekeis,250; 324,"250, 324","lekeis 250, 324",2832,2832
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lekinassus,325,325,lekinassus 325,2833,2833
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lekinon,324,324,lekinon 324,2834,2834
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,letan,278 (princ. parts),278 (princ. parts),letan 278 (princ. parts),2835,2835
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,liban,287,287,liban 287,2836,2836
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ligan,252; 273,"252, 273; lag 273","ligan 252, 273; lag 273",2837,2837
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,liubaleiks,327,327,liubaleiks 327,2838,2838
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"liugan, liugn",137,137,"liugan, liugn 137",2839,2839
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"liuhaþ, liuhad-",223,223,"liuhaþ, liuhad- 223",2840,2840
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lukarn,150,150,lukarn 150,2841,2841
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lustusams,327,327,lustusams 327,2842,2842
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,lun,97,97,lun 97,2843,2843
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-m (1pl. ending),264,264,-m (1pl. ending) 264,2844,2844
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-m (dat. pl.),53,53,-m (dat. pl.) 53,2845,2845
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,*magan,292 (princ. parts); 134; 179,"292 (princ. parts); mag 134, 179","*magan 292 (princ. parts); mag 134, 179",2846,2846
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,magus,111,111,magus 111,2847,2847
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mahts,134,134,mahts 134,2848,2848
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,maíhstus,135,135,maíhstus 135,2849,2849
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,maists,97,97,maists 97,2850,2850
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,malma,324,324,malma 324,2851,2851
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mannased-i-,305,305,mannased-i- 305,2852,2852
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,manna,165,165,manna 165,2853,2853
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,maþljan,325,325,maþljan 325,2854,2854
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,maúrnan,270,270,maúrnan 270,2855,2855
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mawi,111,111,mawi 111,2856,2856
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mawilo,149; 325,"149, 325","mawilo 149, 325",2857,2857
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"mena, menoþs",224,224,"mena, menoþs 224",2858,2858
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,meriþa,149,149,meriþa 149,2859,2859
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,midjasweipains,260,260,midjasweipains 260,2860,2860
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,midjis,121; 143; 152; 155; 250; 252,"121, 143, 152, 155, 250, 252; midja- 252","midjis 121, 143, 152, 155, 250, 252; midja- 252",2861,2861
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mikildūþs,75,75,mikildūþs 75,2862,2862
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,miliþ,152; 168; 223; 312,"152, 168, 223, 312","miliþ 152, 168, 223, 312",2863,2863
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mimz,95; 124; 166; 174,"95, 124, 166, 174","mimz 95, 124, 166, 174",2864,2864
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"minniza, minnists",165,165,"minniza, minnists 165",2865,2865
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,missadeþs,90; 121; 305,"90, 121; missaded-i- 305","missadeþs 90, 121; missaded-i- 305",2866,2866
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,miton,286,286,miton 286,2867,2867
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,mizdo,121,121,mizdo 121,2868,2868
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,*munan,291 (princ. parts); 35; 178,"291 (princ. parts); man 35, 178","*munan 291 (princ. parts); man 35, 178",2869,2869
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,nahts,113; 117,"113, 117","nahts 113, 117",2870,2870
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,namnjan,284; 190,"284; namneiþ, namniþs 190","namnjan 284; namneiþ, namniþs 190",2871,2871
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,namo,92; 94; 172; 189; 307,"92, 94, 172, 189; namna 94; namnam 307","namo 92, 94, 172, 189; namna 94; namnam 307",2872,2873
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,nasjan,245; 282,"245, 282","nasjan 245, 282",2875,2875
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,nati,91,91,nati 91,2876,2876
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,nauþi- ~ naudi-,305,305,nauþi- ~ naudi- 305,2877,2877
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,nauþjada,194 fn. 41,194 fn. 41,nauþjada 194 fn. 41,2878,2878
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,neþla,303,303,neþla 303,2879,2879
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ni,142,142,ni 142,2880,2880
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-ni- ~ -na- (weak class IV pres. suffix),201,201,-ni- ~ -na- (weak class IV pres. suffix) 201,2881,2881
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,ni ogs (þus),28 fn. 18,28 fn. 18,ni ogs (þus) 28 fn. 18,2882,2882
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,niman,272 (princ. parts),272 (princ. parts),niman 272 (princ. parts),2883,2883
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,niþjis,116; 144; 156,"116, 144, 156","niþjis 116, 144, 156",2884,2884
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,niujis,146; 152; 156; 250,"146, 152, 156, 250","niujis 146, 152, 156, 250",2885,2885
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,niun,105; 162; 229,"105, 162, 229","niun 105, 162, 229",2886,2886
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,niuntehund,230,230,niuntehund 230,2887,2887
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"niutan, nuta",326,326,"niutan, nuta 326",2888,2888
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-o (fem. gen. pl.),91; 172; 314; 306,"91, 172, 314 -o, -on, -ons (fem. n-stem endings) 306","-o (fem. gen. pl.) 91, 172, 314 -o, -on, -ons (fem. n-stem endings) 306",2889,2891
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"-o, -ona (neut. n-stem endings)",306,306,"-o, -ona (neut. n-stem endings) 306",2892,2892
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,*ogan,292 (princ. parts); 178; 292 fn. 18; 28 fn. 18; 292,"292 (princ. parts); og 178; ogs 292 fn. 18; ni ogs (þus) 28 fn. 18, 292","*ogan 292 (princ. parts); og 178; ogs 292 fn. 18; ni ogs (þus) 28 fn. 18, 292",2893,2894
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-om (strong fem. dat. pl.),314,314,-om (strong fem. dat. pl.) 314,2895,2895
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-os (a-stem nom. pl.),92; 300,"92, 300","-os (a-stem nom. pl.) 92, 300",2896,2896
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-os (o-stem acc. pl.),92,92,-os (o-stem acc. pl.) 92,2897,2897
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-os (o-stem nom. pl.),91; 172,"91, 172","-os (o-stem nom. pl.) 91, 172",2898,2898
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-os (pres. ind. 1du.),160,160,-os (pres. ind. 1du.) 160,2899,2899
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,qens,90; 119,"90, 119","qens 90, 119",2900,2900
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,qiman,113; 181; 186; 272 (princ. parts); 119,"113, 181, 186, 272 (princ. parts); qam 181; qimiþ 119","qiman 113, 181, 186, 272 (princ. parts); qam 181; qimiþ 119",2901,2902
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,qiþan,273 (princ. parts); 247,273 (princ. parts); qast 247,qiþan 273 (princ. parts); qast 247,2903,2903
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"qius, qiwa-",87; 97,"87, 97","qius, qiwa- 87, 97",2904,2904
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,qums,324,324,qums 324,2905,2905
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,rahnjan,137,137,rahnjan 137,2906,2906
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,raíhts,134,134,raíhts 134,2907,2907
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,reiki,250,250,reiki 250,2908,2908
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,reikinon,324,324,reikinon 324,2909,2909
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,rign,137,137,rign 137,2910,2910
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,rigneiþ,252,252,rigneiþ 252,2911,2911
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,rimis,311,311,rimis 311,2912,2912
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,riqis,111; 120; 124; 190; 310,"111, 120, 124, 190, 310","riqis 111, 120, 124, 190, 310",2913,2913
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,riqizjan,284; 190,284; riqizeiþ 190,riqizjan 284; riqizeiþ 190,2914,2914
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-rum (r-stem dat. pl.),308,308,-rum (r-stem dat. pl.) 308,2915,2915
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,Rūmoneis,171,171,Rūmoneis 171,2916,2916
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,runs,324,324,runs 324,2917,2917
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,-s (a-stem nom. sg. masc.),156,156,-s (a-stem nom. sg. masc.) 156,2918,2918
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sa,142; 104; 114; 168; 68 fn. 57; 314; 315; 226,"142; þana 104, 114, 168; þana- 68 fn. 57, 314; þata 168, 315; þis 226","sa 142; þana 104, 114, 168; þana- 68 fn. 57, 314; þata 168, 315; þis 226",2919,2920
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saggws,128,128,saggws 128,2921,2921
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saian,90; 159; 278 (princ. parts); 216,"90, 159, 278 (princ. parts); saíso 216","saian 90, 159, 278 (princ. parts); saíso 216",2922,2922
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saíhs,116; 229,"116, 229","saíhs 116, 229",2923,2923
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saíƕan,129; 138; 247; 273 (princ. parts),"129, 138, 247, 273 (princ. parts)","saíƕan 129, 138, 247, 273 (princ. parts)",2924,2924
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,salbon,123; 285; 189; 160; 193,"123, 285; salbo- (pres. stem) 189; salbo (pres. subj. 1sg., 3sg.) 160; salboda, salbodedun 193; salbona (pres. subj. 3pl.), salbond (pres. ind. 3pl.), salboþ (pres. ind. 3sg.) 160; salboþs 189","salbon 123, 285; salbo- (pres. stem) 189; salbo (pres. subj. 1sg., 3sg.) 160; salboda, salbodedun 193; salbona (pres. subj. 3pl.), salbond (pres. ind. 3pl.), salboþ (pres. ind. 3sg.) 160; salboþs 189",2925,2930
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saljan,250,250,saljan 250,2931,2931
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sama,90; 190,"90, 190","sama 90, 190",2932,2932
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"samiþs, samjiþ",190,190,"samiþs, samjiþ 190",2933,2933
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sandjan,246; 282,"246, 282","sandjan 246, 282",2934,2934
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,satjan,282,282,satjan 282,2935,2935
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saúhteis,135,135,saúhteis 135,2936,2936
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sauil,162; 309,"162, 309","sauil 162, 309",2937,2937
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,saúrgan,289,289,saúrgan 289,2938,2938
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sibja,250,250,sibja 250,2939,2939
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sibun,105; 123; 229,"105, 123, 229","sibun 105, 123, 229",2940,2940
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sibuntehund,230,230,sibuntehund 230,2941,2941
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,siggwan,112; 128; 174,"112, 128, 174; ussuggwuþ 112","siggwan 112, 128, 174; ussuggwuþ 112",2942,2942
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sigis,110; 151; 311,"110, 151, 311","sigis 110, 151, 311",2943,2943
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sinþa,246,246,sinþa 246,2944,2944
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,sitan,252; 273 (princ. parts); 181,"252, 273 (princ. parts); sat 181","sitan 252, 273 (princ. parts); sat 181",2945,2945
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,siujan,161; 250,"161, 250","siujan 161, 250",2946,2946
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"siukan, siuks",135,135,"siukan, siuks 135",2947,2947
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,siuns,130; 138; 247,"130, 138, 247","siuns 130, 138, 247",2948,2948
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skabiþ,117,117,skabiþ 117,2949,2949
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skaidan,127; 279 (princ. parts),"127, 279 (princ. parts)","skaidan 127, 279 (princ. parts)",2950,2950
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skalkinon,324,324,skalkinon 324,2951,2951
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skatts,139,139,skatts 139,2952,2952
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skaþjan,276 (princ. parts),276 (princ. parts),skaþjan 276 (princ. parts),2953,2953
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skeima,324,324,skeima 324,2954,2954
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,"skeinan, biskain",268,268,"skeinan, biskain 268",2955,2955
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skula,326,326,skula 326,2956,2956
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,*skulan,291 (princ. parts); 326; 179,"291 (princ. parts), 326; skal 179","*skulan 291 (princ. parts), 326; skal 179",2957,2957
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,skulds,291,291,skulds 291,2958,2958
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,slahan,246; 275 (princ. parts),"246, 275 (princ. parts)","slahan 246, 275 (princ. parts)",2959,2959
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,slahs,324,324,slahs 324,2960,2960
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,slaíhts,135,135,slaíhts 135,2961,2961
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,slaúhts,259,259,slaúhts 259,2962,2962
II. Attested forms and immediate preforms,A. Germanic languages,1. Gothic,slepan,278 (princ. parts); 216; 277,"278 (princ. parts); anasaíslepun 216; gasaízlep, saíslep 216, 277","slepan 278 (princ. parts); anasaíslepun 216; gasaízlep, saíslep 216, 277",2963,2964
