row_id	source_book_page	source_pdf_page	table	feature	Mean	SD	Lower-89CI	Higher-89CI	HDI range
144	248	267	A.28	i-umlaut	1.84	0.55	0.95	2.67	1.72
145	248	267	A.28	V2	1.71	0.58	0.8	2.6	1.8
146	248	267	A.28	sé	1.45	0.61	0.8	2.47	1.67
147	248	267	A.28	∗-hw-, ∗-h- > -h-	1.81	0.58	0.81	2.48	1.67
148	248	267	A.28	∗-dē > ∗-dō	1.65	0.57	0.8	2.37	1.57
149	248	267	A.28	∗au > ō	1.34	0.52	0.8	2.15	1.35
150	248	267	A.28	ao > ō	1.77	0.62	0.8	2.62	1.82
151	248	267	A.28	CR# > CVR#	1.32	0.49	0.8	2.04	1.24
152	248	267	A.28	∗-anu	1.36	0.49	0.8	2.18	1.38
153	248	267	A.28	-īs	1.39	0.45	0.8	1.98	1.18
154	248	267	A.28	∗-u > ∅/ [+light] _	1.45	0.49	0.8	2.24	1.44
155	248	267	A.28	∅> -u / [+heavy] _	1.35	0.47	0.8	2.01	1.21
156	248	267	A.28	1sg., 3sg. indic. > 3sg.	1.79	0.65	0.92	2.8	1.88
157	248	267	A.28	-ōno	1.17	0.36	0.8	1.71	0.91
158	248	267	A.28	∗þi- ~ ∗þe-	1.39	0.44	0.8	1.9	1.1
159	248	267	A.28	∗hwi- ~ ∗hwe-	1.6	0.52	0.8	2.34	1.54
160	249	268	A.29	imu	1.53	0.53	0.8	2.34	1.54
161	249	268	A.29	-ta	1.46	0.48	0.8	2.05	1.25
162	249	268	A.29	∗a > ∗æ	1.52	0.44	0.8	2.15	1.35
163	249	268	A.29	∗V̂ # > V̄ ; ∗V̄ # > V; ∗V# > ∅	1.34	0.49	0.8	2.09	1.29
164	249	268	A.29	∗e, ∗i > i	1.44	0.5	0.82	2.34	1.52
165	249	268	A.29	∗ē1, ∗ē2 > ∗ē1	1.4	0.49	0.8	2.02	1.22
166	249	268	A.29	∗i, ∗u > [ε, ɔ] / _ /r, h, hw/	1.62	0.61	0.8	2.58	1.78
167	249	268	A.29	∗h (/x/) > /h/	1.4	0.54	0.8	2.16	1.36
168	249	268	A.29	-ggw-, -ngw- > -/ngw/-	1.14	0.4	0.8	1.63	0.83
169	249	268	A.29	∗ē > a / [+stress] _	1.3	0.53	0.8	2.14	1.34
170	249	268	A.29	h > Cα / _ #Cα	1.49	0.52	0.82	2.26	1.44
171	249	268	A.29	∗ai > /ε/	1.5	0.69	0.8	2.59	1.79
172	249	268	A.29	∗au > /ɔ/	1.62	0.6	0.82	2.39	1.57
173	249	268	A.29	∗z > s	1.35	0.51	0.8	2.03	1.23
174	249	268	A.29	∗i > ∅/ _ ∗jV	1.4	0.53	0.8	2.25	1.45
175	249	268	A.29	∗a > ∅/ _z#	1.56	0.58	0.8	2.39	1.59
176	249	268	A.29	∗-(i)ji- > ∗-ī-	1.5	0.55	0.8	2.32	1.52
177	249	268	A.29	∗-mz > -m	1.38	0.5	0.8	2.18	1.38
178	249	268	A.29	r/n > l	1.39	0.58	0.8	2.36	1.56
179	249	268	A.29	Thurneysen’s Law	1.34	0.57	0.8	2.32	1.52
180	249	268	A.29	ē, ō > /ɛ̄ , ɔ̄ / / _ V	1.26	0.47	0.8	1.85	1.05
181	249	268	A.29	∗-jj-, ∗-ww- > -ddj-/-ggj-, -ggw-	1.53	0.68	0.8	2.64	1.84
182	249	268	A.29	∗-z > ∅/ V r/s _	1.43	0.54	0.8	2.33	1.53
183	250	269	A.30	∗fl- > þl-	1.27	0.58	0.8	2.44	1.64
184	250	269	A.30	∗þ > t / _ s	1.22	0.49	0.8	2.02	1.22
185	250	269	A.30	-aiwa, -aima, -aina	1.5	0.6	0.8	2.4	1.6
186	250	269	A.30	∅> j / _ i	1.5	0.57	0.8	2.27	1.47
187	250	269	A.30	∗-n-	1.4	0.59	0.8	2.39	1.59
188	250	269	A.30	sijai-	1.26	0.48	0.8	1.94	1.14
189	250	269	A.30	siju-	1.23	0.5	0.8	2.03	1.23
190	250	269	A.30	-uh > -h	1.14	0.44	0.8	1.58	0.78
191	250	269	A.30	V > ∅/ _-uh/-ei	1.61	0.59	0.8	2.6	1.8
192	250	269	A.30	∗-aiz- > -ai	1.25	0.48	0.8	1.79	0.99
193	250	269	A.30	∗-r-iz > -r-jus	1.31	0.55	0.8	2.18	1.38
194	250	269	A.30	-a, -o, -o	1.49	0.62	0.8	2.44	1.64
195	250	269	A.30	-o : -e	1.43	0.58	0.8	2.37	1.57
196	250	269	A.30	þata	1.38	0.51	0.8	2	1.2
197	250	269	A.30	∗-īn- > ∅	1.19	0.44	0.8	1.87	1.07
198	250	269	A.30	∗-at	1.64	0.49	0.8	2.28	1.48
199	250	269	A.30	∗-assu-	1.16	0.38	0.8	1.63	0.83
200	250	269	A.30	∗-ā-	1.33	0.52	0.8	2.04	1.24
201	250	269	A.30	∗-es-	1.35	0.54	0.82	2.24	1.42
202	250	269	A.30	-and-s	1.67	0.59	0.8	2.54	1.74
203	250	269	A.30	1sg., 3sg. > 1sg.	1.13	0.36	0.8	1.82	1.02
204	250	269	A.30	hwa	1.22	0.41	0.8	1.79	0.99
205	250	269	A.30	∗hwō	1.37	0.51	0.8	2.11	1.31
206	251	270	A.31	iusiza	1.2	0.48	0.8	1.91	1.11
207	251	270	A.31	godai	1.4	0.55	0.8	2.24	1.44
208	251	270	A.31	alþeis	1.3	0.51	0.8	2.08	1.28
209	251	270	A.31	∗hir > her	1.36	0.54	0.8	2.17	1.37
210	251	270	A.31	sauil	1.42	0.64	0.8	2.56	1.76
211	251	270	A.31	∗fōr ~ ∗fun- > fon ~ funin-	1.38	0.54	0.8	2.14	1.34
212	251	270	A.31	tunþus, fotus	1.43	0.67	0.8	2.44	1.64
213	251	270	A.31	sehwun	1.43	0.63	0.8	2.5	1.7
214	251	270	A.31	wato, watins, etc.	1.2	0.41	0.8	1.72	0.92
215	251	270	A.31	iddj- ~ iddjed-	1.22	0.43	0.8	1.71	0.91
216	251	270	A.31	sitan, ligan	1.36	0.5	0.8	2.12	1.32
217	251	270	A.31	∗anguz > aggwus	1.36	0.62	0.8	2.43	1.63
218	251	270	A.31	nahtam	1.33	0.47	0.8	2.25	1.45
219	251	270	A.31	∗taujan	1.4	0.64	0.8	2.42	1.62
220	251	270	A.31	stōþ	1.37	0.54	0.8	2.27	1.47
221	251	270	A.31	wesun	1.38	0.59	0.8	2.28	1.48
222	251	270	A.31	ufar	1.47	0.62	0.8	2.51	1.71
223	251	270	A.31	hausjan	1.29	0.51	0.8	2.16	1.36
224	251	270	A.31	gadaúrsun	1.38	0.54	0.8	2.24	1.44
225	251	270	A.31	taihuntehund	1.44	0.61	0.8	2.36	1.56
226	251	270	A.31	∗-ô, ∗-ō > -ō	1.41	0.53	0.8	2.16	1.36
227	251	270	A.31	∗ār > er > ir / [-stress]	1.35	0.45	0.8	1.89	1.09
228	251	270	A.31	∗eu, ∗iu > i > e	1.28	0.48	0.8	2.01	1.21
229	252	271	A.32	∗ai > ei	1.47	0.44	0.8	2.07	1.27
230	252	271	A.32	ǫ > u; a > e	1.54	0.58	0.8	2.52	1.72
231	252	271	A.32	∗ai > á/ _ r/h	1.18	0.39	0.8	1.67	0.87
232	252	271	A.32	e > i	1.25	0.56	0.8	2.25	1.45
233	252	271	A.32	∗eu, ∗iu > iu	1.14	0.42	0.8	1.64	0.84
234	252	271	A.32	V > ∅/ _(C)#	1.33	0.46	0.8	2.24	1.44
235	252	271	A.32	V̄ > V / [-stress]	1.14	0.39	0.8	1.67	0.87
236	252	271	A.32	R-umlaut	1.51	0.67	0.8	2.61	1.81
237	252	271	A.32	u-umlaut	1.17	0.44	0.8	1.64	0.84
238	252	271	A.32	∗e > ∗ea > ja; ∗e > ∗eu > jo	1.21	0.41	0.8	1.86	1.06
239	252	271	A.32	∗au > ó	1.17	0.44	0.8	1.9	1.1
240	252	271	A.32	iu > jú / f, g, k, p	1.23	0.49	0.8	2.06	1.26
241	252	271	A.32	V > V̄	1.26	0.43	0.8	1.88	1.08
242	252	271	A.32	V > V̄ / _ CC	1.26	0.47	0.8	2.07	1.27
243	252	271	A.32	V̄ > V / _CC	1.49	0.5	0.8	2.22	1.42
244	252	271	A.32	∗ht > tt	1.44	0.5	0.8	2.12	1.32
245	252	271	A.32	∗j > ∅/ # _	1.18	0.4	0.8	1.67	0.87
246	252	271	A.32	w > ∅/ # _	1.29	0.51	0.8	2.07	1.27
247	252	271	A.32	þ > ∅/ _ l	1.23	0.37	0.8	1.69	0.89
248	252	271	A.32	∗z, ∗r > ∗r	1.1	0.41	0.8	1.66	0.86
249	252	271	A.32	∗kj, ∗gj > kkj, ggj	1.34	0.5	0.8	2.06	1.26
250	252	271	A.32	bera	1.28	0.51	0.8	2.03	1.23
251	252	271	A.32	∗i > ∗e	1.48	0.57	0.8	2.24	1.44
252	253	272	A.33	á, ǫ > ǫ	1.2	0.39	0.8	1.75	0.95
253	253	272	A.33	∗d > ð / ∗r _	1.08	0.34	0.8	1.41	0.61
254	253	272	A.33	∗zd, ∗zn > dd, nn	1.17	0.45	0.8	1.93	1.13
255	253	272	A.33	mn > fn	1.19	0.35	0.8	1.56	0.76
256	253	272	A.33	sá	1.12	0.43	0.8	1.6	0.8
257	253	272	A.33	-r > C / [+alveolar] _	1.41	0.59	0.8	2.31	1.51
258	253	272	A.33	∗w > v	1.51	0.65	0.8	2.51	1.71
259	253	272	A.33	ðt > tt	1.52	0.62	0.8	2.58	1.78
260	253	272	A.33	∅> t	1.33	0.6	0.8	2.55	1.75
261	253	272	A.33	berið	1.26	0.54	0.8	2.19	1.39
262	253	272	A.33	∗ī	1.44	0.49	0.8	2.17	1.37
263	253	272	A.33	∗hnut > hnot	1.48	0.72	0.8	2.62	1.82
264	253	272	A.33	∗sezō, etc.	1.35	0.5	0.8	2.09	1.29
265	253	272	A.33	∗-nnz > -ðr	1.24	0.52	0.8	2.18	1.38
266	253	272	A.33	3sg., 2sg. > 2sg.	1.45	0.58	0.8	2.41	1.61
267	253	272	A.33	∗-usi/∗-isi > -r	1.27	0.45	0.8	1.83	1.03
268	253	272	A.33	góðir	1.18	0.44	0.8	1.84	1.04
269	253	272	A.33	koma	1.33	0.55	0.8	2.27	1.47
270	253	272	A.33	cl. IV weak verbs > cl. II	1.29	0.47	0.8	1.93	1.13
271	253	272	A.33	-u(-)	1.26	0.57	0.8	2.5	1.7
272	253	272	A.33	-ar	1.3	0.59	0.8	2.37	1.57
273	253	272	A.33	-inn	1.28	0.48	0.8	1.97	1.17
274	253	272	A.33	-sk	1.35	0.63	0.8	2.59	1.79
275	254	273	A.34	a-stems	1.18	0.43	0.8	1.77	0.97
276	254	273	A.34	i-stems	1.5	0.62	0.8	2.49	1.69
277	254	273	A.34	Cons. stems	1.34	0.46	0.8	1.93	1.13
278	254	273	A.34	an-stems	1.3	0.56	0.8	2.42	1.62
