row_id,source_book_page,source_pdf_page,table,innovation,GO,ON,OE,OF,OS,OHG,VAND,BURG
162,228,247,A.8,∗a > ∗æ,0,0,1,1,0,0,?,?
163,228,247,A.8,∗Ṽ# > V̄ ; ∗V̄ # > V; ∗V# > ∅,1,0,0,0,0,0,?,?
164,228,247,A.8,"∗e, ∗i > i",1,0,0,0,0,0,0,1
165,228,247,A.8,∗ē1 ∗ē2 > ∗ē1,1,0,0,0,0,0,?,?
166,228,247,A.8,"∗i, ∗u > [ε, ɔ] / _ /r, h, hw/",1,0,0,0,0,0,0,1
167,228,247,A.8,∗h (/x/) > /h/,1,0,0,0,0,0,1,0
168,228,247,A.8,"-ggw-, -ngw- > -/ngw/-",0,0,0,0,0,0,?,?
169,228,247,A.8,∗ē > a / [+stress] _,1,0,0,0,0,0,?,?
170,228,247,A.8,h > Cα / _ #Cα,1,0,0,0,0,0,?,?
171,228,247,A.8,∗ai > /ε/,1,0,0,0,0,0,1,0
172,228,247,A.8,∗au > /ɔ/,1,0,0,0,0,0,1,0
173,228,247,A.8,∗z > s,1,0,0,0,0,0,0,?
174,228,247,A.8,∗i > ∅/ _ ∗jV,1,0,0,0,0,0,?,?
175,228,247,A.8,∗a > ∅/ _z#,1,0,0,0,0,0,?,?
176,228,247,A.8,∗-(i)ji- > ∗-ī-,1,1,0,0,0,0,?,?
177,228,247,A.8,∗-mz > -m,1,0,0,0,0,0,?,?
178,228,247,A.8,r/n > l,1,0,0,0,0,0,?,?
179,228,247,A.8,Thurneysen’s Law,1,0,0,0,0,0,?,?
180,228,247,A.8,"ē, ō > /ɛ̄ , ɔ̄ / / _ V",1,0,0,0,0,0,?,?
181,228,247,A.8,"∗-jj-, ∗-ww- > -ddj-/-ggj-, -ggw-",1,1,0,0,0,0,0,?
182,228,247,A.8,∗-z > ∅/ V r/s _,1,0,0,0,0,0,?,0
183,228,247,A.8,∗fl- > þl-,1,0,0,0,0,0,?,?
184,228,247,A.8,∗þ > t / _ s,1,0,0,0,0,0,?,?
185,229,248,A.9,"-aiwa, -aima, -aina",1,0,0,0,0,0,?,?
186,229,248,A.9,∅> j / _ i,1,0,0,0,0,0,?,?
187,229,248,A.9,∗-n-,1,0,0,0,0,0,?,?
188,229,248,A.9,sijai-,1,0,0,0,0,0,?,?
189,229,248,A.9,siju-,1,0,0,0,0,0,?,?
190,229,248,A.9,-uh > -h,1,0,0,0,0,0,?,?
191,229,248,A.9,V > ∅/ _-uh/-ei,1,0,0,0,0,0,?,?
192,229,248,A.9,∗-aiz- > -ai,1,0,0,0,0,0,?,?
193,229,248,A.9,∗-r-iz > -r-jus,1,0,0,0,0,0,?,?
194,229,248,A.9,"-a, -o, -o",1,1,0,0,0,0,1,0
195,229,248,A.9,-o : -e,1,0,0,0,0,0,?,?
196,229,248,A.9,þata,1,0,0,0,0,0,?,?
197,229,248,A.9,∗-īn- > ∅,0,0,0,0,0,0,?,?
198,229,248,A.9,∗-at,1,1,0,0,0,1,?,?
199,229,248,A.9,∗-assu-,1,0,0,0,0,0,?,?
200,229,248,A.9,∗-ā-,1,1,0,0,0,0,?,?
201,229,248,A.9,∗-es-,1,0,0,0,0,1,?,?
202,229,248,A.9,-and-s,1,1,0,0,0,0,?,?
203,229,248,A.9,"1g., 3sg. > 1g.",1,0,0,0,0,0,?,?
204,229,248,A.9,hwa,1,0,0,0,0,0,?,?
205,229,248,A.9,∗hwō,1,0,0,0,0,0,?,?
206,229,248,A.9,iusiza,1,0,0,0,0,0,?,?
207,229,248,A.9,godai,1,0,0,0,0,0,?,?
208,230,249,A.10,alþeis,1,0,0,0,0,0,?,?
209,230,249,A.10,∗hir > her,1,0,0,0,0,0,?,?
210,230,249,A.10,sauil,1,0,0,0,0,0,?,?
211,230,249,A.10,∗fōr ~ ∗fun- > fon ~ funin-,1,0,0,0,0,0,?,?
212,230,249,A.10,"tunþus, fotus",1,0,0,0,0,0,?,?
213,230,249,A.10,sehwun,1,0,0,0,0,0,?,?
214,230,249,A.10,"wato, watins, etc.",1,0,0,0,0,0,?,?
215,230,249,A.10,iddj- ~ iddjed-,1,0,0,0,0,0,?,?
216,230,249,A.10,"sitan, ligan",1,0,0,0,0,0,?,?
217,230,249,A.10,∗anguz > aggwus,1,0,0,0,0,0,?,?
218,230,249,A.10,nahtam,1,0,0,0,0,0,?,?
219,230,249,A.10,∗taujan,1,0,0,0,0,0,?,?
220,230,249,A.10,stōþ,1,0,0,0,0,0,?,?
221,230,249,A.10,wesun,1,0,0,0,0,0,?,?
222,230,249,A.10,ufar,1,0,0,0,0,0,?,?
223,230,249,A.10,hausjan,1,0,0,0,0,0,?,?
224,230,249,A.10,gadaúrsun,1,0,0,0,0,0,?,?
225,230,249,A.10,taihuntehund,1,0,0,0,0,0,?,?
226,230,249,A.10,"∗-ô, ∗-ō > -ō",0,1,0,0,0,0,?,?
227,230,249,A.10,∗ār > er > ir / [-stress],0,1,0,0,0,0,?,?
228,230,249,A.10,"∗eu, ∗iu > i > e",0,1,0,0,0,0,?,?
229,230,249,A.10,∗ai > ei,0,1,0,0,0,0,1,0
230,230,249,A.10,ǫ > u; a > e,0,1,0,0,0,0,?,?
231,231,250,A.11,∗ai > á/ _ r/h,0,1,0,0,0,0,?,?
232,231,250,A.11,e > i,0,1,0,0,0,0,?,?
233,231,250,A.11,"∗eu, ∗iu > iu",0,1,0,0,0,0,1,0
234,231,250,A.11,V > ∅/ _(C)#,0,1,0,0,0,0,?,?
235,231,250,A.11,V̄ > V / [-stress],0,1,0,0,0,0,?,?
236,231,250,A.11,R-umlaut,0,1,0,0,0,0,?,?
237,231,250,A.11,u-umlaut,0,1,0,0,0,0,0,0
238,231,250,A.11,∗e > ∗ea > ja; ∗e > ∗eu > jo,0,1,0,0,0,0,?,?
239,231,250,A.11,∗au > ó,0,1,0,0,0,0,?,?
240,231,250,A.11,"iu > jú / f, g, k, p",0,1,0,0,0,0,?,?
241,231,250,A.11,V > V̄,0,1,0,0,0,0,?,?
242,231,250,A.11,V > V̄ / _ CC,0,1,0,0,0,0,?,?
243,231,250,A.11,V̄ > V / _CC,0,1,0,0,0,0,?,?
244,231,250,A.11,∗ht > tt,0,1,0,0,0,0,?,?
245,231,250,A.11,∗j > ∅/ # _,0,1,0,0,0,0,?,?
246,231,250,A.11,w > ∅/ # _,0,1,0,0,0,0,?,?
247,231,250,A.11,þ > ∅/ _ l,0,1,0,0,0,0,?,?
248,231,250,A.11,"∗z, ∗r > ∗r",0,1,0,0,0,0,0,0
249,231,250,A.11,"∗kj, ∗gj > kkj, ggj",0,1,0,0,0,0,?,?
250,231,250,A.11,bera,0,1,0,0,0,0,?,?
251,231,250,A.11,∗i > ∗e,0,1,0,0,0,0,0,0
252,231,250,A.11,"á, ǫ > ǫ",0,1,0,0,0,0,?,?
253,231,250,A.11,∗d > ð / ∗r _,0,1,0,0,0,0,?,?
254,232,251,A.12,"∗zd, ∗zn > dd, nn",0,1,0,0,0,0,?,?
255,232,251,A.12,mn > fn,0,1,0,0,0,0,?,?
256,232,251,A.12,sá,0,0,0,0,0,0,?,?
257,232,251,A.12,-r > C / [+alveolar] _,0,1,0,0,0,0,?,?
258,232,251,A.12,∗w > v,0,1,0,0,0,0,?,?
259,232,251,A.12,ðt > tt,0,1,0,0,0,0,?,?
260,232,251,A.12,∅> t,0,1,0,0,0,0,?,?
261,232,251,A.12,berið,0,1,0,0,0,0,?,?
262,232,251,A.12,∗ī,1,1,0,0,0,0,?,?
263,232,251,A.12,∗hnut > hnot,0,1,0,0,0,0,?,?
264,232,251,A.12,"∗sezō, etc.",0,1,0,0,0,0,?,?
265,232,251,A.12,∗-nnz > -ðr,0,1,0,0,0,0,?,?
