entry_id	pdf_page_start	entry_heading	field	flags	sample
40	46	"alacer, -cris ""lively, active'"	ie_cognates	contains-laryngeal	see s.v. ambuld. The adj. could be derived from the root *h₂elH- of ambulare Ho walk about', although the semantics do not compel us to assume that these words are cognate. Formally, the connection would imply a suffix *-kri-, which is rare. Its two other occurrences are in words derived from a verbal stem, viz. volucer 'flying* and liidicre 'playfully'. Viewed in this light, deriving alacer from 
41	47	albus	entry_text	contains-greek	albus 'white' [adj. ο/α) (Pl.+)
41	47	albus	pie	contains-laryngeal	*h₂elbʰ-o- 'white\
41	47	albus	ie_cognates	contains-greek;contains-laryngeal	Gr. όλφούς 'white' [acc.pl.] (Hsch.), άλφός 'dull-white leprosy', αλφι 'barley-groats', pi. αλφιτα, Alb, elb 'barley' (unless borrowed from Greek). Paul, ex F. mentions that the Sabini used to say alpus for albus. Several toponyms may belong to albus: Alba, a town, Albula, earlier name of the Tiber, O. alafaternum, PaeL alafis, Indo-European forms with a suffix *-d- as in the word for 'swan', e.g.
44	47	algeō	pie	contains-laryngeal	*h₂(e)lgh/g- '(to be) cold'.
44	47	algeō	bibliography	contains-laryngeal	WH I: 29, EM 21, IEW 32, Schrijver 1991: 70, LIV ?*h₂el'g)h-.
45	47	alica	entry_text	contains-greek	alica 'emmer groats' [f, a] (Cato+) The form and meaning are almost the same as in Gr. αλιξ, -κος 'groats of rice-wheat', a word of unknown etymology. Possibly, the Latin word was borrowed from Greek; or both are loanwords from another Mediterranean language.
46	48	alium	entry_text	contains-greek	alium 'garlic' [n. ο] (Pl.+; allium in inscriptions from the 1st century AD onwards) No accepted etymology. One may speculate on a derivation from ala 'wing', with the image of the garlic bulb being divided into several 'wings'. For a similar image, compare OHG klobalouh, OS kluflok 'garlic' in which *klub6 'toe' is derived from the verb to clove, PGm. *kleoban 'to cleave'. Lat, alium is also comp
47	48	alius	pie	contains-laryngeal	*h₂el-io- 'another'; *h₂el-tero- 'the other (of two)'.
47	48	alius	ie_cognates	contains-greek;contains-laryngeal	Olr. aile [m.], aill [n.] 'other', W. ail Bret. eil < PCI. *<φ~9 Gr. δλλος Arm. qyl, Go. aljis 'other', alja-leikd 'elsewhere', OS elilendi [n.], OHG elilenti 'foreign country' < *alja-landja-, OE elles, MoE else 'otherwise', ToB afye-k, ToA alak (depalatalized) 'another3. The form alia must be an allegro form, or analogical to quid, id. The stem all· in aliquis and alicubi may have been truncated
48	48	O. alio [nom.sg.f.], allam [acc.sg.f.]	pie	contains-laryngeal	*h₂el-no- 'that, yonder'.
48	48	O. alio [nom.sg.f.], allam [acc.sg.f.]	ie_cognates	contains-laryngeal	Gaul, albs, Olr. all· [pref.], W all- 'other, second' < PCI. alio-; Go. ala-mans [m.pl.] 'all of humanity', alakjo [adv.] 'together', OHG ala-wari 'wholly true', OS ala-jung 'very young', OE cel-tcew 'all sound' < PGm. *a!a-9 Go. alls, OIc. allr, OHG OS al, OE eall 'all, every' < PGm. *alla- < *h₂el-no-\ ToA alak, ToB allek, alek [adj.] 'other' < PTo. alle-L· < *alno- or *alio-. The reconstruction
50	49	alō, -ere	pie	contains-laryngeal	*h₂el-e/o-, *h₂l-to-. *h₂Mo-, whereas alitus is a more recent formation of CLat. The noun alumnus reflect the pnptc.med. ^h^l-o-mhino- deeding, being fed'. Adolescere betrays an earlier stative *alere *to be growing up*. Lat. -ol- (instead of -//-) in front of -e- therefore reflects not only *-o/- (cf. aboleo), but also *-a/-; probably, this reflex was conditioned by -e-. The adj. almus can reflec
