author	year	entry_text	pdf_page
Viredaz, Remy		2002 Le nom du 'gendre' en indo-europeen et en balto-slave, IF 101, 152-180.	735
Wachter, Rudolf		2004	735
Cistellaria, eds, R, Hartkamp and F. Hurka, Tubingen: Gunter Narr,		371-383,	735
		2006 Review of Lexikon des fruhgriechischen Epos, 19. und 20. Lieferung. Kratylos 51, 136-144/	735
Walde, Alois and Johann Baptist Hoffmann	1930,	1954 Lateinisches etymologisches Worterbuch I + IL Heidelberg: Winter,	735
Wallace, Rex		2005	735
A Faliscan inscription in the Steinhardt Collection, Zeitschrift fur		Papyrologie und Epigraphik 153, 175-182.	735
Watkins, Calvert		1957 maritus. In: Studies presented to Joshua Whatmough on his sixtieth birthday, ed, E, Pulgram, 's-Gravenhage: Mouton, 277-281,	735
		1962	735
The Dublin Institute for Advanced Studies.		1969 A Latin-Hittite etymology. Language 45, 235-242,	735
	1973a	An Indo-European agricultural term: Latin ador, Hittite hat-. HSCP 77, 187-193,	735
	1973b	Etyma Enniana. HSCP 77, 195-206.	735
		1985	735
Houghton Mifflin,		1990	735
Near Eastern literature in honor of William L Moran, ed, T, Abusch, J,		Huehnergard and P, Steinkeller, Atlanta (GA): Scholars Press, 451-453,	735
		1995	735
Watmough, Margaret		1997	736
Weiss, Michael		■	736
		1993	736
Studies in Italic nominal morphology. Cornell: PhD dissertation.		1994 On the non-verbal origin of the Greek verb νήφειν 'to be sober'. HS 107, 91-98.	736
		1995	736
Life Everlasting: Latin iugis overflowing^, Greek υγιής Wealthy', Gothic		ajukdups Eternity' and Avestan yauuae/T- * living forever \ MSS 55, 131-156.	736
	1996a	Greek μυρίος 'countless', Hittite muri- 'bunch (of fruit)'. HS 109, 199-214.	736
	1996b	An Oscanism in Catullus 53. Classical Philology 91,353-359.	736
		2002 Observations on the South Picene Inscription TE 1 (S. Omero). In:	736
Indo-European Perspectives, ed. M. Southern, Washington DC: Institute		for the Study of Man, 351-366.	736
		2006 Latin orbis and its cognates. /iS 119, 250-272.	736
	2007a	Cui Bono? The beneficiary phrases of the Third Iguvine Table. In: Nussbaum 2007c, 365-378.	736
	2007b	What's it all about, alfir? Handout at ECIEC 26, June 2007, Yale Univ.	736
		fthc.a	736
Outline of the Comparative Grammar of Latin.	fthc.b	Language and Ritual in Sabellic Italy: The Ritual Complex of the Third and Fourth Tabulae Iguvinae.	736
Willi, Andreas		2004 Flowing Riches. In: Penney 2004, 323-337. van Windekens, Albert	736
		1984 Encore lat uxor et i.-e. *ukson-. ZVS 97,96-98.	736
Wyatt, W.S.		1984 Two fragments of the Elder Cato. Glotta 62,248-250,	736
Zimmer, Stefan		1985 Zur Etymologie und zu den altesten Belegen von lat totus. Glotta 63,221-225.	736
