author	year	entry_text	pdf_page
		1972 Review of: X. Mignot, Les verbes denominatifs latins. Paris 1969. Gnomon 44,666-672.	713
		1983	713
Aufgaben. In: Das etymologische Worterbuck Fragen der Konzeption und		Gestaltung, ed. A. Bammesberger, Regensburg: Pustet, 49-73.	713
		1992 Die etymologische Erforschung des Lateinischen. In: Panagl / Krisch 1992, 295-310.	713
		1993 Lateinisch ieiunus und ieientare. In: Meiser et al. 1993, 95-105.	713
		1998 Vedisch atithipati-, lateinisch hospes. In: Jasanoff / Melchert / Oliver 1998, 115-126.	713
		1999 Lateinisch permities und pernicies. In: Eichner / Luschutzky 1999, 69-76.	713
		2002 Etymologie im Thesaurus Linguae Latinae. Museum Helveticum 59, 172-187.	713
		2004 Lateinisch proprius, propriare. In: Hyllested et al. 2004, 131-138.	714
Fortson, Benjamin		2002	714
M. Southern, Washington DC: Institute		for the Study of Man, 61-77.	714
Fraenkel, Eduard		1948	714
Zur griechischen und lateinischen Grammatik und Wortforschung.		/%//o/ogus 97, 161-176.	714
	1955-1965	Litauisches etymologisches Worterbuch. Two vols. Heidelberg: Winter.	714
Fritz, Matthias		1996	714
Das uridg. Wort fur 'Nase' und das grundsprachliche Lautgesetz *RHV >		*RV.flS 109, 1-20.	714
Fritz, Matthias and Susanne Zeilfelder (eds*)		2002 Novalis Indogermanica. Festschrift fur Gtinther Neumann zum 80.	714
Fruyt, Michele		1986	714
Problemes methodologiques de derivation a propos des suffixes latins en		...cus. Paris: Klincksieck.	714
Garcia-Ramon, Jose-Luis	1993a	Latin ciere, citus, IE *kei-/ki- 'ponerse en movimiento' y Causat. tkoi-eie-ti. In: Heidermanns / Rix / Seebold 1993, 125-139.	714
	1993b	Lat. censere, got. hazjan und das idg. Prasens *kens-e-ti (und *kns-ije-tft) 'verkiindigt, schatzt', Stativ *kns-ehr 'verkiindigt, geschatzt sein / werden\ In; Meiser et al 1993, 106-130.	714
		1996 Lat. auere, {actyiuuare and IE *h2euh1. In: Akten des VIII	714
Kolloquiums zur lateinischen Linguistik, eds. A. Bammesberger and F.		Heberlein, Heidelberg: Winter, 32-49.	714
		1997	714
Lat prae, gr. παραί, παρά und Verwandtes: idg. *pxhr und */?/■- 'vorn		daneben, vor' gegenuber *pro(h{) *vor(n), vorwarts\ In: Lubotsky 1997, 47-62,	714
		2006	714
Petymologie		du vieil irlandais gus.	714
In: La		langue poetique indo-europienne, eds. G,-J. Pinault and D, Petit, Leuven: Peeters, 79-93.	714
Gamier, Romain	2004	Vapophonie radicale dans le verbe latin. Etude synchronique et diachronique. Doctoral diss. EPHE, Paris»	714
Gavoille, Laurent		2001	714
"Orare signifie-t-il ""parler""? In : De lingva latina novae qvaestiones. Actes"		du X* Colloque International de Linguistique Latine, ed. C Moussy, Louvain: Peeters, 787-800.	715
Georgiev, Vladimir		1962 Lateinisch crus and clunis : Reste eines r/w-Stammes. Die Sprache 8, 1-3.	715
Gerow, Edwin		1973 'Frost' in the Rgveda. J1ES 1, 224-231.	715
Gerschner, Robert		2002	715
Giacomelli, Gabriella		1963	715
Giacomelli, Roberto		1994	715
Lingua quotidiana e grecismo nel lessico culinario latino. ACME (Annali di		lettere efilosofia dell'Universita degli Studi di Mlano) 47,2,29-49.	715
Goto, Toshifumi		1985 Altindisch randhra- und uridg. *fendV MSS 44, 77-91.	715
Guasparri, Andrea		2000 Acipenser. Glotta 76, 50-52.	715
Guiraud, Charles		1975 Les mots latins a prefixe ue-. Revue des etudes anciennes 77, 80-87.	715
Gusmani, Roberto		2002 Althochdeutsch (hari)slk, lateinisch (st)lts. HS 115,111-116.	715
Hackstein, Olav		1993	715
Eine weitere griechisch-tocharische Gleichung: Griechisch πτηξαι und		tocharisch Bpyaktsi. Glotta 70,136-165.	715
		1995	715
Tocharischen. Gottingen: Vandenhoeck & Ruprecht.		1997 Probleme der homerischen Formenlehre I. MSS 57, 19-46.	715
	2002a	Uridg. *CH.CC > *C.CC. //5115,1-22.	715
	2002b	Die Sprachform der homerischen Epen. Wiesbaden: Reichert.	715
Hamp, Eric	1960-61	Notulae. ttudes Celtiques 9, 139-140.	715
		1972 Latin dacrima, lacruma and Indo-European 'tear'. Glotta 50,291-299.	715
		1973 Another lesson from 'frost'. J1ES 1,215-223.	715
		1974 Palat[al]ized */ in Umbrian. Glotta 52,231-233.	715
		1977 Some Italic and Celtic correspondences. ZVS 77,240-245.	715
		1978	715
Sound change and the etymological lexicon. In: Papers from the		'Parasession on the lexicon', Chicago Linguistic Society, 184-195.	715
		1980 Latin volup(e). ZVS 94, 158.	715
	1981	a IE *(He)op-. MSS 40, 39-60.	715
	1981b	Refining Indo-European lexical entries. ZVS 95, 81 -83.	715
		1982 Dulcis. Folia Linguistica Historica 3,133-134.	716
		1982-I983a Some Italic and Celtic Correspondences. ZVS 96,95-100.	716
		1982-1983b Indo-European substantives in *-mo- and *-ma-. ZVS 96, 170-177.	716
		1983	716
Further on Latin Capillus and Pullus and Lautgesetze. Folia Linguistica		Historical, 133-135.	716
	1984a	On the Meaning of Latin uoltus and IE 'face*. In: Papers from the Regional Meetings, Chicago Linguistic Society 20, 149-153.	716
	1984b	Some Italic and Celtic correspondences. ZVS 97,265-266.	716
	1985a	Latin callum, callis, Indie kina-. ZVS 98,59.	716
	1985b	Indo-European *bhetti-, Latin foedus, and Balto-Slavic. IF 90, 66-69.	716
		1988 Miscellanea. IF 93, 121-123.	716
		1990 aestumo. Glotta 68, 119.	716
		1992 focus. Glotta 70, 82.	716
		1993 The text of CIL I29 (son of Barbatus). In: Heidermanns / Rix / Seebold	716
	1993,	157-163.	716
		1997	716
Part one: Ancient languages and philology, eds. D. Disterheft, M. Huld		and J. Greppin, Washington DC: Institue for the Study of Man, 123-130.	716
	1999	fides and the Latin 5th declension. Glotta 74, 54-56.	716
Haroarson, Jon Axel		1994	716
Der Verlust zweier wichtiger Flexionskategorien im Uranatolischen. HS		107,30-41.	716
Haug, Dag		2004 Lateinisch concinnus und concinnare. Glotta 80, 24-45.	716
Heidermanns, Frank		1993 bonus, beatus und ein altes Praverb des Lateinischen. In: Heidermanns / Rix/Seebold 1993, 165-173.	716
		2002 Nomina] composition in Sabellic and Proto-Italic. TPS 100, 185-202.	716
Heidermanns, Frank, Helmut Rix and Elmar Seebold		1993	716
Sprachen undi Schriften des antiken Mittelmeerraums. Festschrift fiir		Jurgen Untermann zum 65. Geburtstag, Innsbruck: IBS^	716
Heiermeier, A.		1980	716
Die indogermanische orientierte ursprachliche Konzepiion *kuendhro- /		*kuondhro- / *kuondhna. Dublin University Press.	716
Hill, Eugen		2003	716
Italischen und Keltischen. Bremen: Hempen.		2006 Lateinisch cresco 'wachsen* etymologisch: urslavisch *krejQ 'genesen3, litauisch seriu 'futtern* oder armenisch serem 'erzeugen'? IJDLLR 3, 187-209.	717
Hilmarsson, Jorundur		1993 The fate of TTR/RTT in Indo-European. In: Meiser et al 1993,209-222.	717
Hiltbrunner, Otto		1958	717
Hirt, Hermann	1916-17Etymologien.	IF31, 227-236. Hyllested, Adam, Anders J0rgensen, Jenny Larsson and Thomas Olander (eds.)	717
		2004	717
Isebaert, Lambert		1988	717
Ben Schwartz: Studies in Anatolian, Italic, and Other Indo-European		Languages, ed. Y. Arbeitman, Louvain-la-Neuve: Peeters, 349-359.	717
		1992	717
Spuren akrostatischer Piasensflexion im Lateinischen. In: Panagl / Knsch	1992,	193-205.	717
		1995 Lat. crepare. MSS 55,41-43.	717
Isebaert, Lambert and Herman Seldeslachts		,	717
		1994 Tokharisch *twanka- 'einzwangen' und Verwandtes. HS 107,172-177.	717
Janda, Michael		i	717
		1998	717
Die hohle und geschlossene Hand im Urindogermanischen. Die Sprache		40, 1-25.	717
		1999 Ένοσίχΰων 'Erderschiitterer'. In: Eichner / Luschutzky 1999, 183-203.	717
		2000	717
Jasanoff, Jay		1976 Gr. αμφω, lat. ambo et le mot indo-europeen pour Tun et Fautre\ BSL 71, 123-131.	717
	1988-1990	Tl^e origin of the Celtic comparative type Olr. tressa, MW trech 'stronger*. Die Sprache 34, 171-189.	717
		2004 Plus ςα change...: Lachmann's Law in Latin. In: Penney 2004,405-416.	717
Jasanoff, Jay, H. Craig Melchert and Lisi Oliver (eds.)		1998	717
Jimenez Samudio		1989 La forma pronominal latina ipse: Su origen. Emerita 57, 119-127.	717
Job, Michael		1999	717
Zur Etymologie von lat. invitare. In: Studia Celtica et Indogermanica.		Festschrift fiir Wolfgang Meidzum 70. Geburtstag, eds. P, Anreiter and E. Jerem, Budapest: Archaeolingua Alapitvany, 151-155.	718
Joseph, Lionel		1986 A survival from the Italo-Celtic legal vocabulary. Eriu 37, 119-125.	718
Joseph, Brian and Rex Wallace		1987 Latin sum I Oscan sum, sim, esum. AJPh 108,675-693.	718
Juret, A.		1942	718
Kallio, Petri		2004	718
Tocharian loanwords in Samoyed? In: Etymologie, Entiehrmngen und		Entwicklungen: Festschrift fur Jorma Koivulehto zum 70. Geburtstag, eds.	718
P. Kallio		and	718
Societe		Neophilologique, 129-137.	718
Katz, Joshua	1998a	Testimonia Ritus Italici. HSCP 98, 183-217.	718
	1998b	How to be a dragon in Indo-European. In: Jasanoff / Melchert / Oliver	718
		1998,317-334.	718
		"2006 The uUrbi et Ofr-Rule"" Revisited. JIES 34, 319-361."	718
Keller, Madeleine		1980 Latin expergiscor. BSL 75, 309-324.	718
		1982 Latin vescor. Revue de philologie, de litterature et d' histoire anciennes 56, 81-93.	718
		1992	718
Klingenschinitt, Gert		1972	718
Die mittelpersischen Pronomina lyn und h '«, neupersisch in und an. MSS		30,93-102.	718
		1978 Zum Ablaut des indogermanischen Kausativs. ZVS 92, 1-13.	718
		1980	718
Zur Etymologie des Lateinischen. In: Lautgeschichte und Etymologie:		Akten der VI: Fachtagung der Indogermanischen Gesellschaft, Wien, 24.- 29. September 1978, eds. M. Mayrhofer, M. Peters and O. Pfeiffer, Wiesbaden: Reichert, 208-222.	718
		1982	718
Das altarmenische Verbum. Wiesbaden: Reichert.		1987	718
Erbe		und	718
Neuerung		beim germanischen	718
Althochdeutsck Band I: Grammatik, Glossen und Texte, eds. R.		Bergmann, H. Tiefenbach and L. Voetz, Heidelberg: Winter, 169-189.	718
		1989 Altlateinisch expretus (Plaut. Bacch. 446), In: Indogermanica Europaea: Festschrift fur Wolfgang Meidzum 60. Geburtstag am 12Λ 1.1989, eds. K.	718
Heller, O. Panagl and J. Tischler, Graz: Institut fur Sprachwissenschaft,		79-100.	718
		1992 Die lateinische Nominalflexion. In: Panagl / Krisch 1992, 89-135.	718
		2004	718
Zur Etymologie der klassischen Sprachen. In: Artes et Scientia: Festschrift		fur Half Peter Ritter zum 65. Geburtstag, eds, P. Anreiter, M. Haslinger and H.D. Pohl, Wien: Praesens, 239-252.	719
		2005	719
Kloekhorst, Alwin	2006a	Hittitepai-/pi- 'to give'. IF 111, 110-119.	719
	2006b	Initial laryngeals in Anatolian. HS 119,77-108.	719
		2008	719
Kluge, Friedrich and Elmar Seebold		1999 Etymologisches Worterbuch der deutschen Sprache. 23., erweiterte	719
Rnobloch, Johann		1973 Lat helluor -onis m. 4 Prasser'. Die Sprache 19, 63.	719
		1977 Lat fenus, pignus und die Viehverstellung. Rheinisches Museum 120, 92-93.	719
		1978 Untersuchungen zur umbrischen Wortkunde. Rheinisches h/kiseum 121, 161-163.	719
Kolligan, Daniel		2005 Lat. lugere 'trauern'. IJDLLR 2, 169-175.	719
Kortlandt, Frederik		i	719
	1980a	More evidence for Italo-Celtic. Eriu 32,1 -2%	719
	1980b	H20 and oH2. Lingua Posnaniensis 23, 127-128.	719
	1983a	Greek numerals and PIE glottalic consonants. A4SS 42,97-104.	719
	1983b	Demonstrative pronouns in Balto-Slavic, Armenian and Tocharian. Studies in Slavic and General Linguistics 3, 311-322.	719
	1983c	Notes on Armenian historical phonology III: /?-. Studia Caucasica 5, 9-16.	719
	1985a	Long vowels in Balto-Slavic. Baltistica 21/2, 112-124.	719
	1985b	Arm, artawsr *tear\ Annual of Armenian Linguistics 6, 59-61.	719
		1986 Posttonic *w in Old Irish. Eriu 37, 89-92.	719
		1989 Lachinann's Law. In: 7he new sound of Indo-European: Essays in phonological reconstruction, ed. T. Vennemann, Berlin - New York: Mouton de Gruyter, 103-105.	719
		1992 The Germanic fifth class of strong verbs. NOWELE 19, 101-107.	719
		1993	719
Proto-Armenian numerals. In: In honorem Holger Pedersen: Kolloquium		der Indogermanischen Gesellschafi vom 26. bis 28. Marz 1993 in Kopenhagen, ed. J.E. Rasmussen, Wiesbaden: Reichert, 253-257.	719
		1996 Old irish ol 'inquit'. Etudes celtiques 32,143-145.	719
	1997a	Arm. ner4 sister-in-law \ Annual of Armenian Linguistics 18,7-9.	719
	1997b	Baltic e- and l/ja-stems. Baltistica 32, 157-163.	719
		1999	719
Lachmann's law again. In: Language change and typological variation: in		honor of Winfred P. Lehmann on the occasion of 83rd birthday. Vol I:	719
Language change and phonology, ed. E. Polome and C. Justus,		Washington DC: Institute for the Study of Man, 246-248.	720
		2000 Old Norse taka, Gothic tekan, Greek τεταγών. NOWELE 36,59-65.	720
		2003	720
Armeniaca: comparative notes. With an appendix on the historical		phonology of Classical Armenian by Robert S.P. Beekes. Ann Arbor:	720
Caravan.		2005 Lithuanian teketi and related formations. Baltistica 40, 167-170.	720
		2007	720
Kroonen, Guus		2006	720
Gemination and allomorphy in the Proto-Germanic /ra-stems: bottom and		rime.ABAG 61,17-25.	720
Kuiper, Franciscus		1995 Gothic bagms and Old Icelandic ylgr. NOWELE 25, 63-88.	720
Kummel, Martin		2000	720
Das Perfekt im Indoiranischen. Wiesbaden: Reichert.	2004a	Das Wort fur 'Biber' und einige Probleme der altgermanischen	720
Historisch-vergleichende Sprachwissenschaft und		germanische	720
Akten		der 4,	720
Neulandtagung		der Historisch-Vergleichenden Sprachwissenschafi in Potsdam 2001, eds. M. Fritz and I. Wischer, Innsbruck: IBS, 105-117.	720
	2004b	Zu einigen seltenen W6rtem in der Cistellaria. In: Studien zu Plautus'	720
Cistellaria, eds. R. Hartkamp and F. Hurka, Tubingen: Gunter Narr,		347-362.	720
		2005	720
Ved. tandt- und ein neues indoiranisches Lautgesetz. In: Indogermanica.		Festschrift fur Gert Klingenschmitt, ed. G. Schweiger, Taimering, 321-332. de Lamberterie, Charles	720
		1990	720
Louvain-la-Neuve: Peeters.		1994	720
L'adverbe grec ύπέρφευ. In: Melanges Frangois Kerlouegany eds. D.		Conso, N. Fick and B. Poulle. Paris: Les Belles Lettres, 321-340	720
		1996	720
Latin pignus et la theorie glottalique. In: Aspects of Latin: papers from the		seventh International Colloquium on Latin linguistics, Jerusalem, April	720
	1993,	ed. H. Rosen, Innsbruck: IBS, 135-152.	720
Lazzarini, Maria Letizia and Paolo Poccetti		2001 77 mondo enotrio tra VI e Κ secolo a.C Atti dei seminari napoletani (1996-1998). L'iscrizionepaleoitalicada Tortora. Napoli: Lofredo.	720
Ledo-Lemos, Francisco Jose		2002	720
The etymology of Latin uirgo and the Latin evolution of the consonantal		group *-rgw-. IF 107,219-239.	720
Lee, D.J.N.		1967 The modal particles fiv, κε(ν), κα. AJPh 88,45-56.	721
Lejeune, Michel		1974	721
Manuel de la langue venete. Heidelberg: Winter.		1990 Notes de linguistique italique XL. Revue des etudes latines 68,28-30.	721
Leumann, Manu		1940 Literaturbericht fur das Jahr 1937, Glotta 28, 1 -21.	721
		1959	721
Kleine Schrifien. Zurich - Stuttgart: Artemis.		1960 Zwei lateinischen Wortbedeutungen: Lucina und bubo. Die Sprache 6, 156-161.	721
		1977	721
Levin, Saul		1983	721
Hebrew pi(y)lsg£s> Greek παλλακη, Latin paelex: the origin of		intermarriage among the Early Indo-Europeans and Semites. General Linguistics 2i, 191-197.	721
Lindeman, Frederik Otto		1965 La loi de Sievers et le debut du mot en indo-europeen. NTS 20, 38-108.	721
Lindner, Thomas		2002	721
Studien. Innsbruck: IBS.		Lexikon der indogermanischen Verben2. Die Wurzeln und ihre Primarstammbildungen	721
Unter Leitung von H. Rix ... bearbeitet von M. Kummel, Th, Zehnder, R*		Lipp, B. Schirmer Wiesbaden: Reichert. 200 L	721
Livingston, Ivy		2004	721
Lloyd, Albert and Otto Springer		1988	721
Lockwood, William B.		1990 Latin columba, palumbes, Greek κόλυμβος. HS 103,261-263.	721
		2001 On the origin of Lat hirundo and Gr. χελιδών. Glotta 77,217-218.	721
Lubotsky, Alexander		1981	721
Gr πήγνυμι : Skt pajra- and loss of laryngeals before mediae in		Indo-Iranian.MSS40, 133-138.	721
		1985 The PIE word for 'dry'. ZVS 98, 1-10.	721
		1988	721
Leiden etc.: Brill.		1989	721
